Time frequency,Unit of measure,Sex,n_injury,geo\TIME_PERIOD,1999.0
Annual,Percentage,Females,1.0,DE,24.2
Annual,Percentage,Females,1.0,DK,31.5
Annual,Percentage,Females,1.0,EL,14.2
Annual,Percentage,Females,1.0,ES,17.7
Annual,Percentage,Females,1.0,EU_V,24.7
Annual,Percentage,Females,1.0,FI,30.4
Annual,Percentage,Females,1.0,HU,19.2
Annual,Percentage,Females,1.0,IE,19.0
Annual,Percentage,Females,1.0,IT,21.7
Annual,Percentage,Females,1.0,LU,19.2
Annual,Percentage,Females,1.0,PT,22.1
Annual,Percentage,Females,1.0,SE,37.5
Annual,Percentage,Females,1.0,UK,27.0
Annual,Percentage,Females,2.0,DK,3.4
Annual,Percentage,Females,2.0,EL,0.0
Annual,Percentage,Females,2.0,ES,0.4
Annual,Percentage,Females,2.0,EU_V,2.3
Annual,Percentage,Females,2.0,FI,2.8
Annual,Percentage,Females,2.0,HU,2.4
Annual,Percentage,Females,2.0,IE,3.4
Annual,Percentage,Females,2.0,IT,0.8
Annual,Percentage,Females,2.0,LU,0.4
Annual,Percentage,Females,2.0,PT,1.4
Annual,Percentage,Females,2.0,SE,3.6
Annual,Percentage,Females,2.0,UK,4.2
Annual,Percentage,Females,3.0,DK,0.7
Annual,Percentage,Females,3.0,EL,0.0
Annual,Percentage,Females,3.0,ES,0.1
Annual,Percentage,Females,3.0,EU_V,0.7
Annual,Percentage,Females,3.0,FI,1.1
Annual,Percentage,Females,3.0,HU,0.7
Annual,Percentage,Females,3.0,IE,0.5
Annual,Percentage,Females,3.0,IT,0.2
Annual,Percentage,Females,3.0,LU,0.0
Annual,Percentage,Females,3.0,PT,0.0
Annual,Percentage,Females,3.0,SE,1.4
Annual,Percentage,Females,3.0,UK,1.3
Annual,Percentage,Females,4.0,DK,0.0
Annual,Percentage,Females,4.0,EL,0.0
Annual,Percentage,Females,4.0,ES,0.0
Annual,Percentage,Females,4.0,EU_V,0.3
Annual,Percentage,Females,4.0,FI,0.3
Annual,Percentage,Females,4.0,HU,0.3
Annual,Percentage,Females,4.0,IE,0.2
Annual,Percentage,Females,4.0,IT,0.2
Annual,Percentage,Females,4.0,LU,0.0
Annual,Percentage,Females,4.0,PT,0.2
Annual,Percentage,Females,4.0,SE,0.4
Annual,Percentage,Females,4.0,UK,0.6
Annual,Percentage,Females,GE5,DK,0.4
Annual,Percentage,Females,GE5,EL,0.0
Annual,Percentage,Females,GE5,ES,0.1
Annual,Percentage,Females,GE5,EU_V,0.6
Annual,Percentage,Females,GE5,FI,0.5
Annual,Percentage,Females,GE5,HU,0.5
Annual,Percentage,Females,GE5,IE,0.9
Annual,Percentage,Females,GE5,IT,0.3
Annual,Percentage,Females,GE5,LU,0.0
Annual,Percentage,Females,GE5,PT,0.0
Annual,Percentage,Females,GE5,SE,1.2
