Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Rural areas,Percentage of disposable income,Czechia,70.6 e,64.5 i,68.5 i
Annual,Rural areas,Percentage of disposable income,Germany,88.4 i,80.2 i,74.6 i
Annual,Rural areas,Percentage of disposable income,Denmark,93.1 i,72.6 i,62.6 i
Annual,Rural areas,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.7 i,72.1 i
Annual,Rural areas,Percentage of disposable income,Euro area – 20 countries (from 2023),:,79 i,72.2 i
Annual,Rural areas,Percentage of disposable income,Estonia,66.9 i,65.9 i,55.9 i
Annual,Rural areas,Percentage of disposable income,Greece,110.8 i,112.5 i,88.8 i
Annual,Rural areas,Percentage of disposable income,Spain,90.9 i,88 i,70.3 i
Annual,Rural areas,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.9 i,71.3 i
Annual,Rural areas,Percentage of disposable income,European Union - 27 countries (from 2020),:,79.4 i,71.3 i
Annual,Rural areas,Percentage of disposable income,Finland,80.1 i,82.4 i,:
Annual,Rural areas,Percentage of disposable income,France,81.5 i,68.3 i,70.6 i
Annual,Rural areas,Percentage of disposable income,Croatia,95.3 i,93.5 i,78.2 i
Annual,Rural areas,Percentage of disposable income,Hungary,82.2 i,84.5 i,76.8 i
Annual,Rural areas,Percentage of disposable income,Ireland,88.2 i,81 i,:
Annual,Rural areas,Percentage of disposable income,Italy,80.5 i,:,:
Annual,Rural areas,Percentage of disposable income,Lithuania,84.5 i,67.8 i,54.6 i
Annual,Rural areas,Percentage of disposable income,Luxembourg,57.5 i,68.5 i,73.6 i
Annual,Rural areas,Percentage of disposable income,Latvia,83.9 i,69.3 i,59.5 i
Annual,Rural areas,Percentage of disposable income,Netherlands,:,74.5 i,68.7 i
Annual,Rural areas,Percentage of disposable income,Poland,75.4 i,70 i,50.2 i
Annual,Rural areas,Percentage of disposable income,Portugal,90.5 i,82.6 i,:
Annual,Rural areas,Percentage of disposable income,Romania,:,107 i,94.1 i
Annual,Rural areas,Percentage of disposable income,Sweden,83.4 i,76.1 i,:
Annual,Rural areas,Percentage of disposable income,Slovenia,82.4 i,80.2 i,77 i
Annual,Rural areas,Percentage of disposable income,Slovakia,72.8 i,83 i,70 i
Annual,Rural areas,Percentage of disposable income,United Kingdom,85 e,84.5 i,:
Annual,Total,Percentage of disposable income,Austria,89.1 i,80.1 i,76.9 i
Annual,Total,Percentage of disposable income,Belgium,89.3 i,81.8 i,67 i
Annual,Total,Percentage of disposable income,Bulgaria,54.9 e,72.6 i,59.2 i
Annual,Total,Percentage of disposable income,Cyprus,93 i,88.1 i,76.9 i
Annual,Total,Percentage of disposable income,Czechia,: u,66.9 i,70.1 i
Annual,Total,Percentage of disposable income,Germany,82.9 i,81.2 i,77.7 i
Annual,Total,Percentage of disposable income,Denmark,95.1 i,70.5 i,63.9 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.4 i,73.2 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78.6 i,73.3 i
Annual,Total,Percentage of disposable income,Estonia,67.2 i,66.6 i,58 i
Annual,Total,Percentage of disposable income,Greece,116.5 i,110.2 i,90.7 i
Annual,Total,Percentage of disposable income,Spain,84.4 i,80.4 i,67.2 i
