Time frequency,n_activ,unit,geo\TIME_PERIOD,1988.0,1994.0,1999.0,2005.0,2010.0,2015.0,2020.0
Annual,0.0,PPS_AE,AT,:,13007.0,14493.0,17568.0,20054.0,21834.0,22217.0
Annual,0.0,PPS_AE,BE,10104.0,14417.0,15624.0,18023.0,18076.0,22315.0,20983.0
Annual,0.0,PPS_AE,BG,:,:,:,3882.0,5463.0,6716.0,7444.0
Annual,0.0,PPS_AE,CY,:,:,:,11364.0,16973.0,17836.0,17133 e
Annual,0.0,PPS_AE,CZ,:,:,:,5366.0,6832.0,8130.0,9173.0
Annual,0.0,PPS_AE,DE,9494.0,11855.0,14511.0,17782.0,18816.0,20148.0,20941.0
Annual,0.0,PPS_AE,DK,:,10620.0,12772.0,13760.0,17240.0,:,18891.0
Annual,0.0,PPS_AE,EA,:,11221.0,13346.0,15692 u,16976 i,:,:
Annual,0.0,PPS_AE,EA12,:,:,:,15720 u,17284 i,:,:
Annual,0.0,PPS_AE,EA13,:,:,:,15692 u,17263 i,:,:
Annual,0.0,PPS_AE,EA17,:,:,:,:,17051 i,:,:
Annual,0.0,PPS_AE,EA18,:,:,:,:,16976 i,:,:
Annual,0.0,PPS_AE,EE,:,:,:,4673.0,4884.0,7887.0,8828.0
Annual,0.0,PPS_AE,EEA28,:,:,:,14284 u,15241 i,:,:
Annual,0.0,PPS_AE,EEA30_2007,:,:,:,:,14702 i,:,:
Annual,0.0,PPS_AE,EFTA,:,:,:,18837 u,19176 u,:,:
Annual,0.0,PPS_AE,EL,6344.0,7769.0,10495.0,13957.0,14574.0,11933.0,11576.0
Annual,0.0,PPS_AE,ES,7012.0,8222.0,8416.0,12255.0,16753.0,18533.0,17747.0
Annual,0.0,PPS_AE,EU15,:,11015.0,13400.0,15829 u,16578 i,:,:
Annual,0.0,PPS_AE,EU25,:,:,:,14236 u,15199 i,:,:
Annual,0.0,PPS_AE,EU27_2007,:,:,:,13507 u,14658 i,:,:
Annual,0.0,PPS_AE,EU27_2020,:,:,:,:,:,16623 e,16647 i
Annual,0.0,PPS_AE,FI,:,8550.0,9582.0,13149.0,14362.0,17976.0,17860.0
Annual,0.0,PPS_AE,FR,8513.0,12708.0,13902.0,16190.0,16996.0,18952.0,18501 e
Annual,0.0,PPS_AE,HR,:,:,:,8410.0,8894.0,9914.0,10593.0
Annual,0.0,PPS_AE,HU,:,:,:,5321.0,8294.0,10129.0,14453.0
Annual,0.0,PPS_AE,IE,:,8636.0,12195.0,14819.0,15917.0,18293.0,18158.0
Annual,0.0,PPS_AE,IT,7586.0,11059.0,14195.0,15803.0,16786.0,19028.0,17530.0
Annual,0.0,PPS_AE,LT,:,:,:,4654.0,7472.0,9217.0,10248.0
Annual,0.0,PPS_AE,LU,14225.0,22337.0,24572.0,32077.0,30112.0,34550.0,34106.0
Annual,0.0,PPS_AE,LV,:,:,:,3812.0,5367.0,6461.0,7744.0
Annual,0.0,PPS_AE,ME,:,:,:,:,:,8965.0,7946.0
Annual,0.0,PPS_AE,MK,:,:,:,5370.0,4484 i,5003.0,:
Annual,0.0,PPS_AE,MT,:,:,:,12128.0,11713.0,12345.0,11753 e
Annual,0.0,PPS_AE,NL,9338.0,11325.0,14997.0,:,18586.0,21539.0,21533.0
Annual,0.0,PPS_AE,NO,:,:,:,18837.0,19176.0,23679.0,23630.0
Annual,0.0,PPS_AE,PL,:,:,:,5894.0,7926.0,9815.0,9238.0
Annual,0.0,PPS_AE,PT,4149.0,5926.0,7266.0,9478.0,11592.0,13744.0,14120.0
Annual,0.0,PPS_AE,RO,:,:,:,2455.0,5691.0,6448.0,8046.0
Annual,0.0,PPS_AE,RS,:,:,:,:,:,7584.0,7174.0
Annual,0.0,PPS_AE,SE,:,:,13373.0,:,:,16775.0,:
Annual,0.0,PPS_AE,SI,:,:,:,11636.0,13925.0,13509.0,13604.0
Annual,0.0,PPS_AE,SK,:,:,:,:,7815.0,9439.0,7966.0
Annual,0.0,PPS_AE,TR,:,:,:,6275.0,7755.0,10365.0,9101.0
Annual,0.0,PPS_AE,UK,7324.0,10077.0,13720.0,16557.0,12907.0,13112.0,:
Annual,0.0,PPS_HH,AT,:,16779.0,18084.0,21872.0,24741.0,26964.0,27277.0
Annual,0.0,PPS_HH,BE,12712.0,19223.0,19643.0,22825.0,23181.0,28254.0,25563.0
Annual,0.0,PPS_HH,BG,:,:,3295.0,4901.0,6841.0,8284.0,8998.0
Annual,0.0,PPS_HH,CY,:,:,10854.0,15688.0,22288.0,22450.0,21566 e
Annual,0.0,PPS_HH,CZ,:,:,6244.0,7197.0,8669.0,10238.0,11295.0
Annual,0.0,PPS_HH,DE,11983.0,15042.0,18489.0,22487.0,23892.0,25187.0,26143.0
Annual,0.0,PPS_HH,DK,:,12464.0,15790.0,16305.0,20533.0,:,23164.0
Annual,0.0,PPS_HH,EA,:,14601.0,17533.0,20238 u,21570 i,:,:
Annual,0.0,PPS_HH,EA12,:,:,:,20273 u,21958 i,:,:
Annual,0.0,PPS_HH,EA13,:,:,:,20238 u,21932 i,:,:
Annual,0.0,PPS_HH,EA17,:,:,:,:,21664 i,:,:
Annual,0.0,PPS_HH,EA18,:,:,:,:,21570 i,:,:
Annual,0.0,PPS_HH,EE,:,:,3914.0,5749.0,5789.0,9284.0,10297.0
Annual,0.0,PPS_HH,EEA28,:,:,:,18464 u,19619 i,:,:
Annual,0.0,PPS_HH,EEA30_2007,:,:,:,:,18920 i,:,:
Annual,0.0,PPS_HH,EFTA,:,:,:,30876 u,22893 u,:,:
Annual,0.0,PPS_HH,EL,9184.0,10865.0,14231.0,18201.0,17975.0,14870.0,13783.0
Annual,0.0,PPS_HH,ES,12055.0,11891.0,12260.0,16756.0,22099.0,23724.0,22518.0
Annual,0.0,PPS_HH,EU15,:,14301.0,17509.0,20377 u,21393 i,:,:
Annual,0.0,PPS_HH,EU25,:,:,:,18331 u,19584 i,:,:
Annual,0.0,PPS_HH,EU27_2007,:,:,:,17397 u,18880 i,:,:
Annual,0.0,PPS_HH,EU27_2020,:,:,:,:,:,20878 e,20778 i
Annual,0.0,PPS_HH,FI,:,10525.0,11574.0,16059.0,17833.0,22040.0,21221.0
Annual,0.0,PPS_HH,FR,10999.0,16307.0,17765.0,20728.0,21324.0,23705.0,23140 e
Annual,0.0,PPS_HH,HR,:,:,:,10540.0,11555.0,12661.0,13117.0
Annual,0.0,PPS_HH,HU,:,:,5135.0,7292.0,10149.0,12171.0,17350.0
Annual,0.0,PPS_HH,IE,:,12133.0,15965.0,19501.0,21572.0,24129.0,23757.0
Annual,0.0,PPS_HH,IT,9813.0,14484.0,20176.0,20563.0,21135.0,23833.0,21938.0
Annual,0.0,PPS_HH,LT,:,:,4146.0,5565.0,9234.0,10620.0,11527.0
Annual,0.0,PPS_HH,LU,19682.0,29391.0,32161.0,41436.0,39186.0,44165.0,44528.0
Annual,0.0,PPS_HH,LV,:,:,3503.0,5013.0,6978.0,7957.0,9018.0
Annual,0.0,PPS_HH,ME,:,:,:,:,:,11303.0,10664.0
Annual,0.0,PPS_HH,MK,:,:,:,8262.0,6777 i,6679.0,:
Annual,0.0,PPS_HH,MT,:,:,11413.0,15978.0,15415.0,16054.0,15283 e
Annual,0.0,PPS_HH,NL,12501.0,14361.0,18635.0,:,23162.0,26682.0,26435.0
Annual,0.0,PPS_HH,NO,:,:,:,30876.0,22893.0,27838.0,28849.0
Annual,0.0,PPS_HH,PL,:,:,6125.0,7476.0,10024.0,12579.0,11869.0
Annual,0.0,PPS_HH,PT,5941.0,8127.0,9793.0,12879.0,15168.0,17669.0,17700.0
Annual,0.0,PPS_HH,RO,:,:,2470.0,3289.0,7255.0,8120.0,10206.0
Annual,0.0,PPS_HH,RS,:,:,:,:,:,9337.0,8911.0
Annual,0.0,PPS_HH,SE,:,:,16261.0,:,:,20595.0,:
Annual,0.0,PPS_HH,SI,:,:,12008.0,14908.0,17916.0,17261.0,17193.0
Annual,0.0,PPS_HH,SK,:,:,10266.0,:,9919.0,12659.0,10363.0
Annual,0.0,PPS_HH,TR,:,:,:,8678.0,12000.0,13849.0,11994.0
Annual,0.0,PPS_HH,UK,9497.0,13045.0,17748.0,21255.0,18578.0,18265.0,:
Annual,1.0,PPS_AE,AT,:,14758.0,18108.0,20339.0,22442.0,23119.0,23434.0
Annual,1.0,PPS_AE,BE,10393.0,13816.0,16392.0,18583.0,21014.0,22218.0,19653.0
Annual,1.0,PPS_AE,BG,:,:,:,4570.0,5928.0,9027.0,9560.0
Annual,1.0,PPS_AE,CY,:,:,:,16722.0,24051.0,20646.0,19832 e
Annual,1.0,PPS_AE,CZ,:,:,:,6335.0,8595.0,10043.0,11564.0
Annual,1.0,PPS_AE,DE,11169.0,13798.0,15216.0,18572.0,18186.0,19864.0,20777.0
Annual,1.0,PPS_AE,DK,:,12764.0,15924.0,17358.0,18741.0,:,20200.0
Annual,1.0,PPS_AE,EA,:,12940.0,15117.0,17488 u,18104 i,:,:
Annual,1.0,PPS_AE,EA12,:,:,:,17514 u,18390 i,:,:
Annual,1.0,PPS_AE,EA13,:,:,:,17488 u,18371 i,:,:
Annual,1.0,PPS_AE,EA17,:,:,:,:,18175 i,:,:
Annual,1.0,PPS_AE,EA18,:,:,:,:,18104 i,:,:
Annual,1.0,PPS_AE,EE,:,:,:,6592.0,7535.0,11992.0,12971.0
Annual,1.0,PPS_AE,EEA28,:,:,:,16288 u,16363 i,:,:
Annual,1.0,PPS_AE,EEA30_2007,:,:,:,:,15749 i,:,:
Annual,1.0,PPS_AE,EFTA,:,:,:,19579 u,22717 u,:,:
Annual,1.0,PPS_AE,EL,8627.0,10026.0,13833.0,18353.0,16020.0,14109.0,13311.0
Annual,1.0,PPS_AE,ES,7323.0,9677.0,9993.0,14169.0,17831.0,18273.0,17224.0
Annual,1.0,PPS_AE,EU15,:,12978.0,15688.0,18106 u,17645 i,:,:
Annual,1.0,PPS_AE,EU25,:,:,:,16253 u,16296 i,:,:
Annual,1.0,PPS_AE,EU27_2007,:,:,:,15425 u,15680 i,:,:
Annual,1.0,PPS_AE,EU27_2020,:,:,:,:,:,17063 e,17005 i
Annual,1.0,PPS_AE,FI,:,10266.0,11960.0,16499.0,18964.0,20775.0,20841.0
Annual,1.0,PPS_AE,FR,10366.0,13809.0,15172.0,17826.0,17939.0,18586.0,18143 e
Annual,1.0,PPS_AE,HR,:,:,:,9592.0,10202.0,11634.0,12808.0
Annual,1.0,PPS_AE,HU,:,:,:,6636.0,8900.0,10627.0,14488.0
Annual,1.0,PPS_AE,IE,:,11066.0,15453.0,21251.0,18740.0,18979.0,19545.0
Annual,1.0,PPS_AE,IT,9880.0,13351.0,17715.0,18058.0,18947.0,19578.0,18283.0
Annual,1.0,PPS_AE,LT,:,:,:,6289.0,8787.0,11453.0,14494.0
Annual,1.0,PPS_AE,LU,14756.0,24142.0,26495.0,32612.0,28493.0,31522.0,32946.0
Annual,1.0,PPS_AE,LV,:,:,:,5413.0,7086.0,9087.0,11126.0
Annual,1.0,PPS_AE,ME,:,:,:,:,6285.0,9341.0,8949.0
Annual,1.0,PPS_AE,MK,:,:,:,5198.0,4339.0,4912.0,:
Annual,1.0,PPS_AE,MT,:,:,:,14032.0,15085.0,16917.0,16104 e
Annual,1.0,PPS_AE,NL,9916.0,13112.0,16721.0,:,20896.0,21206.0,21830.0
Annual,1.0,PPS_AE,NO,:,:,:,19579.0,22717.0,25159.0,23936.0
Annual,1.0,PPS_AE,PL,:,:,:,5918.0,9089.0,10985.0,10305.0
Annual,1.0,PPS_AE,PT,6306.0,8751.0,10221.0,11973.0,13819.0,15694.0,16295.0
Annual,1.0,PPS_AE,RO,:,:,:,2837.0,5223.0,6545.0,8731.0
Annual,1.0,PPS_AE,RS,:,:,:,:,:,8243.0,8101.0
Annual,1.0,PPS_AE,SE,:,:,14325.0,:,:,19673.0,:
Annual,1.0,PPS_AE,SI,:,:,:,13598.0,15413.0,14781.0,15520.0
Annual,1.0,PPS_AE,SK,:,:,:,:,8427.0,10631.0,8851.0
Annual,1.0,PPS_AE,TR,:,:,:,5536.0,7784.0,11741.0,10576.0
Annual,1.0,PPS_AE,UK,10313.0,13179.0,18585.0,21100.0,13731.0,14473.0,:
Annual,1.0,PPS_AE,XK,:,:,:,:,:,5668.0,:
Annual,1.0,PPS_HH,AT,:,24696.0,26185.0,28899.0,30463.0,29968.0,31197.0
Annual,1.0,PPS_HH,BE,17282.0,23345.0,25580.0,26641.0,29530.0,29908.0,26453.0
Annual,1.0,PPS_HH,BG,:,:,5150.0,6793.0,9088.0,12665.0,12922.0
Annual,1.0,PPS_HH,CY,:,:,26572.0,28757.0,36913.0,29304.0,28149 e
Annual,1.0,PPS_HH,CZ,:,:,10275.0,11015.0,12291.0,13821.0,15103.0
Annual,1.0,PPS_HH,DE,17312.0,20312.0,21679.0,25969.0,24368.0,24715.0,26181.0
Annual,1.0,PPS_HH,DK,:,16314.0,21879.0,22205.0,23045.0,:,26460.0
Annual,1.0,PPS_HH,EA,:,20737.0,23502.0,26451 u,25590 i,:,:
Annual,1.0,PPS_HH,EA12,:,:,:,26483 u,25944 i,:,:
Annual,1.0,PPS_HH,EA13,:,:,:,26451 u,25922 i,:,:
Annual,1.0,PPS_HH,EA17,:,:,:,:,25683 i,:,:
Annual,1.0,PPS_HH,EA18,:,:,:,:,25590 i,:,:
Annual,1.0,PPS_HH,EE,:,:,6433.0,9570.0,10369.0,17052.0,16669.0
Annual,1.0,PPS_HH,EEA28,:,:,:,24425 u,23016 i,:,:
Annual,1.0,PPS_HH,EEA30_2007,:,:,:,:,22204 i,:,:
Annual,1.0,PPS_HH,EFTA,:,:,:,24741 u,28373 u,:,:
Annual,1.0,PPS_HH,EL,16094.0,17912.0,24160.0,31455.0,24868.0,20618.0,19211.0
Annual,1.0,PPS_HH,ES,16065.0,19692.0,19565.0,25358.0,27719.0,26356.0,24378.0
Annual,1.0,PPS_HH,EU15,:,20389.0,23724.0,26987 u,24585 i,:,:
Annual,1.0,PPS_HH,EU25,:,:,:,24422 u,22960 i,:,:
Annual,1.0,PPS_HH,EU27_2007,:,:,:,23206 u,22143 i,:,:
Annual,1.0,PPS_HH,EU27_2020,:,:,:,:,:,23385 e,23166 i
Annual,1.0,PPS_HH,FI,:,14153.0,16337.0,23249.0,24897.0,27052.0,26145.0
Annual,1.0,PPS_HH,FR,15914.0,20579.0,22045.0,25118.0,24097.0,24624.0,24038 e
