Time frequency,International Standard Classification of Education (ISCED 1997),Duration,Geopolitical entity (reporting)\Time,2008.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Austria,17.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Belgium,9.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Bulgaria,77.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Cyprus,20.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Czechia,31.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Estonia,46.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Greece,37.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Spain,8.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,France,9.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Hungary,22.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Latvia,52.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Malta,52.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Poland,37.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Romania,94.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Slovenia,26.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Slovakia,28.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Never,Türkiye,76.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Austria,35.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Belgium,28.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Bulgaria,5.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Cyprus,25.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Czechia,20.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Estonia,10.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Greece,16.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Spain,30.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,France,30.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Hungary,25.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Latvia,11.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Malta,9.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Poland,23.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Romania,1.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Slovenia,17.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Slovakia,21.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Türkiye,5.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Belgium,9.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Bulgaria,3.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Cyprus,12.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Czechia,16.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Estonia,8.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Greece,9.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Spain,10.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,France,7.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Hungary,15.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Latvia,8.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Malta,9.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Poland,8.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Romania,1.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Slovenia,12.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Slovakia,11.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Türkiye,3.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Austria,10.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Belgium,10.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Bulgaria,6.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Cyprus,13.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Czechia,4.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Estonia,21.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Greece,14.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Spain,8.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,France,5.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Hungary,12.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Latvia,13.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Malta,11.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Poland,10.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Romania,1.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Slovenia,15.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Slovakia,11.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Türkiye,4.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Austria,36.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Belgium,42.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Bulgaria,6.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Cyprus,28.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Czechia,26.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Estonia,13.8
