Time frequency,Unit of measure,Sex,Age class,Activity and employment status,Frequency,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2023.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Austria,67.3,67.2,67.6,68.5,68.1,68.0,68.4,68.6,69.4,69.8,73.4,73.3 b,72.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,44.9 b,45.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Belgium,65.0,65.6 b,66.3,65.8,65.5,65.8,65.2,65.9 b,66.4,64.7,66.6,63.1 b,63.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Bulgaria,69.1 b,72.6 b,71.1,71.1,71.0,70.5,71.3,70.3,72.2,70.7 b,70.8,71.2 b,74.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Switzerland,59.7 b,60.1,60.2,59.8,59.1,58.8,58.9,59.5,59.4,60.4,61.1,61.7 b,62.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Cyprus,81.4,80.0,79.7,77.3,77.5,76.7,74.8,74.2,76.3,75.6,77.2,76.2 b,78.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Czechia,68.7,68.0 b,69.2,69.5,69.8,68.2,70.1,70.1,70.1,71.0,73.1,73.7 b,72.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Germany,53.2 b,53.6 b,54.3 b,55.4,56.0,56.2,56.8,64.3,65.4,65.5,69.4 b,70.0 b,72.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Denmark,53.7,54.4,53.2,53.1,53.3,54.1,52.8 b,54.9 b,55.7,56.8,58.6,56.6 b,57.2 b
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Euro area – 20 countries (from 2023),62.8,63.3,63.2,64.7,65.0,64.9,64.9,67.1,67.3,67.2,70.6,68.2 b,68.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Estonia,59.4,59.8,60.4,59.8,58.1,60.8,63.0,62.5,61.0,59.4,64.6,57.4 b,59.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Greece,42.4,43.0,44.2,42.1,41.9,40.8,40.2,41.0,42.2,41.8,43.3,40.2 b,38.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Spain,68.1,68.0,67.0,66.0,65.7,67.0,67.7,67.9,66.0,66.3,70.4,69.6 bd,69.1 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,European Union - 27 countries (from 2020),62.8,63.2,63.0,64.1,64.4,64.4,64.5,66.4,66.5,66.4,69.5,67.1 b,67.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Finland,54.6,54.3,53.5,53.1,52.8,52.1,51.6,52.1,51.3,51.6,53.7,48.3 b,49.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,France,64.1,64.0,64.2,72.8,73.9 b,72.8,72.7,73.0,72.6,72.5,75.6,72.0 bd,70.3 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Croatia,56.8,55.2,54.3 b,54.3,52.9,52.5,56.0,57.4,56.0,56.9,61.0,59.9 b,60.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Hungary,70.8,69.0,67.9,66.2,66.7,66.3,66.7,68.4,68.2 b,68.9,71.3,70.0 b,73.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Ireland,64.9,64.1,59.2,58.4,60.7,60.4,60.7,59.9 b,58.6,58.1,62.1,57.8 b,58.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Iceland,43.8,43.4,41.7,37.6,37.5,36.0,37.1,39.0,40.5,41.8,41.6 b,:,40.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Italy,81.2,81.1,80.4,80.3,80.1,79.5,78.6,78.3,78.8 b,78.8,82.3,80.0 b,78.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Lithuania,68.1,68.1,68.1,67.1,67.4,74.6,73.0,74.0,73.9,75.0,76.3,76.3 b,77.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Luxembourg,69.9,70.2,69.4,69.7,68.0,61.2 b,61.2,61.4,63.8,63.1,65.1,62.5 b,65.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Latvia,66.7,69.1,68.6,69.3,69.0,68.7,69.6,71.7,71.7,72.2,75.2,75.8 b,75.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Montenegro,:,52.4,49.5,45.4,51.4,47.4,47.9,46.6,48.5,49.4,53.4,:,:
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,North Macedonia,58.3,58.5,59.6,57.4,53.2,54.8,62.2,59.1,54.4,53.6,59.3,:,:
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Malta,75.9,74.1,73.4,71.9,72.7,75.8,76.2,77.4,76.3,73.9,73.6,72.9 b,72.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Netherlands,50.0,49.1,49.6,48.9 b,49.1,48.4,48.2,47.7,48.9,48.9,50.9,37.4 b,38.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Norway,60.2,61.2,60.9,61.1,62.8,62.1,62.4,62.3,61.6,60.4,61.8,: bu,41.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Poland,56.4 b,56.4,55.4,54.3,54.5,55.3,55.6,56.5,56.2,56.0 b,58.9,60.2 b,62.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Portugal,: u,78.4 b,76.0,74.9,74.4,74.7,74.1,74.4,73.5,73.5,77.0,76.3 b,75.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Romania,65.0 b,65.1,65.8,66.1,66.7,69.0,68.5,68.2,67.8,67.2,69.7,56.0 b,55.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Serbia,56.2,54.0,53.1,54.8,54.5 b,51.1,49.2,48.1,47.5,50.7,56.1,50.7 b,51.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Sweden,69.0,68.9,68.6,68.0,68.0,68.9,70.0,71.0,72.0 b,71.7,73.3,73.9 b,71.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Slovenia,52.2,54.4,58.0,57.5,57.1,57.3,58.4,57.9,57.0,58.0,60.2,65.1 b,64.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Slovakia,65.3,62.7 b,59.5,58.8,58.7,59.2,59.0,60.0,61.8,62.6,66.2,68.6 b,69.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Türkiye,: u,: u,: u,: u,56.5 b,58.4,59.3,59.8,60.0,59.5,61.2,60.9 b,59.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,United Kingdom,58.6,58.2,62.4,62.8,62.2,62.6,63.0,62.5,64.3,62.6,:,:,:
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Austria,20.1,20.4,20.2,19.8,20.0,20.0,19.8,20.0,19.1,19.0,17.1,17.2 b,17.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,26.2 b,22.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Belgium,21.0,21.6 b,21.6,23.1,23.6,23.1,24.6,23.9 b,23.7,24.3,23.5,23.2 b,25.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Bulgaria,19.0 b,15.6 b,16.7,16.4,17.1,16.8,17.4,17.3,16.8,17.6 b,18.1,18.5 b,17.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Switzerland,23.6 b,23.6,23.5,23.8,24.3,24.9,25.0,24.3,24.3,23.6,23.9,22.4 b,21.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Cyprus,11.5,11.7,11.6,12.2,11.0,11.4,13.4,13.8,12.3,12.2,12.4,15.3 b,13.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Czechia,21.3,21.4 b,21.0,20.6,20.9,20.9,19.6,19.6,20.3,18.8,18.3,18.0 b,17.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Germany,20.1 b,19.0 b,19.0 b,18.4,18.1,17.8,17.7,15.7,15.8,16.2,14.5 b,14.4 b,12.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Denmark,29.4,27.1,28.9,27.8,28.1,27.5,30.3 b,28.2 b,28.1,27.9,25.6,26.8 b,28.0 b
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Euro area – 20 countries (from 2023),16.6,16.2,16.4,16.7,16.7,16.8,16.8,16.3,16.5,16.7,15.2,18.4 b,17.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Estonia,19.6,19.6,18.1,19.1,21.5,19.3,17.7,17.8,18.1,20.8,18.1,23.5 b,25.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Greece,22.3,22.0,20.4,21.0,21.5,21.2,21.2,20.4,19.2,19.8,19.0,20.8 b,26.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Spain,11.8,12.4,12.8,13.4,14.0,13.5,12.9,13.1,14.1,13.7,12.9,12.8 bd,13.7 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,European Union - 27 countries (from 2020),18.4,18.1,18.3,18.7,18.7,18.7,18.8,18.2,18.5,18.7,17.4,20.5 b,19.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Finland,23.4,23.7,25.2,25.8,24.5,25.5,25.0,25.4,26.3,26.6,25.3,28.8 b,30.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,France,19.1,18.9,18.7,20.6,20.6 b,21.5,22.0,22.2,22.7,23.1,20.2,22.0 bd,22.1 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Sometimes,Croatia,38.2,39.8,41.6 b,42.0,43.3,42.3,38.4,38.1,39.8,37.5,33.2,31.8 b,29.2
