Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,26.6
Annual,Adulthood,Percentage,Belgium,32.9
Annual,Adulthood,Percentage,Bulgaria,12.2
Annual,Adulthood,Percentage,Cyprus,39.9
Annual,Adulthood,Percentage,Czechia,30.5
Annual,Adulthood,Percentage,Germany,32.1
Annual,Adulthood,Percentage,Denmark,46.4
Annual,Adulthood,Percentage,Estonia,33.3
Annual,Adulthood,Percentage,Greece,42.6
Annual,Adulthood,Percentage,Spain,28.2
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),30.8 e
Annual,Adulthood,Percentage,Finland,53.7
Annual,Adulthood,Percentage,France,41.1
Annual,Adulthood,Percentage,Croatia,36.4
Annual,Adulthood,Percentage,Hungary,40.1
Annual,Adulthood,Percentage,Ireland,44.0
Annual,Adulthood,Percentage,Italy,14.76 d
Annual,Adulthood,Percentage,Lithuania,19.1
Annual,Adulthood,Percentage,Luxembourg,52.9
Annual,Adulthood,Percentage,Latvia,11.0
Annual,Adulthood,Percentage,Montenegro,17.5
Annual,Adulthood,Percentage,Malta,27.1
Annual,Adulthood,Percentage,Netherlands,40.9
Annual,Adulthood,Percentage,Poland,13.0
Annual,Adulthood,Percentage,Portugal,12.3
Annual,Adulthood,Percentage,Romania,32.5
Annual,Adulthood,Percentage,Serbia,18.4
Annual,Adulthood,Percentage,Sweden,55.4
Annual,Adulthood,Percentage,Slovenia,31.7
Annual,Adulthood,Percentage,Slovakia,53.0
Annual,Adulthood,Percentage,Kosovo*,22.4
Annual,Last 12 months,Percentage,Austria,2.9
Annual,Last 12 months,Percentage,Belgium,5.8
Annual,Last 12 months,Percentage,Bulgaria,3.2
Annual,Last 12 months,Percentage,Cyprus,7.4
Annual,Last 12 months,Percentage,Czechia,4.4
Annual,Last 12 months,Percentage,Germany,3.3
Annual,Last 12 months,Percentage,Denmark,6.3
Annual,Last 12 months,Percentage,Estonia,3.6
Annual,Last 12 months,Percentage,Greece,6.7
Annual,Last 12 months,Percentage,Spain,4.4
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),4.3 e
Annual,Last 12 months,Percentage,Finland,5.4
Annual,Last 12 months,Percentage,France,4.4
Annual,Last 12 months,Percentage,Croatia,6.4
Annual,Last 12 months,Percentage,Hungary,5.8
Annual,Last 12 months,Percentage,Ireland,6.7
Annual,Last 12 months,Percentage,Italy,2.27 d
Annual,Last 12 months,Percentage,Lithuania,2.5
Annual,Last 12 months,Percentage,Luxembourg,9.7
Annual,Last 12 months,Percentage,Latvia,1.6
Annual,Last 12 months,Percentage,Montenegro,2.7 u
Annual,Last 12 months,Percentage,Malta,4.6
Annual,Last 12 months,Percentage,Netherlands,6.6
Annual,Last 12 months,Percentage,Poland,2.0
Annual,Last 12 months,Percentage,Portugal,2.2
Annual,Last 12 months,Percentage,Romania,6.2
Annual,Last 12 months,Percentage,Serbia,3.2
Annual,Last 12 months,Percentage,Sweden,11.1
Annual,Last 12 months,Percentage,Slovenia,6.8
Annual,Last 12 months,Percentage,Slovakia,9.4
Annual,Last 12 months,Percentage,Kosovo*,6.3 u
Annual,Last 5 years,Percentage,Austria,10.4
Annual,Last 5 years,Percentage,Belgium,15.2
Annual,Last 5 years,Percentage,Bulgaria,6.6
Annual,Last 5 years,Percentage,Cyprus,19.7
Annual,Last 5 years,Percentage,Czechia,12.7
Annual,Last 5 years,Percentage,Germany,14.1
Annual,Last 5 years,Percentage,Denmark,18.5
Annual,Last 5 years,Percentage,Estonia,11.9
Annual,Last 5 years,Percentage,Greece,17.4
Annual,Last 5 years,Percentage,Spain,12.0
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),12.8 e
Annual,Last 5 years,Percentage,Finland,25.5
Annual,Last 5 years,Percentage,France,15.5
Annual,Last 5 years,Percentage,Croatia,14.0
Annual,Last 5 years,Percentage,Hungary,17.8
Annual,Last 5 years,Percentage,Ireland,17.4
Annual,Last 5 years,Percentage,Italy,4.44 d
Annual,Last 5 years,Percentage,Lithuania,8.2
Annual,Last 5 years,Percentage,Luxembourg,25.8
Annual,Last 5 years,Percentage,Latvia,4.6
Annual,Last 5 years,Percentage,Montenegro,8.2
Annual,Last 5 years,Percentage,Malta,11.4
Annual,Last 5 years,Percentage,Netherlands,18.9
Annual,Last 5 years,Percentage,Poland,5.3
Annual,Last 5 years,Percentage,Portugal,5.6
Annual,Last 5 years,Percentage,Romania,14.2
Annual,Last 5 years,Percentage,Serbia,8.4
Annual,Last 5 years,Percentage,Sweden,24.4
Annual,Last 5 years,Percentage,Slovenia,14.9
Annual,Last 5 years,Percentage,Slovakia,23.6
Annual,Last 5 years,Percentage,Kosovo*,15.5
