Time frequency,Unit of measure,Agricultural products,Geopolitical entity (reporting)\Time,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
Annual,Euro per hectare,Arable land,Austria,:,:,:,:,:,:,:,:,:,:,248.43 e,250.85 e,244.50 e,243.38 e,244.18 e,241.98 e,244.13 e,266.57 e,267.45 e,273.82 e,282.35 e,286.16 e,305.13 e,321.17,326.06
Annual,Euro per hectare,Arable land,Belgium,119.56 e,126.08 e,130.97 e,131.18 e,134.56 e,140.01 e,141.51 e,146.37 e,155.24 e,160.73 e,171.87 e,176.41 e,174.79 e,178.41 e,184.80 e,188.30 e,188.30 e,189.00 e,197.00 e,200.00 e,203.00 e,:,:,:,:
Annual,Euro per hectare,Arable land,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,73.21 e,97.15 e,98.68 e,102.26 e,115.04 e,128.85
Annual,Euro per hectare,Arable land,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,53.75
Annual,Euro per hectare,Arable land,Germany,:,:,:,:,:,:,:,:,:,:,:,:,164.28 e,:,173.00 e,:,182.00 e,:,193.00 e,:,197.00 e,:,:,:,:
Annual,Euro per hectare,Arable land,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,344.12 e,363.79 e,386.25 e,411.00 e,418.82 e,416.81 e,479.82 e,479.29 e,520.25,534.77
Annual,Euro per hectare,Arable land,Greece,435.56 e,393.33 e,384.76 e,395.05 e,406.64 e,401.31 e,398.37 e,393.96 e,387.21 e,396.67 e,413.48 e,434.04 e,447.82 e,425.62 e,435.79 e,446.61 e,455.01 e,477.44 e,501.69 e,516.70 e,515.00 e,502.20 e,508.30 e,501.70 e,:
Annual,Euro per hectare,Arable land,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,139.85 e,152.49 e,160.65 e,161.46 e,167.91 e,178.71 e,179.57 e,187.00 e,191.00 e,192.00 e,195.00 e,189.0
Annual,Euro per hectare,Arable land,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,155.63 e,:,:,:,:,200.0
Annual,Euro per hectare,Arable land,France,95.38 e,98.40 e,98.64 e,99.10 e,101.33 e,104.93 e,106.11 e,110.05 e,115.79 e,118.78 e,121.24 e,123.45 e,123.70 e,127.98 e,132.00 e,131.90 e,131.20 e,132.00 e,:,:,:,:,:,:,:
Annual,Euro per hectare,Arable land,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.35 e,48.48 e,56.09 e,60.76 e,66.84 e,71.07 e,92.06 e,98.45 e,92.32
Annual,Euro per hectare,Arable land,Malta,:,:,:,:,:,:,:,:,:,:,8.3,8.37,19.7,19.82,20.25,37.94,38.04,37.49,35.98,35.82,35.66,83.18,83.18,83.18,83.18
Annual,Euro per hectare,Arable land,Netherlands,209.07 e,222.83 e,239.92 e,244.13 e,244.08 e,248.69 e,253.14 e,259.36 e,266.64 e,282.64 e,295.03 e,296.61 e,312.00 e,385.21 e,454.00 e,508.00 e,533.00 e,:,:,:,:,:,:,:,:
