Time frequency,Unit of measure,Modalities of the variable for the ad-hoc module,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Percentage,No,From 50 to 69 years,Total,Luxembourg,55.9
Annual,Percentage,No,From 50 to 69 years,Total,Latvia,64.9
Annual,Percentage,No,From 50 to 69 years,Total,Malta,66.4
Annual,Percentage,No,From 50 to 69 years,Total,Netherlands,43.8
Annual,Percentage,No,From 50 to 69 years,Total,Poland,55.8
Annual,Percentage,No,From 50 to 69 years,Total,Portugal,42.5
Annual,Percentage,No,From 50 to 69 years,Total,Romania,78.5
Annual,Percentage,No,From 50 to 69 years,Total,Sweden,53.8
Annual,Percentage,No,From 50 to 69 years,Total,Slovenia,60.4
Annual,Percentage,No,From 50 to 69 years,Total,Slovakia,72.0
Annual,Percentage,No,From 50 to 69 years,Total,United Kingdom,76.7
Annual,Percentage,No answer,From 50 to 69 years,Females,Belgium,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,Switzerland,1.1 u
Annual,Percentage,No answer,From 50 to 69 years,Females,Euro area - 19 countries  (2015-2022),6.9
Annual,Percentage,No answer,From 50 to 69 years,Females,Spain,: u
Annual,Percentage,No answer,From 50 to 69 years,Females,European Union - 27 countries (from 2020),4.5
Annual,Percentage,No answer,From 50 to 69 years,Females,European Union - 28 countries (2013-2020),3.8
Annual,Percentage,No answer,From 50 to 69 years,Females,Finland,: u
Annual,Percentage,No answer,From 50 to 69 years,Females,Ireland,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,Italy,0.2 u
Annual,Percentage,No answer,From 50 to 69 years,Females,Luxembourg,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,Netherlands,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,Portugal,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,Sweden,: @C
Annual,Percentage,No answer,From 50 to 69 years,Females,United Kingdom,: @C
Annual,Percentage,No answer,From 50 to 69 years,Males,Belgium,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,Switzerland,0.7 u
Annual,Percentage,No answer,From 50 to 69 years,Males,Euro area - 19 countries  (2015-2022),6.8
Annual,Percentage,No answer,From 50 to 69 years,Males,Spain,0.3 u
Annual,Percentage,No answer,From 50 to 69 years,Males,European Union - 27 countries (from 2020),5.3
Annual,Percentage,No answer,From 50 to 69 years,Males,European Union - 28 countries (2013-2020),4.6
Annual,Percentage,No answer,From 50 to 69 years,Males,Finland,1.0 u
Annual,Percentage,No answer,From 50 to 69 years,Males,Ireland,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,Iceland,: @C
Annual,Percentage,No answer,From 50 to 69 years,Males,Italy,0.6
Annual,Percentage,No answer,From 50 to 69 years,Males,Luxembourg,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,Netherlands,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,Portugal,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,Sweden,: u
Annual,Percentage,No answer,From 50 to 69 years,Males,United Kingdom,0.4 u
Annual,Percentage,No answer,From 50 to 69 years,Total,Belgium,: u
Annual,Percentage,No answer,From 50 to 69 years,Total,Switzerland,0.9
Annual,Percentage,No answer,From 50 to 69 years,Total,Euro area - 19 countries  (2015-2022),6.8
Annual,Percentage,No answer,From 50 to 69 years,Total,Spain,0.3 u
Annual,Percentage,No answer,From 50 to 69 years,Total,European Union - 27 countries (from 2020),4.9
Annual,Percentage,No answer,From 50 to 69 years,Total,European Union - 28 countries (2013-2020),4.2
Annual,Percentage,No answer,From 50 to 69 years,Total,Finland,0.8 u
Annual,Percentage,No answer,From 50 to 69 years,Total,Ireland,: u
Annual,Percentage,No answer,From 50 to 69 years,Total,Iceland,: @C
Annual,Percentage,No answer,From 50 to 69 years,Total,Italy,0.5
Annual,Percentage,No answer,From 50 to 69 years,Total,Luxembourg,: u
Annual,Percentage,No answer,From 50 to 69 years,Total,Netherlands,0.3 u
Annual,Percentage,No answer,From 50 to 69 years,Total,Portugal,: u
Annual,Percentage,No answer,From 50 to 69 years,Total,Sweden,: u
Annual,Percentage,No answer,From 50 to 69 years,Total,United Kingdom,0.3 u
Annual,Percentage,Yes,From 50 to 69 years,Females,Austria,50.0
Annual,Percentage,Yes,From 50 to 69 years,Females,Belgium,41.5
Annual,Percentage,Yes,From 50 to 69 years,Females,Bulgaria,4.6
Annual,Percentage,Yes,From 50 to 69 years,Females,Switzerland,34.3
Annual,Percentage,Yes,From 50 to 69 years,Females,Cyprus,20.3
Annual,Percentage,Yes,From 50 to 69 years,Females,Czechia,4.0
Annual,Percentage,Yes,From 50 to 69 years,Females,Denmark,13.8 u
Annual,Percentage,Yes,From 50 to 69 years,Females,Euro area - 19 countries  (2015-2022),43.2
Annual,Percentage,Yes,From 50 to 69 years,Females,Estonia,10.7
