Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,13.1,11.3,11.7,11.5,11.1,:,:
Annual,Percentage,Total,Total,Total,Austria,14.3,14.3,14.0,14.0,13.9,13.2,13.7,13.4,13.0,13.3,13.7,12.3
Annual,Percentage,Total,Total,Total,Belgium,17.4,16.4,16.2,15.5,15.0,15.0,13.9,13.9 b,12.9,12.8,13.4,13.8
Annual,Percentage,Total,Total,Total,Bulgaria,19.9,20.2,18.6,20.0,22.7 b,21.5,21.0,19.2,18.4,17.1,18.1,16.6
Annual,Percentage,Total,Total,Total,Switzerland,21.5,20.9,21.1 b,20.9,21.3,21.2,21.0,21.7,21.1,21.3,20.6,21.4
Annual,Percentage,Total,Total,Total,Cyprus,8.2,9.0,9.3,9.5,8.3,8.1,7.8,7.6,7.6,7.4,7.5,8.1
Annual,Percentage,Total,Total,Total,Czechia,19.0,20.7,20.1,19.4,18.6,17.8,17.1,16.3,15.4,15.4,15.6,17.7
Annual,Percentage,Total,Total,Total,Germany,22.3,22.3,21.6,21.6,21.3,20.8,20.4,20.7,16.4 b,18.0,19.4,19.6
Annual,Percentage,Total,Total,Total,Denmark,24.8,24.7,22.9,22.6,21.1,22.4,22.2,21.4,20.9 b,20.3,19.3,20.1
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),16.3,16.5,16.3,16.2,15.5,14.8,14.6,14.6,13.0,:,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,16.3,16.2,15.5,14.8,14.6,14.5,13.0,14.0 u,14.1,14.1
Annual,Percentage,Total,Total,Total,Estonia,14.6,14.0,13.2 b,12.1,10.9,10.4,10.1,10.0,9.7,9.9,10.5,12.1
Annual,Percentage,Total,Total,Total,Greece,31.0,33.0,36.9,37.5,33.7,33.6,33.8,32.3,30.3,27.8,29.2,29.8
Annual,Percentage,Total,Total,Total,Spain,12.6,12.9,12.5,12.5,12.0,11.3,11.3,10.8,10.6,11.2,11.4,11.5
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),16.4,16.6,17.0,16.7,16.0,15.6,15.2,15.0 e,:,:,:,:
