Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Chain linked volumes, percentage change on previous period",Armenia,13.9 d,13.2 d,13.7 d,6.9 d,-14.1 d,2.2 d,4.7 d,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6,-7.2,5.8,12.6
Annual,"Chain linked volumes, percentage change on previous period",Azerbaijan,26.4,34.5,25.0,10.8,9.3,5.0,0.1,2.2,5.8,2.8 p,1.1,-3.1,0.2,1.5,2.5,-4.2,5.6,4.6
Annual,"Chain linked volumes, percentage change on previous period",Belarus,9.4 d,10.0 d,8.6 d,10.2 d,0.2,7.7,5.5,1.7,1.0,1.7,-3.8,-2.5,2.5,3.1,1.4,-0.9 p,:,:
Annual,"Chain linked volumes, percentage change on previous period",Georgia,9.6 d,9.4 d,12.6 d,2.4 d,-3.7 d,6.2 d,7.4 d,6.4 d,3.6 d,4.4 d,3.0 d,2.9 d,4.8 d,4.8 d,5.0 d,-6.8 d,10.5 d,10.1 d
Annual,"Chain linked volumes, percentage change on previous period",Moldova,7.5 d,4.8 d,3.0 d,7.8 d,-6.0 d,:,5.8 bd,-0.6 d,9.0 d,5.0,-0.7 bd,4.6 d,4.2,4.1 d,3.6 d,-8.3 d,13.9 d,-5.0 d
Annual,"Chain linked volumes, percentage change on previous period",Ukraine,3.1,7.6,8.2,2.2,-15.1,4.1,5.4,0.2,0.0,-6.6 d,-9.8 d,2.4 d,2.4 d,3.5 d,3.2 d,-3.8 d,3.4 d,-29.1 d
Annual,"Current prices, euro per capita",Armenia,1222.1 d,1582.2 d,2086.5 d,2450.6 d,1909.0 d,2291.1 d,2405.4 d,2732.1 d,2770.5 d,2901.9 d,3163.7 d,3184.1 d,3425.3 d,3550.9 d,4105.4 d,3738.9 d,3957.0 d,6213.6 d
Annual,"Current prices, euro per capita",Azerbaijan,1265.3,1968.8,2804.4,3805.1,3595.6,4471.7,5233.3,5904.7,6004.9,6009.6 p,5014.6,3550.4,3720.3,4059.0,4331.7,3740.7,4610.6,7393.8
Annual,"Current prices, euro per capita",Belarus,2510.9 d,3065.5 d,3460.1 d,4345.4 d,3847.7 d,4550.6 d,5048.5 d,5411.0 d,6027.9 d,6282.6 d,5396.3 d,4556.7 d,5132.3 d,5387.6 d,6107.8 d,5646.1 dp,:,:
Annual,"Current prices, euro per capita",Georgia,1317.6 d,1594.3 d,1925.9 d,2264.7 d,2023.1 d,2437.3 d,2889.6 d,3439.0 d,3481.1 d,3566.6 d,3614.2 d,3673.4 d,3860.6 d,4000.9 d,4195.9 d,3725.9 d,4242.1 d,6317.5 d
Annual,"Current prices, euro per capita",Moldova,667.0 d,757.0 d,899.9 d,1152.6 d,1091.7 d,1477.0 bd,1698.0 d,1904.0 d,2008.0 d,2478.3 bd,2475.9 d,2572.0 d,3067.1,3519.3 d,3935.0 d,3839.0 d,4456.6 d,5427.8 d
