Time frequency,Unit of measure,Weight,Motor energy,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,1 500 kg or over,Electricity,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Switzerland,0.0,:,0.0,0.0,0.0,0 e,0 n
Annual,Number,1 500 kg or over,Electricity,Cyprus,: m,1.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Germany,14.0,9.0,8.0,17.0,7.0,11.0,5.0
Annual,Number,1 500 kg or over,Electricity,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,France,2.0,: m,0.0,45.0,:,:,:
Annual,Number,1 500 kg or over,Electricity,Croatia,:,: m,: m,: m,: m,: m,: m
Annual,Number,1 500 kg or over,Electricity,Hungary,0.0,0.0,0.0,:,1.0,:,:
Annual,Number,1 500 kg or over,Electricity,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,1 500 kg or over,Electricity,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,1 500 kg or over,Electricity,Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Electricity,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Electricity,Poland,: m,: m,: m,: m,:,:,:
Annual,Number,1 500 kg or over,Electricity,Sweden,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,1 500 kg or over,Natural gas,Austria,2.0,1.0,10.0,4.0,14.0,0.0,7.0
Annual,Number,1 500 kg or over,Natural gas,Switzerland,0.0,:,:,:,0.0,0 e,0 n
Annual,Number,1 500 kg or over,Natural gas,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Natural gas,Germany,150.0,17.0,49.0,119.0,51.0,59.0,68.0
Annual,Number,1 500 kg or over,Natural gas,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Natural gas,Finland,0.0,5.0,2.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Natural gas,France,185.0,64.0,118.0,155.0,:,:,:
Annual,Number,1 500 kg or over,Natural gas,Croatia,:,: m,: m,: m,1.0,: m,: m
Annual,Number,1 500 kg or over,Natural gas,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Natural gas,Italy,:,:,19.0,26.0,15.0,17.0,22.0
Annual,Number,1 500 kg or over,Natural gas,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,1 500 kg or over,Natural gas,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,1 500 kg or over,Natural gas,Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Natural gas,Latvia,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Annual,Number,1 500 kg or over,Natural gas,Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Natural gas,Poland,: m,: m,: m,: m,:,:,:
Annual,Number,1 500 kg or over,Natural gas,Sweden,62.0,45.0,43.0,73.0,:,50.0,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Austria,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Switzerland,0.0,:,:,:,0.0,0 e,0 n
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Germany,10.0,1.0,4.0,5.0,9.0,2.0,4.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),France,10.0,: m,1.0,0.0,:,:,:
