Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Euro per inhabitant (at constant 2010 prices),Total,Albania,:,:,:,:,:,:,:,436.45 p,451.43 p,496.52 p,518.29 p,528.23
Annual,Euro per inhabitant (at constant 2010 prices),Total,Austria,10335.2,10440.09,10520.84,10589.55,10660.02,10775.12,10693.12,10760.46,10920.6,11868.67,11921.38,11255.19
Annual,Euro per inhabitant (at constant 2010 prices),Total,Bosnia and Herzegovina,:,:,697.06,724.61,779.57,873.52,885.77,911.38,7103.18,7747.19,7810.71,999.88
Annual,Euro per inhabitant (at constant 2010 prices),Total,Belgium,9866.62,9785.98,9908.39,10032.36,10178.66,10109.11,10072.22,10110.0,10300.78,11089.89,10932.48 p,10573.97
Annual,Euro per inhabitant (at constant 2010 prices),Total,Bulgaria,896.17,892.81,959.86,1016.82,1024.72,1061.26,1071.27,1122.26,1182.94,1340.04,1472.37,1585.43
Annual,Euro per inhabitant (at constant 2010 prices),Total,Switzerland,14294.0,14671.28,15345.5,15559.72,16096.11,16395.46,16496.44,16460.38,16897.66,18600.01,18543.84,18277.33 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Cyprus,4536.54,4462.86,4592.21,3987.87,4177.31,4357.11,4324.69,4335.4,4754.84,5997.86,6015.11,5847.21
Annual,Euro per inhabitant (at constant 2010 prices),Total,Czechia,2989.81,3024.31,2989.82,3029.92,3076.88,3134.86,3161.0,3247.07,3406.2,3776.82,3925.19,3629.98
Annual,Euro per inhabitant (at constant 2010 prices),Total,Germany,9479.22,9537.21,9677.63,9846.74,10128.48,10423.77,10590.82,10742.54,11027.22,11678.43,11719.5,11257.99 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Denmark,14703.14,14803.06,15304.02,15530.48,15577.12,15355.14,15517.33,15616.9,15799.79,16418.15,16429.8,15368.98 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Euro area - 19 countries  (2015-2022),8313.2,8324.48,8377.43,8464.28,8607.84,8732.89,8805.31 p,8892.97 p,9098.24 p,9751.63 p,9767.71 p,9368.74 p
