Time frequency,International Standard Classification of Education (ISCED 1997),Duration,Geopolitical entity (reporting)\Time,2008.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Czechia,13.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Estonia,4.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Greece,15.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Spain,20.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,France,21.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Hungary,14.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Latvia,27.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Malta,14.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Poland,18.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Romania,1.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Slovenia,22.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Slovakia,14.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 1 to 2 years,Türkiye,3.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Belgium,7.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Bulgaria,8.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Cyprus,13.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Czechia,5.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Estonia,2.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Greece,9.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Spain,8.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,France,7.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Hungary,10.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Latvia,9.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Malta,8.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Poland,9.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Romania,1.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Slovenia,14.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Slovakia,4.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",From 2 to 3 years,Türkiye,1.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Austria,8.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Belgium,21.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Bulgaria,10.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Cyprus,24.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Czechia,10.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Estonia,12.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Greece,16.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Spain,12.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,France,18.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Hungary,26.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Latvia,23.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Malta,24.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Poland,26.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Romania,2.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Slovenia,17.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Slovakia,16.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Over 3 years,Türkiye,3.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Austria,41.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Belgium,35.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Bulgaria,7.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Cyprus,24.6
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Czechia,25.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Germany,: @C
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Estonia,11.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Greece,30.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Spain,33.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,France,38.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Hungary,17.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Latvia,27.4
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Malta,21.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Poland,19.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Romania,1.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Slovenia,32.2
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Slovakia,21.7
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Türkiye,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Austria,11.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Belgium,18.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Bulgaria,40.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Cyprus,18.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Czechia,26.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Germany,10.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Estonia,58.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Greece,17.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Spain,19.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,France,11.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Hungary,18.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Latvia,7.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Malta,19.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Poland,14.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Romania,80.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Slovenia,8.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Slovakia,27.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Türkiye,83.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Austria,27.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Belgium,15.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Bulgaria,20.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Cyprus,23.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Czechia,15.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Germany,14.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Estonia,8.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Greece,20.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Spain,21.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,France,22.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Hungary,20.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Latvia,32.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Malta,18.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Poland,29.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Romania,7.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Slovenia,27.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Slovakia,22.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Türkiye,3.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Belgium,8.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Bulgaria,10.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Cyprus,8.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Czechia,4.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Germany,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Estonia,2.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Greece,5.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Spain,9.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,France,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Hungary,8.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Latvia,6.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Malta,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Poland,8.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Romania,4.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Slovenia,12.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Slovakia,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Türkiye,1.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Austria,4.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Belgium,14.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Bulgaria,9.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Cyprus,13.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Czechia,6.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Germany,10.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Estonia,11.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Greece,6.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Spain,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,France,9.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Hungary,15.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Latvia,11.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Malta,14.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Poland,13.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Romania,3.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Slovenia,13.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Slovakia,8.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Türkiye,2.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Austria,56.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Belgium,44.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Bulgaria,18.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Cyprus,36.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Czechia,47.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Germany,58.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Estonia,19.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Greece,49.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Spain,40.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,France,49.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Hungary,36.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Latvia,41.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Malta,38.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Poland,34.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Romania,4.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Slovenia,38.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Slovakia,33.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Türkiye,8.8
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Austria,8.8
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Belgium,13.1
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Bulgaria,31.7
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Cyprus,18.3
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Czechia,16.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Germany,: @C
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Estonia,52.5
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Greece,14.0
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Spain,16.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,France,8.5
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Hungary,14.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Latvia,4.8
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Malta,30.9
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Poland,8.3
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Romania,68.2
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Slovenia,4.5
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Slovakia,30.0
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Türkiye,73.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Austria,24.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Belgium,17.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Bulgaria,26.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Cyprus,24.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Czechia,20.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Germany,16.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Estonia,8.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Greece,19.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Spain,21.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,France,22.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Hungary,20.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Latvia,30.9
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Malta,13.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Poland,30.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Romania,12.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Slovenia,21.9
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Slovakia,21.7
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Türkiye,7.5
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Belgium,5.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Bulgaria,7.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Cyprus,6.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Czechia,3.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Germany,: @C
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Estonia,3.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Greece,4.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Spain,8.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,France,5.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Hungary,8.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Latvia,7.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Malta,4.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Poland,6.7
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Romania,5.1
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Slovenia,19.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Slovakia,7.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Türkiye,2.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Austria,4.3
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Belgium,12.5
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Bulgaria,8.8
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Cyprus,6.6
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Czechia,1.9
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Germany,6.8
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Estonia,6.6
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Greece,4.8
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Spain,8.2
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,France,6.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Hungary,8.9
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Latvia,6.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Malta,12.9
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Poland,5.7
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Romania,4.1
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Slovenia,9.3
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Slovakia,6.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Türkiye,4.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Austria,62.1
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Belgium,51.8
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Bulgaria,26.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Cyprus,45.1
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Czechia,58.2
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Germany,66.1
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Estonia,28.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Greece,57.6
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Spain,46.0
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,France,57.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Hungary,47.7
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Latvia,50.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Malta,38.3
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Poland,49.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Romania,10.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Slovenia,45.3
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Slovakia,34.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Türkiye,12.3
Annual,All ISCED 1997 levels,Never,Austria,13.0
Annual,All ISCED 1997 levels,Never,Belgium,17.0
Annual,All ISCED 1997 levels,Never,Bulgaria,43.5
Annual,All ISCED 1997 levels,Never,Cyprus,18.0
Annual,All ISCED 1997 levels,Never,Czechia,27.3
Annual,All ISCED 1997 levels,Never,Germany,10.2
Annual,All ISCED 1997 levels,Never,Estonia,59.3
Annual,All ISCED 1997 levels,Never,Greece,20.1
Annual,All ISCED 1997 levels,Never,Spain,21.1
Annual,All ISCED 1997 levels,Never,France,11.6
Annual,All ISCED 1997 levels,Never,Hungary,20.2
Annual,All ISCED 1997 levels,Never,Latvia,7.7
Annual,All ISCED 1997 levels,Never,Malta,25.0
Annual,All ISCED 1997 levels,Never,Poland,14.5
Annual,All ISCED 1997 levels,Never,Romania,82.4
Annual,All ISCED 1997 levels,Never,Slovenia,8.9
Annual,All ISCED 1997 levels,Never,Slovakia,29.2
Annual,All ISCED 1997 levels,Never,Türkiye,84.1
Annual,All ISCED 1997 levels,From 1 to 2 years,Austria,27.4
Annual,All ISCED 1997 levels,From 1 to 2 years,Belgium,15.8
Annual,All ISCED 1997 levels,From 1 to 2 years,Bulgaria,19.7
Annual,All ISCED 1997 levels,From 1 to 2 years,Cyprus,22.9
Annual,All ISCED 1997 levels,From 1 to 2 years,Czechia,16.2
Annual,All ISCED 1997 levels,From 1 to 2 years,Germany,14.9
Annual,All ISCED 1997 levels,From 1 to 2 years,Estonia,7.9
Annual,All ISCED 1997 levels,From 1 to 2 years,Greece,18.4
Annual,All ISCED 1997 levels,From 1 to 2 years,Spain,21.0
Annual,All ISCED 1997 levels,From 1 to 2 years,France,22.0
Annual,All ISCED 1997 levels,From 1 to 2 years,Hungary,19.3
Annual,All ISCED 1997 levels,From 1 to 2 years,Latvia,31.3
Annual,All ISCED 1997 levels,From 1 to 2 years,Malta,16.3
Annual,All ISCED 1997 levels,From 1 to 2 years,Poland,28.2
Annual,All ISCED 1997 levels,From 1 to 2 years,Romania,6.5
Annual,All ISCED 1997 levels,From 1 to 2 years,Slovenia,25.4
Annual,All ISCED 1997 levels,From 1 to 2 years,Slovakia,21.9
Annual,All ISCED 1997 levels,From 1 to 2 years,Türkiye,3.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Belgium,6.9
Annual,All ISCED 1997 levels,From 2 to 3 years,Bulgaria,9.1
Annual,All ISCED 1997 levels,From 2 to 3 years,Cyprus,9.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Czechia,4.1
Annual,All ISCED 1997 levels,From 2 to 3 years,Germany,5.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Estonia,2.7
Annual,All ISCED 1997 levels,From 2 to 3 years,Greece,6.8
Annual,All ISCED 1997 levels,From 2 to 3 years,Spain,8.6
Annual,All ISCED 1997 levels,From 2 to 3 years,France,6.4
Annual,All ISCED 1997 levels,From 2 to 3 years,Hungary,8.8
Annual,All ISCED 1997 levels,From 2 to 3 years,Latvia,7.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Malta,8.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Poland,8.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Romania,3.7
Annual,All ISCED 1997 levels,From 2 to 3 years,Slovenia,14.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Slovakia,7.0
