Time frequency,Interest rate,Geopolitical entity (reporting)\Time,Janvier-Mars 1980,Avril-Juin 1980,Jullet-Septembre 1980,Octobre-Décembre 1980,Janvier-Mars 1981,Avril-Juin 1981,Jullet-Septembre 1981,Octobre-Décembre 1981,Janvier-Mars 1982,Avril-Juin 1982,Jullet-Septembre 1982,Octobre-Décembre 1982,Janvier-Mars 1983,Avril-Juin 1983,Jullet-Septembre 1983,Octobre-Décembre 1983,Janvier-Mars 1984,Avril-Juin 1984,Jullet-Septembre 1984,Octobre-Décembre 1984,Janvier-Mars 1985,Avril-Juin 1985,Jullet-Septembre 1985,Octobre-Décembre 1985,Janvier-Mars 1986,Avril-Juin 1986,Jullet-Septembre 1986,Octobre-Décembre 1986,Janvier-Mars 1987,Avril-Juin 1987,Jullet-Septembre 1987,Octobre-Décembre 1987,Janvier-Mars 1988,Avril-Juin 1988,Jullet-Septembre 1988,Octobre-Décembre 1988,Janvier-Mars 1989,Avril-Juin 1989,Jullet-Septembre 1989,Octobre-Décembre 1989,Janvier-Mars 1990,Avril-Juin 1990,Jullet-Septembre 1990,Octobre-Décembre 1990,Janvier-Mars 1991,Avril-Juin 1991,Jullet-Septembre 1991,Octobre-Décembre 1991,Janvier-Mars 1992,Avril-Juin 1992,Jullet-Septembre 1992,Octobre-Décembre 1992,Janvier-Mars 1993,Avril-Juin 1993,Jullet-Septembre 1993,Octobre-Décembre 1993,Janvier-Mars 1994,Avril-Juin 1994,Jullet-Septembre 1994,Octobre-Décembre 1994,Janvier-Mars 1995,Avril-Juin 1995,Jullet-Septembre 1995,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998,Janvier-Mars 1999,Avril-Juin 1999,Jullet-Septembre 1999,Octobre-Décembre 1999,Janvier-Mars 2000,Avril-Juin 2000,Jullet-Septembre 2000,Octobre-Décembre 2000,Janvier-Mars 2001,Avril-Juin 2001,Jullet-Septembre 2001,Octobre-Décembre 2001,Janvier-Mars 2002,Avril-Juin 2002,Jullet-Septembre 2002,Octobre-Décembre 2002,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024,Octobre-Décembre 2024
Quarterly,EMU convergence criterion bond yields,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.02,7.98667,7.56333,7.51,7.73,7.35,7.26333,7.41,7.17333,6.77,6.93333,7.15333,6.89667,6.84333,6.99333,6.70667,6.80333,7.11333,7.12667,7.57,8.49667,8.81667,8.84333,8.90333,8.62333,8.46333,8.61667,8.53333,8.26333,8.34333,8.36333,7.64667,7.07,6.99,6.6,6.16,6.11,7.02,7.3,7.68,7.63,7.18,7.0,6.73,6.4,6.51,6.43,5.95,5.71,5.82,5.65,5.55,5.08,4.96,4.59,4.23,4.0,4.26,5.08,5.38,5.7,5.56,5.57,5.39,5.07,5.26,5.16,4.84,5.18,5.31,4.8,4.56,4.09,3.92,4.17,4.38,4.18,4.34,4.18,3.82,3.6,3.38,3.22,3.37,3.49,3.99,3.92,3.8,4.05,4.39,4.43,4.32,4.18,4.54,4.57,4.14,4.12,4.16,3.85,3.62,3.65,3.29,2.88,3.09,3.63,3.58,2.94,3.13,3.05,2.54,2.03,1.88,1.88,1.81,2.21,2.15,1.98,1.68,1.32,0.96,0.45,0.69,1.0,0.84,0.58,0.36,0.14,0.42,0.58,0.57,0.64,0.54,0.77,0.74,0.62,0.61,0.43,0.19,-0.26,-0.11,-0.15,-0.06,-0.28,-0.41,-0.23,0.02,-0.14,0.01,0.48,1.63,1.95,2.79,2.97,3.04,3.2,3.13,2.84,3.01,2.81,2.71
Quarterly,EMU convergence criterion bond yields,Belgium,11.58667,11.97333,11.76667,12.27333,12.96,13.38,13.71,13.69667,13.81333,13.63,13.33,12.94,12.44,11.79667,11.59333,11.93333,12.41667,12.39333,12.20333,11.95667,11.73667,11.29,10.74333,10.10333,9.84,8.45,8.06333,8.15,8.19,8.05667,8.07,8.42,7.87,7.89,8.17667,8.09333,8.32667,8.37333,8.39,9.05667,10.15333,9.85667,9.95333,10.06,9.45,9.18667,9.36333,9.13667,8.75,8.86667,8.90333,8.08667,7.53,7.37,7.12,6.9,6.79,7.6,8.25,8.37,8.29,7.59,7.19,6.85,6.64,6.71,6.62,6.0,5.8,5.92,5.69,5.61,5.12,5.03,4.63,4.23,4.07,4.35,5.15,5.43,5.73,5.58,5.6,5.46,5.13,5.31,5.21,4.87,5.2,5.33,4.83,4.59,4.18,3.99,4.18,4.37,4.2,4.37,4.21,3.83,3.64,3.43,3.25,3.39,3.54,4.0,3.92,3.8,4.06,4.4,4.48,4.37,4.24,4.57,4.66,4.2,4.13,4.03,3.8,3.64,3.7,3.44,3.15,3.56,4.19,4.21,4.07,4.46,3.78,3.33,2.61,2.28,2.34,2.18,2.65,2.47,2.37,1.99,1.44,1.05,0.62,0.83,1.05,0.86,0.73,0.51,0.18,0.48,0.81,0.72,0.75,0.6,0.85,0.81,0.72,0.8,0.67,0.34,-0.17,-0.06,-0.06,0.05,-0.21,-0.37,-0.2,0.11,-0.05,0.09,0.55,1.67,1.99,2.73,2.93,3.05,3.23,3.15,2.89,3.06,2.89,2.85
Quarterly,EMU convergence criterion bond yields,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.02,6.78,5.92,6.06,5.69,5.32,5.3,5.13,4.29,4.07,3.65,3.49,3.75,4.22,4.5,4.27,4.24,4.37,4.67,4.87,5.05,4.97,5.17,6.31,7.32,7.21,7.59,6.74,6.17,6.09,5.98,5.77,5.47,5.37,5.33,5.26,5.23,5.1,4.32,3.35,3.35,3.41,3.54,3.59,3.56,3.24,3.35,3.24,2.65,2.36,2.36,2.59,2.59,2.4,2.27,1.82,1.75,1.74,1.67,1.25,0.98,1.02,0.84,0.74,0.69,0.43,0.38,0.22,0.14,0.36,0.32,0.2,0.16,0.14,0.14,0.31,0.76,1.67,1.85,1.85,2.93,4.03,4.03,4.02,3.93,3.93,3.93,3.93
Quarterly,EMU convergence criterion bond yields,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.67,7.68,7.6,7.55,6.68,5.37,5.37,5.37,4.98,4.69,4.59,4.71,4.9,5.28,6.58,6.43,6.03,5.61,4.83,4.18,3.96,4.06,4.26,4.26,4.42,4.44,4.44,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.99,6.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.62,3.69,3.84,3.94,3.9,3.78,3.47,3.39,3.03,2.42,1.65,1.81,2.42,2.1,2.37,1.99,1.22,0.53,0.55,0.81,1.54,0.85,0.31,0.3,0.44,0.21,0.53,1.46,2.79,3.39,4.2,4.16,3.92,3.86,3.72,3.27,3.32,3.06,2.89
Quarterly,EMU convergence criterion bond yields,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.40667,6.95333,7.44333,6.52,6.49,6.69,5.56,5.39,5.28,4.61,4.22,3.89,3.71,4.18,4.68,4.71,4.91,5.12,4.55,3.74,3.5,3.32,3.61,3.47,3.94,3.94,3.85,3.9,4.2,4.52,4.59,4.59,4.9,4.6,4.45,4.7,5.25,5.17,4.22,4.21,4.07,3.62,3.64,4.03,3.9,3.4,3.5,3.34,3.31,2.45,2.03,1.98,1.88,2.35,2.24,2.3,1.76,1.36,0.88,0.37,0.62,0.8,0.51,0.48,0.45,0.3,0.48,0.66,0.82,0.9,1.54,1.8,1.92,2.13,2.07,1.81,1.75,1.2,1.43,1.46,1.02,0.93,1.11,1.55,1.76,1.79,2.53,3.23,4.58,4.41,5.11,4.58,4.5,4.3,4.37,3.82,4.19,3.83,4.07
Quarterly,EMU convergence criterion bond yields,Germany,8.60667,8.71,7.98667,8.64,9.60667,10.30333,10.56,9.96333,9.67333,8.98333,8.98667,8.21667,7.61333,7.77,8.36333,8.32667,8.23667,8.18667,8.08333,7.29,7.44667,7.18667,6.61667,6.54,6.09667,5.66,5.73,6.09,5.92333,5.66333,6.42667,6.55,6.32,6.49333,6.71667,6.42667,6.80333,6.86333,6.75667,7.21,8.31,8.76667,8.88,8.94333,8.57,8.39,8.53333,8.29333,7.96667,8.06,7.94,7.37667,6.92,6.77,6.41,5.94,6.07,6.73,7.17,7.5,7.43,6.91,6.73,6.33,6.18,6.46,6.34,5.89,5.69,5.78,5.6,5.49,5.0,4.89,4.39,4.01,3.86,4.07,4.87,5.16,5.46,5.26,5.25,5.08,4.75,4.96,4.88,4.6,4.98,5.11,4.61,4.42,4.04,3.86,4.09,4.29,4.06,4.22,4.11,3.75,3.6,3.3,3.17,3.34,3.48,3.94,3.88,3.76,4.0,4.33,4.34,4.19,3.93,4.25,4.26,3.5,3.07,3.32,3.3,3.19,3.18,2.78,2.42,2.6,3.14,3.1,2.26,1.93,1.83,1.42,1.36,1.37,1.47,1.34,1.73,1.75,1.61,1.35,0.99,0.7,0.31,0.49,0.66,0.53,0.26,0.08,-0.12,0.15,0.29,0.27,0.39,0.33,0.55,0.42,0.31,0.3,0.07,-0.16,-0.54,-0.37,-0.44,-0.47,-0.52,-0.61,-0.46,-0.28,-0.45,-0.3,0.11,1.05,1.3,2.11,2.32,2.36,2.55,2.51,2.29,2.48,2.28,2.24
Quarterly,EMU convergence criterion bond yields,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.90333,14.17667,13.51667,14.81333,14.92,14.45667,13.55333,11.83333,10.63333,10.30333,9.61,9.11,10.48333,11.0,11.43333,11.11333,11.13667,11.45333,10.2,10.22667,9.72333,9.38333,9.36667,9.78667,9.46333,10.20667,11.01667,10.46,10.44333,10.6,9.67333,9.17333,9.27333,8.92667,8.6,8.87333,9.45,9.02333,8.49,7.51,6.85,6.37,6.33,7.54,8.6,8.84,8.96,8.44,8.09,7.58,7.35,7.41,7.26,6.75,6.4,6.48,6.17,5.96,5.3,5.12,4.82,4.51,4.22,4.5,5.35,5.57,5.79,5.67,5.69,5.42,5.03,5.27,5.18,4.83,5.21,5.36,4.92,4.74,4.3,4.12,4.31,4.51,4.25,4.43,4.48,4.06,3.73,3.38,3.17,3.34,3.5,4.01,3.93,3.81,4.0,4.39,4.44,4.31,4.09,4.51,4.55,3.99,3.48,3.62,3.66,3.58,3.49,2.99,2.52,2.71,3.19,3.17,2.53,2.03,1.82,1.45,1.19,1.16,1.64,1.53,1.93,1.87,1.71,1.47,1.09,1.03,0.37,0.66,0.9,0.83,0.61,0.35,0.04,0.28,0.3,0.57,0.58,0.46,0.66,0.49,0.34,0.33,0.12,-0.03,-0.49,-0.33,-0.36,-0.25,-0.36,-0.46,-0.25,0.07,-0.07,0.01,0.38,1.39,1.72,2.42,2.51,2.57,2.85,2.79,2.42,2.51,2.25,2.03
Quarterly,EMU convergence criterion bond yields,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.76333,10.79,10.91,9.47,10.14,9.79,9.94,9.91,9.57,9.7,10.11,9.74,9.03,8.59,7.67,7.01,6.99,7.89,8.76,9.17,9.36,8.97,8.55,8.18,7.67,7.56,7.3,6.49,6.21,6.23,5.87,5.66,5.12,4.99,4.56,4.15,3.97,4.22,5.02,5.3,5.59,5.42,5.43,5.28,4.96,5.17,5.08,4.77,5.11,5.24,4.74,4.53,4.12,3.94,4.15,4.35,4.13,4.32,4.18,3.83,3.64,3.38,3.24,3.4,3.54,4.03,3.95,3.83,4.08,4.41,4.46,4.34,4.13,4.5,4.56,4.05,3.89,3.96,3.77,3.66,3.7,3.6,3.44,3.72,4.3,4.49,4.27,4.43,4.26,4.14,3.86,3.29,3.05,2.82,3.14,2.96,2.66,2.22,1.8,1.5,1.01,1.27,1.41,1.18,1.03,0.88,0.6,0.92,1.2,1.09,1.1,0.98,1.1,1.06,1.12,1.21,0.93,0.63,0.04,0.14,0.11,0.25,-0.01,-0.19,-0.07,0.16,0.0,0.18,0.69,1.78,2.13,2.89,3.04,3.08,3.25,3.22,2.9,3.07,2.89,2.81
Quarterly,EMU convergence criterion bond yields,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,0.14,0.02,-0.13,-0.08,0.13,0.05,0.16,0.77,1.96,2.66,3.76,3.86,3.92,4.16,3.66,3.43,3.71,3.6,3.45
Quarterly,EMU convergence criterion bond yields,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24.33333,24.5,23.88,22.46,22.25,21.21,20.38,21.38,19.83,18.58,17.61,16.21,15.44,15.17,14.87,14.43,13.26,10.87,9.13,9.49,10.18,10.45,7.9,7.83,7.76,6.08,5.87,6.56,6.68,6.44,6.11,6.06,5.79,5.33,5.47,5.38,5.03,5.35,5.47,4.96,4.71,4.31,4.07,4.24,4.45,4.3,4.46,4.31,3.95,3.77,3.6,3.41,3.56,3.77,4.28,4.19,4.03,4.26,4.57,4.66,4.51,4.39,4.82,4.97,5.03,5.72,5.35,4.66,4.97,6.24,8.3,10.79,11.03,11.86,15.5,16.61,19.03,24.74,25.4,23.69,16.16,11.14,10.24,10.23,8.6,7.59,6.17,6.03,7.93,9.91,11.46,9.4,7.81,9.54,8.2,8.17,7.53,7.24,6.11,5.48,5.08,4.07,4.24,4.08,4.36,3.94,3.15,1.88,1.37,1.46,1.77,1.1,0.76,0.79,0.89,0.7,1.16,2.23,3.45,3.76,4.5,4.28,3.97,3.94,3.82,3.37,3.56,3.33,3.13
