Time frequency,Unit of measure,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Kilometre,Low,District heating - hot water,Romania,5868.5,5016.515,5234.623,5637.633
Annual,Kilometre,Low,District heating - steam,Belgium,:,0.0,:,:
Annual,Kilometre,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Kilometre,Low,District heating - steam,Euro area – 20 countries (from 2023),:,115.345,:,108.553
Annual,Kilometre,Low,District heating - steam,European Union - 27 countries (from 2020),:,115.845,:,108.553
Annual,Kilometre,Low,District heating - steam,France,103.056,115.345,111.978,108.553
Annual,Kilometre,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Kilometre,Low,District heating - steam,Romania,0.5,0.5,0.0,0.0
Annual,Number,High,District cooling,Belgium,:,0.0,:,:
Annual,Number,High,District cooling,Euro area – 20 countries (from 2023),:,37.0,:,41.0
Annual,Number,High,District cooling,Estonia,2.0,3.0,3.0,3.0
Annual,Number,High,District cooling,Spain,5.0,5.0,5.0,8.0
Annual,Number,High,District cooling,European Union - 27 countries (from 2020),:,37.0,:,41.0
Annual,Number,High,District cooling,Finland,7.0,7.0,7.0,6.0
Annual,Number,High,District cooling,Italy,17.0,20.0,19.0,23.0
Annual,Number,High,District cooling,Luxembourg,:,1.0,1.0,1.0
Annual,Number,High,District cooling,Malta,:,:,:,0.0
Annual,Number,High,District cooling,Portugal,1.0,1.0,1.0,:
Annual,Number,High,District cooling,Slovenia,1.0,0.0,0.0,0.0
Annual,Number,High,District heating,Austria,1200.0,1200.0,1200.0,1200.0
Annual,Number,High,District heating,Belgium,:,76.0,:,:
Annual,Number,High,District heating,Bulgaria,33.0,38.0,40.0,39.0
Annual,Number,High,District heating,Denmark,302.0,287.0,317.0,319.0
Annual,Number,High,District heating,Euro area – 20 countries (from 2023),:,2588.0,:,2592.0
Annual,Number,High,District heating,Estonia,94.0,94.0,100.0,102.0
Annual,Number,High,District heating,Greece,5.0,6.0,6.0,3.0
Annual,Number,High,District heating,Spain,36.0,36.0,49.0,56.0
Annual,Number,High,District heating,European Union - 27 countries (from 2020),:,3021.0,:,3058.0
Annual,Number,High,District heating,Finland,150.0,161.0,170.0,168.0
Annual,Number,High,District heating,France,643.0,664.0,668.0,697.0
Annual,Number,High,District heating,Italy,237.0,243.0,239.0,255.0
Annual,Number,High,District heating,Luxembourg,:,41.0,46.0,46.0
Annual,Number,High,District heating,Malta,:,:,:,0.0
Annual,Number,High,District heating,Romania,108.0,108.0,113.0,108.0
Annual,Number,High,District heating,Slovenia,66.0,67.0,68.0,65.0
Annual,Number,High,District heating - hot water,Austria,1200.0,1200.0,1200.0,1200.0
Annual,Number,High,District heating - hot water,Bulgaria,29.0,32.0,34.0,33.0
Annual,Number,High,District heating - hot water,Denmark,302.0,287.0,317.0,319.0
Annual,Number,High,District heating - hot water,Euro area – 20 countries (from 2023),:,1988.298,:,1941.088
Annual,Number,High,District heating - hot water,Estonia,94.0,94.0,:,:
Annual,Number,High,District heating - hot water,Greece,5.0,6.0,6.0,3.0
Annual,Number,High,District heating - hot water,European Union - 27 countries (from 2020),:,2413.298,:,2400.088
Annual,Number,High,District heating - hot water,Finland,150.0,161.0,170.0,168.0
Annual,Number,High,District heating - hot water,France,464.64,486.298,493.321,525.088
Annual,Number,High,District heating - hot water,Luxembourg,:,40.0,45.0,45.0
Annual,Number,High,District heating - hot water,Malta,:,:,:,0.0
Annual,Number,High,District heating - hot water,Portugal,1.0,1.0,1.0,:
Annual,Number,High,District heating - hot water,Romania,105.0,106.0,111.0,107.0
Annual,Number,High,District heating - steam,Austria,0.0,:,:,:
Annual,Number,High,District heating - steam,Bulgaria,4.0,6.0,6.0,6.0
Annual,Number,High,District heating - steam,Euro area – 20 countries (from 2023),:,178.702,:,172.912
Annual,Number,High,District heating - steam,European Union - 27 countries (from 2020),:,186.702,:,179.912
Annual,Number,High,District heating - steam,France,178.36,177.702,174.679,171.912
Annual,Number,High,District heating - steam,Luxembourg,:,1.0,1.0,1.0
Annual,Number,High,District heating - steam,Malta,:,:,:,0.0
Annual,Number,High,District heating - steam,Romania,3.0,2.0,2.0,1.0
Annual,Number,Low,District cooling,Belgium,:,0.0,:,:
Annual,Number,Low,District cooling,Euro area – 20 countries (from 2023),:,53.0,:,62.0
Annual,Number,Low,District cooling,Estonia,1.0,1.0,1.0,1.0
Annual,Number,Low,District cooling,Spain,5.0,5.0,5.0,3.0
Annual,Number,Low,District cooling,European Union - 27 countries (from 2020),:,53.0,:,62.0
Annual,Number,Low,District cooling,Finland,4.0,3.0,3.0,4.0
Annual,Number,Low,District cooling,France,24.0,32.0,35.0,40.0
Annual,Number,Low,District cooling,Italy,14.0,10.0,11.0,11.0
Annual,Number,Low,District cooling,Luxembourg,:,0.0,0.0,0.0
Annual,Number,Low,District cooling,Malta,:,:,:,0.0
Annual,Number,Low,District cooling,Slovenia,1.0,2.0,2.0,2.0
Annual,Number,Low,District heating,Belgium,:,27.0,:,:
Annual,Number,Low,District heating,Bulgaria,9.0,9.0,8.0,9.0
Annual,Number,Low,District heating,Denmark,69.0,83.0,50.0,26.0
Annual,Number,Low,District heating,Euro area – 20 countries (from 2023),:,959.0,:,886.0
Annual,Number,Low,District heating,Greece,:,:,1.0,3.0
Annual,Number,Low,District heating,Spain,17.0,18.0,20.0,18.0
Annual,Number,Low,District heating,European Union - 27 countries (from 2020),:,1441.0,:,1294.0
Annual,Number,Low,District heating,Finland,22.0,20.0,17.0,20.0
Annual,Number,Low,District heating,France,82.0,100.0,108.0,112.0
Annual,Number,Low,District heating,Italy,94.0,94.0,95.0,85.0
Annual,Number,Low,District heating,Latvia,674.0,660.0,652.0,606.0
Annual,Number,Low,District heating,Malta,:,:,:,0.0
Annual,Number,Low,District heating,Romania,386.0,390.0,379.0,373.0
Annual,Number,Low,District heating,Slovenia,31.0,40.0,43.0,42.0
Annual,Number,Low,District heating - hot water,Belgium,:,27.0,:,:
Annual,Number,Low,District heating - hot water,Bulgaria,9.0,9.0,8.0,9.0
Annual,Number,Low,District heating - hot water,Denmark,69.0,83.0,50.0,26.0
Annual,Number,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,127.644,:,111.769
Annual,Number,Low,District heating - hot water,Greece,:,:,:,1.0
Annual,Number,Low,District heating - hot water,European Union - 27 countries (from 2020),:,609.644,:,518.769
Annual,Number,Low,District heating - hot water,Finland,22.0,20.0,17.0,20.0
Annual,Number,Low,District heating - hot water,France,65.732,80.644,86.842,89.769
Annual,Number,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Number,Low,District heating - hot water,Romania,385.0,390.0,379.0,372.0
Annual,Number,Low,District heating - steam,Belgium,:,0.0,:,:
Annual,Number,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Number,Low,District heating - steam,Euro area – 20 countries (from 2023),:,19.356,:,22.231
Annual,Number,Low,District heating - steam,European Union - 27 countries (from 2020),:,19.356,:,23.231
Annual,Number,Low,District heating - steam,France,16.268,19.356,21.158,22.231
Annual,Number,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Number,Low,District heating - steam,Romania,1.0,0.0,0.0,1.0
