Time frequency,Unit of measure,Hazard class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Waste categories,Geopolitical entity (reporting)\Time,2004.0,2006.0,2008.0,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Albania,:,:,:,:,:,:,:,:,:,245 d
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,6488.0,6565.0,6767.0,5596.0,5699.0,6537.0,7008.0,7428.0,7728.0,8079.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,:,:,:,:,1161.0,1447.0,1744.0,1930.0,:,1797.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Belgium,5068.0,5627 e,4540.0,5630.0,4847.0,5171.0,5573.0,5967.0,5899.0,5363.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bulgaria,26050.0,21429.0,22375.0,22635.0,22072.0,24872.0,16907.0,18470.0,16785.0,14603.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Cyprus,3079.0,1663.0,2343.0,2861.0,2171.0,2321.0,2897.0,2646.0,2491.0,3294.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Czechia,2871.0,2417.0,2448.0,2268.0,2205.0,2223.0,2402.0,3560 b,3598.0,3672.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Germany,4412.0,4416.0,4540.0,4446.0,4576.0,4785.0,4858.0,4891.0,4824.0,4604.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Denmark,2329.0,2704.0,2759.0,2923.0,2989.0,3687.0,3663.0,3702.0,3453.0,3333.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Estonia,15310.0,14058.0,14647.0,14270.0,16627.0,16587.0,18451.0,17539.0,12163.0,16752.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Greece,3044.0,4657.0,6197.0,6333.0,6549.0,6404.0,6712.0,4215.0,2651.0,2858 p
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Spain,3743.0,3625.0,3248.0,2953.0,2535.0,2378.0,2774.0,2945.0,2230.0,2480.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,European Union - 27 countries (from 2020),5186.0,5214.0,4881.0,5017.0,5086.0,5062.0,5074.0,5235.0,4817.0,4991.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Finland,13333.0,13711.0,15394.0,19454.0,16961.0,17572.0,22359.0,23253.0,20993.0,19950.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,France,4743 i,4923 i,5376.0,5478.0,5264.0,4893.0,4836.0,5112.0,4577.0,5076.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Croatia,1673.0,1258.0,968.0,735.0,846.0,879.0,1286.0,1355.0,1483.0,1838.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Hungary,2440 e,2213 e,1688 e,1674.0,1644.0,1688.0,1624.0,1879.0,1759.0,2838.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Ireland,6019.0,6926 e,5288.0,4344.0,2764.0,3256.0,3207.0,2874.0,3248.0,2971.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Iceland,1717.0,:,2434.0,1607.0,1651.0,2490.0,3182.0,3667.0,2895.0,:
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Italy,2424.0,2666.0,3047.0,2676.0,2594.0,2597.0,2702.0,2855.0,2942.0,3212.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Liechtenstein,:,:,10806.0,8666.0,12727.0,15278.0,13325.0,11448.0,13951.0,11088.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Lithuania,2076.0,1945.0,1980.0,1801.0,1901.0,2114.0,2327.0,2527.0,2396.0,2003.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Luxembourg,18153.0,17728.0,19630.0,20597.0,15816.0,12713.0,17217.0,14828.0,14618.0,15169.0
