Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Total,Albania,:,:,:,:,:,:,:,12.08 p,12.17 p,13.89 p,13.05 p,12.1
Annual,Percentage of gross domestic product (GDP),Total,Austria,28.96,29.29,29.83,30.0,29.97,29.91,29.48,29.21,29.37,34.09,32.83,30.38
Annual,Percentage of gross domestic product (GDP),Total,Bosnia and Herzegovina,:,:,20.7,20.93,20.33,20.8,20.23,19.74,19.85,22.31,19.95,18.79
Annual,Percentage of gross domestic product (GDP),Total,Belgium,29.93,29.69,30.03,30.0,29.83,29.24,28.85,28.73,28.68,32.68,30 p,29.03
Annual,Percentage of gross domestic product (GDP),Total,Bulgaria,16.43,16.46,17.56,18.39,17.65,17.33,16.82,16.84,16.55,18.7,18.89,18.71
Annual,Percentage of gross domestic product (GDP),Total,Switzerland,24.49,24.94,25.87,26.07,26.85,27.23,27.59,27.07,27.65,31.43,29.72,28.73 p
Annual,Percentage of gross domestic product (GDP),Total,Cyprus,20.03,20.83,22.92,20.09,19.9,19.31,18.31,17.64,18.49,24.57,22.3,20.98
Annual,Percentage of gross domestic product (GDP),Total,Czechia,19.69,20.18,19.82,19.37,18.72,18.56,18.09,18.24,18.49,21.51,21.18,19.94
Annual,Percentage of gross domestic product (GDP),Total,Germany,28.2,28.31,28.67,28.51,28.79,29.04,28.93,29.1,29.55,32.39,31.4,30.01 p
Annual,Percentage of gross domestic product (GDP),Total,Denmark,33.44,33.69,34.38,34.38,33.81,32.56,32.1,31.92,31.81,33.44,31.01,28.06 p
Annual,Percentage of gross domestic product (GDP),Total,Euro area - 19 countries  (2015-2022),28.79,29.25,29.57,29.47,29.14,28.98,28.62 p,28.51 p,28.64 p,32.57 p,30.75 p,28.99 p
Annual,Percentage of gross domestic product (GDP),Total,Euro area – 20 countries (from 2023),28.76,29.21,29.53,29.44,29.11,28.95,28.59 p,28.48 p,28.6 p,32.53 p,30.71 p,28.95 p
Annual,Percentage of gross domestic product (GDP),Total,Estonia,15.55,14.88,14.66,14.67,15.83,16.23,15.64,16.04,16.11,18.95,17.24,15.74
Annual,Percentage of gross domestic product (GDP),Total,Greece,27.86,28.58,26.64,26.07,26.28,26.59,25.68 p,25.48 p,25.44 p,29.5 p,27.08 p,24.29 p
Annual,Percentage of gross domestic product (GDP),Total,Spain,25.37,25.57,25.82,25.36,24.49,23.65,23.27,23.42,23.95 p,29.78 p,27.78,25.87
Annual,Percentage of gross domestic product (GDP),Total,European Union - 27 countries (from 2020),28.11,28.54,28.9,28.76,28.4 b,28.31,27.89 p,27.71 p,27.81 p,31.47 p,29.73 p,27.98 p
Annual,Percentage of gross domestic product (GDP),Total,Finland,28.76,30.02,31.11,31.84,31.96,31.91,30.75,30.28,30.24,32.1,31.29,30.08
Annual,Percentage of gross domestic product (GDP),Total,France,32.99,33.84,34.17,34.42,34.2,34.32,34.09,33.82,33.48,38.0,35.73 p,33.98 p
Annual,Percentage of gross domestic product (GDP),Total,Croatia,20.63,21.19,20.96,21.44,21.38,21.39,21.07,21.07,21.02,23.83,22.23,20.67
Annual,Percentage of gross domestic product (GDP),Total,Hungary,21.44,21.13,20.69,19.69,18.96 b,18.79,18.18,17.59,16.61,18.3,17.75,16.72
Annual,Percentage of gross domestic product (GDP),Total,Ireland,24.26,23.86,22.47,20.67,15.58,15.65,14.54,13.8,13.37,15.0,13.15,11.42
