Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,64.4,65.8,64.0,66.4,64.2,:,:
Annual,Percentage,Cities,Austria,27.7,26.5,26.4,28.2,27.7,26.6,25.3,26.4,26.9,28.4,29.9,27.3
Annual,Percentage,Cities,Belgium,3.4 b,4.5,4.3,3.3,8.5 b,10.2,13.3,12.7 b,13.2,14.6,14.5,14.3
Annual,Percentage,Cities,Bulgaria,52.4 b,51.9,50.5,48.0,49.8 b,49.8,50.6,49.7,48.8,46.6,44.3,42.8
Annual,Percentage,Cities,Switzerland,10.5 b,12.1,9.7 b,10.8,11.9,10.1,10.1,8.2,9.3,7.2,7.2,10.9
Annual,Percentage,Cities,Cyprus,2.6 b,2.2,2.2,1.2,1.9,2.7,2.4,1.6,2.5,2.4,1.9,2.5
Annual,Percentage,Cities,Czechia,25.4 b,25.5,23.9,23.5,22.7,20.1,20.5,19.2,19.6,19.2,20.6,21.3
Annual,Percentage,Cities,Germany,10.8 b,10.4,9.9,10.5,11.0,11.4,11.5,12.7,15.0 b,15.7,16.5,16.6
Annual,Percentage,Cities,Denmark,11.3 b,11.7,13.6,13.8,14.9,14.8,14.9,14.2,15.1,15.2,15.8,14.5
Annual,Percentage,Cities,Euro area - 19 countries  (2015-2022),15.2,15.0,15.0,14.6,14.6,14.2,14.5,15.2,16.3,16.0,:,:
Annual,Percentage,Cities,Euro area – 20 countries (from 2023),:,:,15.1,14.8,14.8,14.5,14.7,15.5,16.5,16.4,16.4,17.2
Annual,Percentage,Cities,Estonia,16.4 b,24.0,16.1 b,15.6,15.5,16.7,14.7,16.2,15.0,19.1,19.6,21.1
Annual,Percentage,Cities,Greece,28.6 b,27.9,29.8,29.2,29.6,30.1,31.0,27.6,28.5,30.9,30.4,28.0
Annual,Percentage,Cities,Spain,6.4 b,5.4,6.3,6.5,5.5,5.3,5.3,6.4,9.1,7.1,7.5,8.7
Annual,Percentage,Cities,European Union - 27 countries (2007-2013),18.4,18.5,18.0,17.9,17.5,16.0,16.3,16.7 e,:,:,:,:
Annual,Percentage,Cities,European Union - 27 countries (from 2020),20.5 e,20.1 e,19.8 e,19.7 e,19.3 e,18.8 e,18.7 e,19.2 e,19.9,19.5,19.5,19.9
Annual,Percentage,Cities,European Union - 28 countries (2013-2020),18.5,18.6,18.1,18.0,17.6,16.2,16.5,16.8 e,:,:,:,:
Annual,Percentage,Cities,Finland,8.0 b,9.2,9.5,9.1,9.2,8.8,9.9,10.0,10.7,10.1,12.0,11.9
Annual,Percentage,Cities,France,12.4 b,11.2,10.5,10.9,11.8,11.7,12.6,14.7,17.8 b,17.0,17.0 b,18.1
Annual,Percentage,Cities,Croatia,46.8 b,46.2,41.6,42.1,45.8,43.6,43.8,43.6,42.3,40.7,39.0,38.0
Annual,Percentage,Cities,Hungary,42.6 b,41.4,37.7,39.1,38.4,38.8,19.0 b,17.7,14.7,14.5,15.0,12.5
Annual,Percentage,Cities,Ireland,4.5 b,3.7,5.9,4.7,6.2,5.6,5.5,6.4 b,4.9 b,4.7,6.0,4.0
Annual,Percentage,Cities,Iceland,9.2 b,10.7,8.6,9.4,8.6,9.6,12.0,15.3,:,:,:,:
Annual,Percentage,Cities,Italy,31.5,31.8,32.9,35.0 b,33.0,31.4,30.7,29.4,26.9,28.0,27.1,29.1
Annual,Percentage,Cities,Lithuania,21.1 b,32.4 b,32.5,25.5,23.9,22.7,26.5,25.7,24.0,26.3,27.1,30.6
Annual,Percentage,Cities,Luxembourg,17.6 b,13.6,12.7,13.1,14.1 b,14.4,16.4,13.0,14.0 b,12.6 b,7.5 b,11.1
Annual,Percentage,Cities,Latvia,32.8 b,35.6,39.6,42.9,45.6,46.8,50.0,47.0,47.6,47.7,47.2,47.8
Annual,Percentage,Cities,North Macedonia,:,:,:,:,60.2,51.1,54.4,50.2,49.2,:,:,:
Annual,Percentage,Cities,Malta,4.0 b,4.5,4.1,3.8,3.2,3.3,3.7,4.0,4.5,2.9,2.7,3.4
Annual,Percentage,Cities,Netherlands,3.7 b,3.8,4.8,4.2,5.3 b,5.3,5.3,5.7,6.2,4.8,3.7,4.9
Annual,Percentage,Cities,Norway,7.6 b,7.9,:,10.7,8.7,10.2,10.7,10.9,11.2,11.8 b,9.9,8.3
Annual,Percentage,Cities,Poland,45.8 b,45.2,43.7,43.6,41.7,41.2,39.8,39.0,37.4 b,36.5,36.9,36.5 b
Annual,Percentage,Cities,Portugal,12.2 b,13.9,13.4,12.8,13.2,11.5,11.6,11.4,10.7,13.2,10.8,14.9
Annual,Percentage,Cities,Romania,52.7 b,52.0,50.7,51.8,49.5,47.3,48.2,47.2,48.1,43.8,45.3,43.3
Annual,Percentage,Cities,Serbia,:,58.7,55.6,57.8,59.8,61.2,61.0,59.7,59.3,56.0,56.2,:
Annual,Percentage,Cities,Sweden,20.0 b,19.2,17.9,22.0,20.4,18.8,19.9,19.8,19.7,20.8,21.1,21.3
Annual,Percentage,Cities,Slovenia,19.5 b,18.6,17.5,16.7,15.1,15.5,16.2,14.6,15.8,14.8,16.1,14.5
Annual,Percentage,Cities,Slovakia,44.6 b,47.5,39.5,36.0,35.9,34.3,35.5,36.1,33.7,34.1,34.3,31.9
Annual,Percentage,Cities,United Kingdom,9.0 b,11.1,10.0,10.0,10.1,4.3 b,6.3,:,:,:,:,:
Annual,Percentage,Towns and suburbs,Albania,:,:,:,:,:,63.9,61.6,60.8,55.5,55.8,:,:
Annual,Percentage,Towns and suburbs,Austria,9.6,12.4,12.8,12.6,13.2,13.8,11.9,13.6,13.6,11.2,13.8,11.3
Annual,Percentage,Towns and suburbs,Belgium,0.6 b,0.6,0.5,1.0,1.8 b,3.0,2.9,2.9 b,2.6,2.3,2.8,1.9
Annual,Percentage,Towns and suburbs,Bulgaria,45.1 b,45.0,43.6,40.0,39.6 b,39.2,37.7,37.5,37.7,37.4,35.2,33.3
Annual,Percentage,Towns and suburbs,Switzerland,5.3 b,5.4,6.7 b,5.6,5.5,5.3,5.1,6.0,5.6,5.3,5.8,6.2
Annual,Percentage,Towns and suburbs,Cyprus,3.3 b,1.7,1.5,0.8,2.9,3.8,2.9,3.2,2.4,1.2,1.4,1.9
Annual,Percentage,Towns and suburbs,Czechia,21.2 b,22.5,21.6,21.5,21.2,17.6,16.7,16.9,16.7,18.7,17.8,17.1
Annual,Percentage,Towns and suburbs,Germany,4.8 b,5.2,5.2,5.6,5.9,5.3,5.5,5.5,8.0 b,8.7,9.0,9.3
Annual,Percentage,Towns and suburbs,Denmark,6.3 b,7.0,5.1,5.8,5.7,6.5,8.7,9.8,7.6,6.1,7.0,6.5
Annual,Percentage,Towns and suburbs,Euro area - 19 countries  (2015-2022),10.0,10.5,10.5,11.6,11.6,11.6,11.8,12.2,12.7,12.7,:,:
Annual,Percentage,Towns and suburbs,Euro area – 20 countries (from 2023),:,:,10.9,11.9,12.0,11.9,12.1,12.5,12.9,13.2,12.3,12.6
Annual,Percentage,Towns and suburbs,Estonia,9.4 b,18.9,10.8 b,11.0,12.2,9.4,7.6,9.3,7.7,13.7,14.2,15.6
Annual,Percentage,Towns and suburbs,Greece,23.5 b,23.7,24.9,26.8,27.9,28.3,28.9,28.5,29.0,26.2,26.8,27.7
Annual,Percentage,Towns and suburbs,Spain,5.2 b,5.4,4.1,5.0,5.7,5.6,4.3,6.1,8.0,6.6,6.5,7.5
Annual,Percentage,Towns and suburbs,European Union - 27 countries (2007-2013),14.3,14.3,13.8,14.4,14.6,14.0,13.7,13.9 e,:,:,:,:
