Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Austria,-3.7,2.4,0.4,0.3,-0.1,-0.1,0.1,-0.8,-0.1,0.8,-0.8,-0.2
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Belgium,-0.4,-0.7,1.0,0.9,-0.7,0.3 p,0.0 p,0.1 p,0.2 p,0.7 p,0.3 p,1.2 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Bulgaria,0.4,1.2,0.2,1.3,1.4,-1.0,0.8,1.0,0.5,1.6 p,1.1 p,0.7 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Switzerland,0.5,1.0,0.7,0.6,0.2,0.4,0.4,0.2,0.4,0.5,0.4,0.5
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Cyprus,-2.0,9.8,1.6,1.2,1.5,2.1,-0.4,3.0,1.6,-0.1,0.4,1.4
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Czechia,0.1,-0.6,-0.5,-1.0,-1.7,-1.3,0.9,-0.6,0.8,0.7,0.1,0.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Germany,1.1 p,1.4 p,0.0 p,1.3 p,-1.4 p,-0.4 p,0.8 p,0.0 p,0.0 p,0.1 p,-0.5 p,0.3 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Denmark,2.0,-5.1,-1.1,-0.4,-0.4,1.7,0.8,-0.9,1.4,0.0,-0.2,0.1
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.2,0.5,1.2,1.0,-1.0,0.2,0.5,0.3,0.0,0.3,0.0,0.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Euro area - 19 countries  (2015-2022),0.2,0.5,1.2,1.0,-1.0,0.2,0.5,0.2,0.0,0.3,0.0,0.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Euro area – 20 countries (from 2023),0.2,0.5,1.2,1.0,-1.0,0.2,0.5,0.3,0.0,0.3,0.0,0.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Estonia,0.7,2.0,-1.1,-1.3,-0.8,-0.2,0.0,0.1,0.5,-1.3,0.0,-0.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Greece,3.8,3.0 p,0.5 p,0.0 p,1.0 p,0.6 p,0.0 p,-0.1 p,0.8 p,0.8 p,0.3 p,0.1 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Spain,1.6,1.1 p,1.5 p,0.4 p,-1.4 p,1.2 p,0.8 p,0.8 p,0.2 p,0.5 p,1.1 p,1.2 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,European Union - 27 countries (from 2020),0.3,0.5,1.1,0.8,-0.9,0.0,0.5,0.3,0.1,0.4,0.1,0.6
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Finland,-0.4,-0.8,1.9,-0.7,-1.1,1.0,0.6,-0.3,-0.2,0.6,-1.1,-0.8
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,France,-0.1,-0.9,1.4,0.6,-0.2,0.1,0.0,0.5,0.3,0.1,0.0,0.6
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Croatia,0.9,2.1,2.4,0.7,-1.2,0.9 p,1.4 p,1.1 p,1.6 p,1.3 p,1.4 p,0.7 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Hungary,2.0,2.1,1.0,-0.9,-1.5,-1.3 p,0.4 p,0.6 p,2.4 p,0.5 p,0.9 p,0.7 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Ireland,0.6,0.7,3.7,2.7,0.6,0.3,1.5,-0.5,1.7,0.7,0.1,-0.2
