Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Total,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,19.9,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Austria,:,65.1,64.0,64.3,63.0,62.1,61.3,61.7,62.4,99.2
Annual,Total,Total,From 18 to 64 years,Percentage,Belgium,:,67.1,66.8,66.5,65.5,73.3 b,71.9 b,78.8,77.1,98.8
Annual,Total,Total,From 18 to 64 years,Percentage,Bulgaria,:,56.1,46.5 b,55.5,63.6,61.7,61.5,67.5,69.2,71.3
Annual,Total,Total,From 18 to 64 years,Percentage,Switzerland,:,61.9,63.0,65.3,63.9,63.4,63.5,65.4,65.1,61.9
Annual,Total,Total,From 18 to 64 years,Percentage,Cyprus,:,47.8,49.0,49.4,52.1,52.1,50.6,51.3,49.9,53.1
Annual,Total,Total,From 18 to 64 years,Percentage,Czechia,:,34.4,34.0,34.0,33.8,33.6,33.2,36.1,39.5,48.3
Annual,Total,Total,From 18 to 64 years,Percentage,Germany,:,58.9,59.3,58.6,57.8,57.2,56.8 b,59.4,57.8,56.9
Annual,Total,Total,From 18 to 64 years,Percentage,Denmark,:,90.4,90.0,88.8,87.8,87.7,92.7 b,92.4,92.4,91.2
Annual,Total,Total,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,53.0,53.7,53.8,53.5,53.4,54.4,61.6,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,53.0,53.6,53.7,53.4,53.3,54.3 b,61.4,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,53.0,53.7,53.8,53.5,53.4,54.4 b,61.6,:,:
