Time frequency,Education or training field,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,General programmes,Number,Austria,130.3
Annual,General programmes,Number,Belgium,79.7
Annual,General programmes,Number,Czechia,53.5 u
Annual,General programmes,Number,Germany,86.4
Annual,General programmes,Number,Denmark,89.9
Annual,General programmes,Number,Greece,204.0
Annual,General programmes,Number,Spain,165.9
Annual,General programmes,Number,European Union - 25 countries (2004-2006),89.9
Annual,General programmes,Number,Finland,108.8
Annual,General programmes,Number,France,128.5
Annual,General programmes,Number,Ireland,40.6
Annual,General programmes,Number,Italy,127.5 u
Annual,General programmes,Number,Netherlands,58.3
Annual,General programmes,Number,Poland,24.4 u
Annual,General programmes,Number,Portugal,69.3 u
Annual,General programmes,Number,Sweden,75.3
Annual,General programmes,Number,Slovenia,43.1
Annual,Education,Number,Austria,113.8
Annual,Education,Number,Belgium,42.6
Annual,Education,Number,Cyprus,54.4
Annual,Education,Number,Czechia,57.4
Annual,Education,Number,Germany,85.5
Annual,Education,Number,Denmark,62.4
Annual,Education,Number,Estonia,87.8 u
Annual,Education,Number,Greece,78.4 u
Annual,Education,Number,Spain,147.8
Annual,Education,Number,European Union - 25 countries (2004-2006),89.3
Annual,Education,Number,Finland,65.9
Annual,Education,Number,France,174.8
Annual,Education,Number,Hungary,78.0
Annual,Education,Number,Ireland,39.4
Annual,Education,Number,Italy,62.1
Annual,Education,Number,Lithuania,38.9
Annual,Education,Number,Luxembourg,44.7
Annual,Education,Number,Latvia,72.7 u
Annual,Education,Number,Netherlands,190.6 u
Annual,Education,Number,Norway,57.6 u
Annual,Education,Number,Poland,47.2
Annual,Education,Number,Portugal,86.7
Annual,Education,Number,Sweden,53.0
Annual,Education,Number,Slovenia,50.5
Annual,Education,Number,Slovakia,47.4
Annual,Education,Number,United Kingdom,33.7
Annual,Humanities and arts,Number,Austria,105.4
Annual,Humanities and arts,Number,Belgium,152.6
Annual,Humanities and arts,Number,Cyprus,160.5
Annual,Humanities and arts,Number,Czechia,96.3
Annual,Humanities and arts,Number,Germany,102.3
Annual,Humanities and arts,Number,Denmark,97.6
Annual,Humanities and arts,Number,Greece,111.8
Annual,Humanities and arts,Number,Spain,166.2
Annual,Humanities and arts,Number,European Union - 25 countries (2004-2006),128.9
Annual,Humanities and arts,Number,Finland,78.9
Annual,Humanities and arts,Number,France,296.1
Annual,Humanities and arts,Number,Hungary,162.9
Annual,Humanities and arts,Number,Ireland,53.8
Annual,Humanities and arts,Number,Italy,84.4
Annual,Humanities and arts,Number,Luxembourg,69 u
Annual,Humanities and arts,Number,Latvia,87.5 u
Annual,Humanities and arts,Number,Malta,100.8 u
Annual,Humanities and arts,Number,Netherlands,179.6
Annual,Humanities and arts,Number,Norway,77.2
Annual,Humanities and arts,Number,Poland,76.6 u
Annual,Humanities and arts,Number,Portugal,234.0
Annual,Humanities and arts,Number,Sweden,73.4
Annual,Humanities and arts,Number,Slovenia,79.3
Annual,Humanities and arts,Number,Slovakia,103.1 u
Annual,Humanities and arts,Number,United Kingdom,57.9
Annual,"Social sciences, business and law",Number,Austria,102.3
Annual,"Social sciences, business and law",Number,Belgium,101.1
Annual,"Social sciences, business and law",Number,Bulgaria,89.8 u
Annual,"Social sciences, business and law",Number,Cyprus,51.8
Annual,"Social sciences, business and law",Number,Czechia,53.7
Annual,"Social sciences, business and law",Number,Germany,111.3
Annual,"Social sciences, business and law",Number,Denmark,53.1
Annual,"Social sciences, business and law",Number,Estonia,60.0
Annual,"Social sciences, business and law",Number,Greece,82.2
Annual,"Social sciences, business and law",Number,Spain,162.0
Annual,"Social sciences, business and law",Number,European Union - 25 countries (2004-2006),93.7
Annual,"Social sciences, business and law",Number,Finland,52.8
Annual,"Social sciences, business and law",Number,France,141.7
Annual,"Social sciences, business and law",Number,Hungary,230.4
Annual,"Social sciences, business and law",Number,Ireland,50.9
Annual,"Social sciences, business and law",Number,Italy,62.4
Annual,"Social sciences, business and law",Number,Lithuania,45.9
Annual,"Social sciences, business and law",Number,Luxembourg,62.2
Annual,"Social sciences, business and law",Number,Latvia,47.6
Annual,"Social sciences, business and law",Number,Malta,103.0
Annual,"Social sciences, business and law",Number,Netherlands,101.5
Annual,"Social sciences, business and law",Number,Norway,52.0
Annual,"Social sciences, business and law",Number,Poland,45.1
Annual,"Social sciences, business and law",Number,Portugal,91.5
Annual,"Social sciences, business and law",Number,Sweden,53.9
Annual,"Social sciences, business and law",Number,Slovenia,42.4
Annual,"Social sciences, business and law",Number,Slovakia,50.8
Annual,"Social sciences, business and law",Number,United Kingdom,45.1
Annual,"Science, mathematics and computing",Number,Greece,110.7 u
Annual,"Science, mathematics and computing",Number,European Union - 25 countries (2004-2006),57.5
Annual,"Science, mathematics and computing",Number,Ireland,41.3
Annual,"Science, mathematics and computing",Number,Norway,52.9
Annual,Life science,Number,Germany,66 u
Annual,Life science,Number,Spain,172.2 u
Annual,Life science,Number,European Union - 25 countries (2004-2006),78.7
Annual,Life science,Number,Ireland,37.2
Annual,Life science,Number,Italy,51.5
Annual,Life science,Number,United Kingdom,77.2 u
Annual,Physical sciences (broad programmes),Number,Belgium,37.6 u
Annual,Physical sciences (broad programmes),Number,Cyprus,274.3 u
Annual,Physical sciences (broad programmes),Number,Germany,69.3
Annual,Physical sciences (broad programmes),Number,Spain,205.5
Annual,Physical sciences (broad programmes),Number,European Union - 25 countries (2004-2006),92.7
Annual,Physical sciences (broad programmes),Number,Ireland,49.2
Annual,Physical sciences (broad programmes),Number,Italy,72.3
Annual,Physical sciences (broad programmes),Number,United Kingdom,102.4 u
Annual,Mathematics and statistics,Number,Cyprus,99.7 u
Annual,Mathematics and statistics,Number,Germany,52 u
Annual,Mathematics and statistics,Number,Greece,153.6 u
Annual,Mathematics and statistics,Number,Spain,101.5 u
Annual,Mathematics and statistics,Number,European Union - 25 countries (2004-2006),78.2
Annual,Mathematics and statistics,Number,France,217.9 u
Annual,Mathematics and statistics,Number,Ireland,30.6
Annual,Mathematics and statistics,Number,Italy,63.9 u
Annual,Mathematics and statistics,Number,United Kingdom,43.1 u
Annual,Computing,Number,Austria,62.1
Annual,Computing,Number,Belgium,60.4
Annual,Computing,Number,Bulgaria,52.1
Annual,Computing,Number,Cyprus,54.2
Annual,Computing,Number,Czechia,56.6
Annual,Computing,Number,Germany,108.5
Annual,Computing,Number,Denmark,66.9
Annual,Computing,Number,Estonia,27.2 u
Annual,Computing,Number,Greece,90.0
Annual,Computing,Number,Spain,110.2
Annual,Computing,Number,European Union - 25 countries (2004-2006),75.3
Annual,Computing,Number,Finland,55.9
Annual,Computing,Number,France,70.6
Annual,Computing,Number,Hungary,207.1
Annual,Computing,Number,Ireland,42.2
Annual,Computing,Number,Italy,62.8
Annual,Computing,Number,Lithuania,71.2
Annual,Computing,Number,Luxembourg,37.4
Annual,Computing,Number,Malta,75.5
Annual,Computing,Number,Netherlands,60.0
Annual,Computing,Number,Poland,42.4
Annual,Computing,Number,Portugal,87.6
Annual,Computing,Number,Sweden,60.6
Annual,Computing,Number,Slovenia,35.0
Annual,Computing,Number,Slovakia,44.1
Annual,Computing,Number,United Kingdom,38.5
Annual,"Engineering, manufacturing and construction",Number,Austria,75.0
Annual,"Engineering, manufacturing and construction",Number,Belgium,118.8
Annual,"Engineering, manufacturing and construction",Number,Cyprus,53.0
Annual,"Engineering, manufacturing and construction",Number,Czechia,35.7
Annual,"Engineering, manufacturing and construction",Number,Germany,163.5
Annual,"Engineering, manufacturing and construction",Number,Denmark,67.2
Annual,"Engineering, manufacturing and construction",Number,Estonia,63.4 u
Annual,"Engineering, manufacturing and construction",Number,Greece,78.7
Annual,"Engineering, manufacturing and construction",Number,Spain,179.1
Annual,"Engineering, manufacturing and construction",Number,European Union - 25 countries (2004-2006),107.1
Annual,"Engineering, manufacturing and construction",Number,Finland,56.4
Annual,"Engineering, manufacturing and construction",Number,France,159.2
Annual,"Engineering, manufacturing and construction",Number,Hungary,180.4
Annual,"Engineering, manufacturing and construction",Number,Ireland,52.5
Annual,"Engineering, manufacturing and construction",Number,Italy,72.0
Annual,"Engineering, manufacturing and construction",Number,Lithuania,91 u
Annual,"Engineering, manufacturing and construction",Number,Luxembourg,59.7
Annual,"Engineering, manufacturing and construction",Number,Latvia,94.9 u
Annual,"Engineering, manufacturing and construction",Number,Malta,94.7 u
Annual,"Engineering, manufacturing and construction",Number,Netherlands,87.6 u
Annual,"Engineering, manufacturing and construction",Number,Norway,38.8
Annual,"Engineering, manufacturing and construction",Number,Poland,32.8
Annual,"Engineering, manufacturing and construction",Number,Portugal,187.2
Annual,"Engineering, manufacturing and construction",Number,Sweden,37.6
Annual,"Engineering, manufacturing and construction",Number,Slovenia,43.5
Annual,"Engineering, manufacturing and construction",Number,Slovakia,41.7
Annual,"Engineering, manufacturing and construction",Number,United Kingdom,39.7
Annual,Agriculture and veterinary,Number,Austria,80.8
Annual,Agriculture and veterinary,Number,Czechia,49.1 u
Annual,Agriculture and veterinary,Number,Germany,74.2
Annual,Agriculture and veterinary,Number,Denmark,48.4
Annual,Agriculture and veterinary,Number,Greece,83.4 u
Annual,Agriculture and veterinary,Number,Spain,145.5
Annual,Agriculture and veterinary,Number,European Union - 25 countries (2004-2006),98.1
