Annual,Million euro,inf,NL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1330.0,1367.0,1379.0,1412.0,1601.0
Annual,Million euro,inf,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1858.0,1546.0,1445.0,2291.0,2365.0,3134.0,3865.0,4403.0,5070.0,1133.642,1484.008,1563.869,1729.598,1611.558 e,1400.677,1664.484,:,:,:,1987.956
Annual,Million euro,inf,PL,:,:,:,125.0,188.0,547.0,897.0,1626.0,1259.0,1007.0,:,:,:,:,:,:,1361.0,2411.0,2847.0,2814.0,2630.0,3833.0,3844.0,1818.463,2290.228,2406.252,1559.177,1965.938,2802.534,3163.626,3302.723,3540.48,3324.94,3727.433
Annual,Million euro,inf,PT,:,:,13538 d,15309.0,17969.0,19587.0,31815.0,55754.0,100933.0,64827.0,74339.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,inf,RO,:,:,0.0,12212.9,52152.3,88920.0,140899.0,228652.0,:,145691.0,147557.0,368093.0,390728.0,:,456767.0,:,:,:,:,:,:,:,:,:,:,321.996,262.137,214.476,180.082,185.784,373.623,310.739 p,:,:
Annual,Million euro,inf,RS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:
Annual,Million euro,inf,SE,2886.0,3497.0,4609.0,5650.0,9446.0,10652.0,8930.0,6068.0,6803.0,6012.0,4983.0,5154.0,6101.0,5952.0,8601.0,10435.0,9819.0,11595.0,12686.0,14002.0,13673.0,12644.0,11597.0,2028.319,2163.653,2298.391,2131.293,2198.213,2065.644,2355.819,2744.449,3032.573,3122.037,3131.948
Annual,Million euro,inf,SI,:,:,689.0,1778.0,4233.0,6365.0,6154.0,5579.0,5115.0,7565.0,22927.0,11317.0,5901.0,6490.0,158.0,299.0,14 d,61.87 d,96.13 d,71.85 d,131.036,105.73,71.559,211.342,372.0,486.15,174.28,213.65,241.8,312.42,301.88,308.01,346.03,483.17
Annual,Million euro,inf,SK,:,:,:,:,:,1914.0,4449.0,:,:,3563.0,2269.6,7306.1,10268.5,3761.0,3629.0,6169.0,8392.0,9707.0,6020.0,: @C,273.4,289.2,216.0,330.0,284.0,306.0,141.0,244.0,294.5,234.1,185.6,235.8,251.2,392.9
Annual,Million euro,inf,TR,:,:,0.5,0.8,1.7,2.7,5.0,10.5,19.9,36.2,41.8,64.3,103.7,197.4,394.7,379.5,815.5,940.49,1356.96,1668.0,3007.0,3565.0,3491.0,2442.471,1553.759,1253.677,1889.75,1931.515,:,:,:,:,:,:
Annual,Million euro,inf,UK,:,:,:,897 d,895 d,904.0,1190.0,1439.0,1827.0,2012.0,2404.0,3170 d,3782 d,4741 d,3538.0,:,:,: @C,:,: @C,:,:,:,9122.059,8750.558,12969.801,11465.808,10468.021,11664.839,10191.736,11102.619,12054.444,13810.451,:
Annual,Million euro,inf,XK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.836,:,4.546,:,:,:,:
Annual,Million euro,INF_INV,AL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Million euro,INF_INV,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,309.0,: @C,310.0,352.0,359.0,:,211.0,272.0,:,:,:,:,:,2002.0,:,:,:
Annual,Million euro,INF_INV,BA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.647,6.136,:,:,:,:,:
Annual,Million euro,INF_INV,BE,:,:,:,15219 d,15712 d,10697.0,10984.0,11070.0,11711.0,13100 e,15858.0,341 d,397 d,403.0,523 b,:,542.0,523.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,CH,:,:,:,:,:,2.0,2.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,CZ,:,:,:,2547.0,4147.0,12031.0,13326.0,13859.0,14467.0,15428.0,15736.0,16741.0,11870.4,7164.8,6798.0,7023.6,7255.0,7017.0,8816.0,9845.0,9083.0,8963.0,8877.0,377.675,454.242,1165.145,681.501,565.639,740.944,762.836,1123.342,1449.298,1737.442,1678.429
