Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Austria,5.82,3.22,2.22,2.64,2.87,3.74,1.69,1.71,1.95,1.54
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Belgium,3.95,4.26,3.67,4.15,3.41,3.75,2.51,3.45,1.41,2.33
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Bulgaria,4.05,3.2,5.05,6.75,7.35,6.36,5.23,5.99,5.0,3.98
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Switzerland,2.39,1.52,1.74,0.44,1.32,1.11,2.03,0.46,0.23,1.15
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Cyprus,4.64,1.62,5.07,3.42,: @C,3.44,1.73,0.0,5.27,: @C
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Czechia,6.36,3.39,4.44,4.99,4.38,2.05,3.79,4.48,3.43,2.76
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Germany,4.34,3.4,3.17,3.29,2.8,2.82,2.5,2.14,1.94,1.91
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Denmark,2.3,2.84,1.69,2.23,2.49,1.94,1.39,1.4,2.27,2.56
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Estonia,5.13,4.09,2.87,5.98,12.45,0.0,3.25,1.63,3.25,4.83
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Greece,3.65,6.56,5.61,5.36,4.31,2.45,2.46,2.27,1.89,2.32
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Spain,2.02,2.47,1.46,2.29,2.11,2.6,2.11,1.84,1.59,1.99
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",European Union - 27 countries (from 2020),4.12,3.53,3.48,3.47,3.41,3.17,2.96,2.84,2.44,2.56
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Finland,3.71,2.8,3.14,2.86,1.29,1.96,2.65,2.01,3.38,2.03
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",France,4.3,2.79,3.52,3.6,3.6,2.85,2.66,2.16,2.09,2.48
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Croatia,3.67,7.4,4.99,3.39,2.6,3.56,5.02,3.28,1.92,3.01
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Hungary,2.9,3.12,3.01,3.81,3.17,3.43,4.87,4.76,3.03,3.27
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Ireland,2.14,2.88,1.79,2.85,0.71,0.35,0.0,0.65,0.65,1.59
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Iceland,: @C,8.71,4.35,: @C,0.0,4.33,: @C,: @C,0.0,: @C
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Italy,3.71,3.49,2.97,2.99,3.75,2.86,2.53,2.61,1.79,2.77
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Liechtenstein,:,:,:,:,:,: @C,: @C,: @C,: @C,: @C
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Lithuania,4.51,3.63,4.29,2.24,2.96,3.83,5.46,4.27,3.66,2.26
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Luxembourg,3.18,3.12,3.08,: @C,2.95,: @C,5.78,: @C,2.88,: @C
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Latvia,7.35,3.51,5.64,3.0,4.24,5.58,5.79,2.37,5.96,5.9
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Malta,: @C,7.43,: @C,7.57,3.83,: @C,: @C,: @C,3.98,: @C
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Netherlands,2.38,1.39,2.27,1.67,1.85,1.45,1.25,2.57,1.43,1.99
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Norway,1.56,2.78,2.15,3.39,0.62,0.62,0.62,1.88,0.94,1.26
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Poland,6.26,5.51,6.02,4.83,5.11,5.41,5.91,5.3,6.14,4.58
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Portugal,1.79,2.0,2.75,2.57,2.96,3.53,2.24,4.65,1.85,2.05
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Romania,6.68,6.49,4.97,5.19,5.76,5.96,4.47,5.24,3.55,3.88
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Serbia,4.91,4.28,4.65,2.91,3.24,2.2,2.79,4.52,4.01,2.61
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Sweden,1.99,1.34,1.88,2.09,1.41,1.07,2.35,0.91,1.82,1.81
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovenia,5.64,7.76,6.01,3.07,4.18,6.36,3.21,1.07,2.14,1.07
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovakia,4.56,2.95,6.41,4.11,3.95,4.79,5.68,6.58,4.1,3.03
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Türkiye,1.53,2.96,3.05,2.54,2.55,2.45,2.8,2.12,1.48,1.98
Annual,Rate,Females,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",United Kingdom,1.68,2.09,1.75,1.09,1.33,1.11,1.05,:,:,:
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Austria,1.2,4.02,3.44,3.86,4.71,2.91,2.11,2.14,2.17,2.2
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Belgium,4.25,4.26,4.13,3.23,3.56,3.91,4.24,4.86,3.9,5.74
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Bulgaria,3.54,1.6,1.4,1.47,2.14,1.59,3.6,1.66,1.33,1.66
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Switzerland,2.17,3.69,3.05,4.37,3.3,3.57,5.65,5.24,6.42,4.84
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Cyprus,0.0,0.0,3.38,1.71,: @C,5.16,0.0,0.0,1.76,: @C
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Czechia,1.72,2.68,2.04,3.65,4.58,4.31,5.05,3.63,2.79,4.25
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Germany,2.81,2.6,2.89,3.29,3.18,2.96,2.69,2.29,2.95,3.15
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Denmark,2.3,3.4,1.97,1.67,3.88,3.05,2.5,2.24,6.24,2.85
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Estonia,2.57,2.72,1.43,1.5,6.22,8.01,6.49,8.14,9.75,16.11
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Greece,1.22,0.71,1.27,0.74,0.94,0.75,2.46,1.32,1.51,0.77
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Spain,1.49,2.02,2.23,2.06,1.79,1.5,1.75,1.84,1.51,2.29
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,European Union - 27 countries (from 2020),2.56,2.86,2.74,2.5,2.77,2.64,2.91,2.82,2.85,3.23
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Finland,9.9,9.63,7.21,3.81,13.19,9.47,8.62,10.06,10.14,9.14
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,France,2.83,3.2,2.51,2.07,2.72,2.52,3.0,2.96,2.88,3.66
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Croatia,2.04,2.47,4.99,2.54,2.6,2.22,2.74,1.87,1.92,1.5
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Hungary,2.56,2.08,1.42,2.72,2.61,2.67,3.11,3.77,3.24,3.07
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Ireland,5.71,3.59,3.94,3.21,6.7,4.49,6.72,4.91,5.49,4.14
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Iceland,: @C,0.0,4.35,: @C,4.35,0.0,: @C,: @C,12.82,: @C
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Italy,1.39,1.52,1.52,1.04,1.12,1.17,1.46,1.25,1.33,2.12
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Liechtenstein,: @C,:,:,:,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Lithuania,4.01,8.82,6.44,5.59,3.55,3.83,5.46,4.99,5.13,3.76
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Luxembourg,3.18,0.0,6.15,: @C,0.0,: @C,2.89,: @C,0.0,: @C
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Latvia,4.9,2.63,5.64,4.0,2.12,2.23,0.0,4.73,2.38,3.54
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Malta,: @C,0.0,: @C,3.79,0.0,: @C,: @C,: @C,0.0,: @C
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Netherlands,3.28,4.56,4.84,3.44,3.41,5.13,4.99,5.53,5.9,4.56
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Norway,6.53,5.86,5.23,5.23,8.97,7.45,6.55,7.51,5.34,8.19
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Poland,2.43,2.82,3.19,2.8,2.53,2.48,2.67,3.45,2.93,3.86
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Portugal,1.43,0.91,1.47,1.65,1.66,1.67,1.49,1.12,1.85,1.68
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Romania,2.4,2.13,1.38,1.51,1.44,1.37,2.09,1.41,1.42,1.64
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Serbia,2.21,0.5,1.03,1.85,0.81,0.82,1.12,0.28,0.57,1.16
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Sweden,5.64,8.07,6.31,6.6,6.18,6.8,9.02,8.71,6.18,6.32
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Slovenia,0.94,1.94,3.0,3.07,3.13,4.24,1.07,3.22,3.21,5.33
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Slovakia,1.14,3.54,2.14,0.95,0.66,0.0,1.42,1.1,1.49,2.65
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,Türkiye,1.48,2.27,1.82,2.06,2.06,2.57,3.6,3.67,3.49,4.25
Annual,Rate,Females,From 15 to 24 years,Intentional self-harm,United Kingdom,1.98,1.77,2.48,3.0,2.99,3.34,3.72,:,:,:
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Austria,15.39,12.13,12.36,14.36,11.05,8.9,7.51,9.68,9.42,10.95
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Belgium,18.4,15.64,17.5,13.63,11.12,10.47,7.51,9.89,8.94,7.08
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Bulgaria,20.06,21.12,19.01,22.36,21.31,14.06,15.7,22.6,15.41,14.05
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Switzerland,8.13,5.83,8.56,7.74,5.01,7.12,4.03,4.93,4.09,4.54
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Cyprus,17.85,26.39,16.23,16.76,: @C,15.68,18.06,16.43,12.79,: @C
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Czechia,15.58,19.93,19.09,19.57,14.4,16.0,13.97,16.57,12.77,9.63
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Germany,13.12,11.23,11.4,10.07,9.46,8.26,8.47,8.22,7.78,6.99
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Denmark,7.97,5.97,5.38,8.52,6.61,9.52,5.32,6.44,5.43,6.0
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Estonia,16.9,16.63,22.95,7.07,11.78,10.62,6.18,4.65,7.71,10.66
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Greece,27.36,20.99,22.36,21.2,21.18,20.56,17.16,15.65,15.65,18.1
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Spain,6.51,5.91,5.35,6.55,6.58,6.75,7.07,6.19,4.74,7.12
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",European Union - 27 countries (from 2020),14.85,13.55,12.68,12.79,11.83,11.07,10.56,10.82,9.31,9.53
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Finland,9.78,9.53,9.92,11.54,9.5,11.78,10.05,10.15,8.63,8.97
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",France,16.32,14.65,12.92,12.78,12.2,11.65,9.77,10.04,7.93,8.98
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Croatia,18.7,20.82,13.91,20.6,16.93,21.6,14.28,20.67,21.42,17.84
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Hungary,7.76,9.54,10.41,13.22,8.8,8.83,8.81,9.53,8.76,8.48
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Ireland,8.72,10.45,6.91,5.48,6.78,5.31,5.49,2.52,2.5,4.0
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Iceland,: @C,4.13,4.13,: @C,8.3,0.0,: @C,: @C,4.08,: @C
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Italy,13.95,11.83,11.44,11.97,10.97,10.37,10.94,11.06,7.26,10.13
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Liechtenstein,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Lithuania,27.15,20.13,20.25,18.53,12.37,11.46,17.37,14.05,13.73,13.5
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Luxembourg,24.2,8.9,11.69,: @C,11.27,: @C,8.22,: @C,5.4,: @C
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Latvia,14.71,16.57,26.61,25.5,22.09,17.99,13.11,13.3,16.74,12.22
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Malta,: @C,6.94,: @C,3.49,3.54,: @C,: @C,: @C,3.53,: @C
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Netherlands,8.06,7.95,6.28,7.18,6.46,5.11,5.91,7.16,5.96,6.48
