Time frequency,Unit of measure,n_vessel,geo\TIME_PERIOD,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,1.0,CZ,:,:,:,0.0,12.0,5.0,2.0,17.0,22.0,8.0,2.0,17.0,1.0,28.0,31.0,31.0,32.0,36.0,32.0,:,:,:,:
Annual,Number,1.0,FI,:,:,:,:,:,:,:,10.0,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,1.0,HR,:,:,:,: m,: m,16.0,16.0,16.0,0.0,0.0,: m,: m,0.0,: m,3.0,4.0,88.0,92.0,85.0,84.0,: m,: m,: m
Annual,Number,1.0,LT,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,1.0,LU,:,:,:,:,:,:,61.0,66.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,LV,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,PL,:,:,:,:,:,5.0,6.0,27.0,34.0,13.0,7.0,29.0,26.0,46.0,66.0,51.0,73.0,101.0,174.0,192.0,140.0,145.0,117.0
Annual,Number,1.0,RO,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,SK,:,:,:,0.0,0.0,32.0,64.0,51.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,CZ,:,:,:,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,:,:,:,:
Annual,Number,10-19,FI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,10-19,HR,:,:,:,56.0,58.0,46.0,29.0,30.0,30.0,30.0,38.0,37.0,46.0,35.0,31.0,127.0,119.0,121.0,124.0,106.0,: m,: m,: m
Annual,Number,10-19,LT,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,10-19,LU,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,LV,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,PL,:,:,:,:,:,150.0,158.0,82.0,22.0,92.0,95.0,85.0,74.0,90.0,51.0,161.0,146.0,131.0,79.0,139.0,88.0,27.0,48.0
Annual,Number,10-19,RO,:,:,:,35.0,40.0,40.0,40.0,20.0,180.0,175.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,SK,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
