Time frequency,Accommodation unit,Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Bedplaces,Percentage,Albania,14.7 e,14.0,15.2,17.6,24.5,25.9,38.6,55.4,67.6,44.3,27.4,:
Monthly,Bedplaces,Percentage,Austria,44.8,66.1,63.8,48.5,26.8,34.3,46.2,64.6,65.5,43.1,34.7,:
Monthly,Bedplaces,Percentage,Belgium,38.96,27.58,32.36,36.86,39.86,43.11,42.38,46.62,46.58,41.31,39.58 u,:
Monthly,Bedplaces,Percentage,Bulgaria,27.4,29.0,35.4,29.8,26.9,22.2,42.7,69.3,65.8,37.2,26.6,:
Monthly,Bedplaces,Percentage,Switzerland,41.3,38.1,45.0,40.2,38.7,46.1,51.0,55.5,55.5,48.4,41.7,:
Monthly,Bedplaces,Percentage,Cyprus,33.8,32.8,35.6,50.3,58.7,66.6,76.9,92.2,98.1,86.4,83.6,:
Monthly,Bedplaces,Percentage,Czechia,32.5,27.0,34.3,33.6,33.5,41.6,41.4,49.1,50.7,38.3,49.2,:
Monthly,Bedplaces,Percentage,Germany,37.42,29.63,34.85,38.86,40.42,46.55,48.5,50.78,52.06,50.95,46.76,:
Monthly,Bedplaces,Percentage,Denmark,35.0,29.0,32.0,39.0,42.0,50.0,53.0,63.0,62.0,50.0,46.0,:
Monthly,Bedplaces,Percentage,Euro area – 20 countries (from 2023),38.04,33.94,39.27,41.22,43.47,49.88,55.58,:,:,:,:,:
Monthly,Bedplaces,Percentage,Estonia,41.0,29.0,38.0,36.0,36.0,43.0,50.0,65.0,55.0,41.0,42.0,:
Monthly,Bedplaces,Percentage,Greece,26.7,17 e,13.7 e,18.7 e,31.6 e,50.7 e,70.1 e,78.8 e,81.6 e,68.4 e,38.6 e,:
Monthly,Bedplaces,Percentage,Spain,50.27,47.9,53.68,55.82,57.87,62.83,67.28,73.88,80.36,68.15,63.02,54.06
Monthly,Bedplaces,Percentage,European Union - 27 countries (from 2020),36.62,32.7,37.91,39.31,41.0,46.99,52.51,:,:,:,:,:
Monthly,Bedplaces,Percentage,Finland,41.0,33.4,42.1,40.3,32.6,34.2,44.6,55.4,44.6,36.7,37.0,:
Monthly,Bedplaces,Percentage,France,43.3,37.8,41.1,45.2,45.9,52.1,53.6,55.3,61.9,53.4,48.4 e,:
Monthly,Bedplaces,Percentage,Croatia,26.5,20.8,29.4,32.9,41.5,55.7,69.4,91.8,98.2,67.5,48.1,:
Monthly,Bedplaces,Percentage,Hungary,35.1,29.8,32.8,34.3,35.1,39.4,41.5,51.9,55.0,39.4,39.8,:
Monthly,Bedplaces,Percentage,Ireland,51 e,38 e,49 e,57 e,59 e,64 e,67 e,:,:,:,:,:
Monthly,Bedplaces,Percentage,Iceland,34.6,35.2 e,49.6 e,51.7 e,39.8 e,45.3 e,58.6 e,66.9 e,70.3 e,61.9 e,:,:
Monthly,Bedplaces,Percentage,Italy,39.9,44.9,47.9,45.7,45.6,48.8,58.7,70.5,78.5,55.6,55.6,:
