Time frequency,Unit of measure,Land cover,Geopolitical entity (reporting)\Time,2009.0,2012.0,2015.0,2018.0
Annual,Percentage,Forest FAO,Austria,41.1,41.3,42.9,42.1
Annual,Percentage,Forest FAO,Belgium,20.8,21.6,22.3,23.4
Annual,Percentage,Forest FAO,Bulgaria,:,38.2,40.8,42.7
Annual,Percentage,Forest FAO,Cyprus,:,20.3,23.2,22.4
Annual,Percentage,Forest FAO,Czechia,36.3,36.7,36.9,36.8
Annual,Percentage,Forest FAO,Germany,30.3,30.5,31.6,31.7
Annual,Percentage,Forest FAO,Denmark,12.3,12.0,14.0,15.0
Annual,Percentage,Forest FAO,Estonia,51.9,54.5,56.3,55.9
Annual,Percentage,Forest FAO,Greece,28.1,28.4,31.1,36.2
Annual,Percentage,Forest FAO,Spain,24.6,25.0,27.0,28.0
Annual,Percentage,Forest FAO,European Union - 27 countries (2007-2013),:,35.1,36.1,36.9
Annual,Percentage,Forest FAO,European Union - 27 countries (from 2020),:,:,37.8,38.6
Annual,Percentage,Forest FAO,European Union - 28 countries (2013-2020),:,:,36.2,37.1
Annual,Percentage,Forest FAO,European Union (aggregate changing according to the context),34.6,35.2,36.2,37.0
Annual,Percentage,Forest FAO,Finland,65.1,66.4,66.8,65.2
Annual,Percentage,Forest FAO,France,27.6,27.6,28.3,30.7
Annual,Percentage,Forest FAO,Croatia,:,:,44.8,47.2
Annual,Percentage,Forest FAO,Hungary,20.2,21.6,23.6,24.5
Annual,Percentage,Forest FAO,Ireland,9.1,10.2,10.5,11.7
Annual,Percentage,Forest FAO,Italy,30.1,30.9,31.3,32.4
Annual,Percentage,Forest FAO,Lithuania,34.7,36.2,37.4,38.6
Annual,Percentage,Forest FAO,Luxembourg,33.2,32.8,33.9,34.4
Annual,Percentage,Forest FAO,Latvia,49.2,51.6,51.7,53.0
Annual,Percentage,Forest FAO,Malta,:,2.9 u,1.3 u,0.9 u
Annual,Percentage,Forest FAO,Netherlands,6.5,6.3,6.5,9.6
Annual,Percentage,Forest FAO,Poland,31.8,33.2,34.7,35.4
Annual,Percentage,Forest FAO,Portugal,27.2,28.2,31.8,35.5
