Time frequency,Sex,Activity and employment status,Unit of measure,Age class,Country of citizenship,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Austria,:,:,14.1 bu,16.2 u,9.6 u,: u,10.2 u,: u,: u,13.0 u,9.9 bu,9.7 u,5.8 u,10.0 u,12.2,12.3,15.3,18.2 b,13.6,15.0
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,:
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Belgium,:,:,22.0 b,18.5,20.5 b,18.2,17.2,19.1,18.0,20.5,14.9 b,16.1,15.0,16.4 b,18.2,14.3,8.0 u,11.9 b,8.4 u,8.5 u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Bulgaria,:,:,: b,:,:,:,: b,:,:,: u,: bu,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Switzerland,:,:,16.2,15.7,14.3,14.9,11.6 b,9.9,8.1,10.4,8.7 b,9.3,8.6,8.3,10.5,7.8,6.4,8.0 b,11.6,9.3
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Cyprus,:,:,32.5 bu,26.1 u,30.3,27.7 b,31.5,22.6,24.8,18.5 u,14.2 bu,14.9 u,10.3 u,17.2 u,13.0 u,23.6 u,23.8 u,16.6 bu,20.8 u,21.3 u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Czechia,:,:,29.8 bu,8.0 u,: u,13.2 u,12.3 u,: bu,: u,: bu,: bu,16.6 u,12.9 u,: u,: u,8.3 u,18.9 u,23.2 bu,: u,23.4 u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Germany,:,:,20.7 b,19.4,20.7 b,18.8,22.2 b,22.2,20.6,19.3,20.3 b,21.4,24.3,24.3,24.6,25.3,25.1 b,33.2 b,31.1,34.3
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Denmark,:,:,: u,: bu,: b,: u,: u,: u,: u,: u,: bu,: u,: bu,: bu,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),:,:,26.1,24.8,27.2,27.8,26.9,26.4,25.7,25.3,21.9 b,22.1,22.3,24.0,23.8,22.9,21.1,24.4 b,23.0,23.2
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Estonia,:,:,:,:,:,:,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Greece,:,:,17.2 bu,17.6 u,23.4 b,30.7 b,28.5,30.2,27.2 u,31.3,25.5 bu,22.1 u,: u,24.3 u,28.5 u,22.8 u,: u,: bu,: u,: u
