Time frequency,Unit of measure,Severity (days lost),Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Rate,4 days or over,Employees,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,1763.0,1762.0,1807.0,1992.0,2001.0,1941.0,1957.0,1845.0,1629.0,1634.0,1779.0,1530.0
Annual,Rate,4 days or over,Self-employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,8369.0,8125.0,7562.0,7925.0,7720.0,7181.0,4511.0,4298.0,4334.0,4366.0,4268.0,3411.0
Annual,Rate,4 days or over,Self-employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,3986.0,4454.0,3474.0,3316.0,3208.0,2926.0,1917.0,1847.0,1557.0,1576.0,1527.0,1214.0
Annual,Rate,4 days or over,Self-employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,4892.0,8344.0,4644.0,4443.0,3908.0,3471.0,2196.0,2064.0,1987.0,1697.0,1535.0,1338.0
Annual,Rate,4 days or over,Self-employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,1273.0,7856.0,857.0,:,507.0,614.0,302.0,419.0,2184.0,1122.0,689.0,1494.0
Annual,Rate,4 days or over,Self-employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,6590.0,8263.0,6405.0,6027.0,6078.0,5793.0,4093.0,3907.0,3683.0,3159.0,3219.0,2573.0
Annual,Rate,4 days or over,Self-employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,655.0,1064.0,749.0,709.0,727.0,635.0,426.0,409.0,367.0,397.0,429.0,375.0
Annual,Rate,4 days or over,Self-employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,186.0,403.0,209.0,:,266.0,341.0,162.0,202.0,241.0,992.0,1055.0,869.0
Annual,Rate,4 days or over,Self-employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,5655.0,9180.0,8570.0,8203.0,7247.0,6155.0,3464.0,3110.0,3044.0,2782.0,2820.0,2448.0
Annual,Rate,4 days or over,Self-employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,263.0,420.0,322.0,304.0,438.0,424.0,260.0,330.0,293.0,231.0,265.0,179.0
Annual,Rate,Fatal,Contributing family workers,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,7.4,8.9,10.3,9.8,11.9,14.9,:,12.2,: p,10.3,11.1,9.4
