Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,14 years,Females,Percentage,Albania,:,:,:,:,:,:,4.91,0.00 d
Annual,14 years,Females,Percentage,Austria,1.37,1.26,1.39,1.24,1.03,1.27,1.06,1.51
Annual,14 years,Females,Percentage,Belgium,1.75,1.97,1.07,1.01,1.08,1.05 bd,1.37,1.39
Annual,14 years,Females,Percentage,Bulgaria,7.77,9.21,11.19,16.38,14.46,13.1,14.24,12.85
Annual,14 years,Females,Percentage,Switzerland,0.17,0.31,0.19,0.27,0.23,0.07,0.16,0.42
Annual,14 years,Females,Percentage,Cyprus,2.85,5.87,1.72,2.43,1.15,0.0,0.0,0.0
Annual,14 years,Females,Percentage,Czechia,: d,: d,: d,0.08,0.11,0.23,0.0,0.0
Annual,14 years,Females,Percentage,Germany,0.72 d,1.54 d,1.10 d,1.00 d,1.07,1.07 bd,0.75,1.11
Annual,14 years,Females,Percentage,Denmark,0.63,0.72,0.58,0.6,0.54,0.39,0.54,0.67
Annual,14 years,Females,Percentage,Estonia,2.12 d,2.40 d,2.03 d,1.94 d,2.11 d,1.87 d,2.35 d,1.55
Annual,14 years,Females,Percentage,Greece,3.53,6.36,4.19,5.01,3.92,3.8,3.87,2.09
Annual,14 years,Females,Percentage,Spain,2.4,2.94,2.55,2.49,2.49,2.42,2.41,2.71
Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2.48 d,2.54 d,2.43 d,2.35,2.29,2.01,2.3,2.46
Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2.31 d,2.26 d,2.23 d,2.21,2.18,:,:,:
Annual,14 years,Females,Percentage,Finland,0.9,0.46,0.0,0.51,0.35,0.93,1.33,1.5
Annual,14 years,Females,Percentage,France,2.71,1.71,1.58,1.59 p,1.10 p,0.51 p,0.69 p,0.82 p
Annual,14 years,Females,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Females,Percentage,Hungary,0.73,0.5,1.74,1.13,2.76,3.06,7.16,5.67
Annual,14 years,Females,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,14 years,Females,Percentage,Iceland,1.7,0.58,0.87,0.51,0.73,0.83,0.89,1.78
Annual,14 years,Females,Percentage,Italy,2.34,2.62,2.71,1.79 d,1.4,0.77,1.94,2.46
Annual,14 years,Females,Percentage,Liechtenstein,6.53,8.89,42.42,7.6,6.63,4.95,2.6,3.93
Annual,14 years,Females,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Females,Percentage,Luxembourg,5.48,0.19,4.34,2.96,4.23,1.54,5.56,2.19
Annual,14 years,Females,Percentage,Latvia,1.84,1.41,1.27,1.53,1.63,0.98,0.96,0.76
Annual,14 years,Females,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,14 years,Females,Percentage,North Macedonia,: d,: d,: d,13.67 d,14.86,: d,: d,: d
Annual,14 years,Females,Percentage,Malta,0.22,2.04,1.48,0.57,0.0,0.97,0.0,1.43 p
Annual,14 years,Females,Percentage,Netherlands,0.18,0.22,0.25,0.18,0.23 e,0.20 e,0.23 e,0.28
Annual,14 years,Females,Percentage,Norway,0.58,0.12,0.57,0.79,0.47,0.61,0.65,0.64
Annual,14 years,Females,Percentage,Poland,4.39 d,4.59 d,4.79 d,4.98 e,5.94 e,4.61 e,4.05,3.92
Annual,14 years,Females,Percentage,Portugal,1.08,0.0,0.07,0.06,0.0,0.0,0.0,0.00 p
Annual,14 years,Females,Percentage,Romania,10.28,9.76 d,10.94 d,10.84 d,10.95 d,11.23 d,13.46 d,15.07
Annual,14 years,Females,Percentage,Serbia,0.0,2.9,3.83,2.83,2.74,3.14,1.92,0.0
Annual,14 years,Females,Percentage,Sweden,0.98,0.57,0.33,0.72,0.76,0.75,0.33,0.76
Annual,14 years,Females,Percentage,Slovenia,3.18 d,2.26 d,1.66 d,1.39,0.97,1.07,1.45,0.92
Annual,14 years,Females,Percentage,Slovakia,3.54,3.46,4.07,3.86,4.96,4.34,3.91,3.2
Annual,14 years,Females,Percentage,Türkiye,: d,: d,: d,4.5,4.22,2.8,2.84,2.45
Annual,14 years,Females,Percentage,United Kingdom,1.20 d,0.47 d,0.92 d,1.30 d,1.46 d,:,:,:
Annual,14 years,Males,Percentage,Albania,:,:,:,:,:,:,0.0,0.0
Annual,14 years,Males,Percentage,Austria,1.6,3.11,1.4,1.38,1.19,1.17,1.13,1.44
Annual,14 years,Males,Percentage,Belgium,1.29,1.31,0.67,0.59,0.81,0.74 bd,0.84,1.1
Annual,14 years,Males,Percentage,Bulgaria,4.95,7.99,9.45,13.12,11.47,10.37,11.06,10.99
Annual,14 years,Males,Percentage,Switzerland,0.3,0.28,0.17,0.32,0.22,0.33,0.25,0.25
Annual,14 years,Males,Percentage,Cyprus,2.22,3.34,0.0,2.56,0.0,0.0,0.0,0.0
Annual,14 years,Males,Percentage,Czechia,: d,: d,: d,0.32,0.27,0.07,0.0,0.0
Annual,14 years,Males,Percentage,Germany,1.31 d,2.69 d,1.86 d,1.74 d,1.62,1.86 bd,1.77,2.07
Annual,14 years,Males,Percentage,Denmark,0.84,0.86,0.74,0.59,0.51,0.42,0.58,0.67
Annual,14 years,Males,Percentage,Estonia,2.20 d,2.36 d,2.20 d,2.42 d,1.98 d,2.12 d,1.83 d,1.55
Annual,14 years,Males,Percentage,Greece,1.98,3.45,5.13,4.66,3.63,4.86,3.58,1.7
Annual,14 years,Males,Percentage,Spain,2.82,3.18,3.0,2.99,2.9,3.29,3.18,3.07
Annual,14 years,Males,Percentage,European Union - 27 countries (from 2020),2.42 d,2.76 d,2.48 d,2.54,2.12 d,2.33,2.44,2.59
Annual,14 years,Males,Percentage,European Union - 28 countries (2013-2020),2.23 d,2.45 d,2.30 d,2.35,2.02 d,:,:,:
Annual,14 years,Males,Percentage,Finland,0.71,0.23,0.82,0.02,0.0,1.3,1.19,1.57
Annual,14 years,Males,Percentage,France,2.96,2.54,1.68,1.78 p,1.18 p,0.95 p,0.55 p,0.68 p
Annual,14 years,Males,Percentage,Croatia,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Males,Percentage,Hungary,0.94,0.47,0.94,0.94,2.42,2.5,7.64,5.78
Annual,14 years,Males,Percentage,Ireland,0.07 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,14 years,Males,Percentage,Iceland,0.76,0.37,1.29,0.88,1.4,1.08,0.92,1.14
Annual,14 years,Males,Percentage,Italy,1.01,1.39,1.33,1.57 d,0.18,0.82,1.54,2.07
Annual,14 years,Males,Percentage,Liechtenstein,3.76,0.0,0.0,1.68,2.4,1.55,3.08,1.45
Annual,14 years,Males,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Males,Percentage,Luxembourg,7.12,5.01,5.71,5.22,4.21,3.9,4.4,3.03
Annual,14 years,Males,Percentage,Latvia,2.62,2.22,2.29,2.15,2.31,1.77,1.86,1.67
Annual,14 years,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,14 years,Males,Percentage,North Macedonia,: d,: d,: d,13.86 d,14.55,: d,: d,: d
Annual,14 years,Males,Percentage,Malta,2.11,0.33,0.28,0.52,0.75,1.01,0.82,0.00 p
Annual,14 years,Males,Percentage,Netherlands,0.43,0.5,0.61,0.53,0.57 e,0.60 e,0.64 e,0.61
Annual,14 years,Males,Percentage,Norway,0.27,0.47,0.0,0.56,0.45,0.44,0.3,0.55
Annual,14 years,Males,Percentage,Poland,4.31 d,4.60 d,4.80 d,4.99 e,3.83 e,4.72 e,4.24,4.03
Annual,14 years,Males,Percentage,Portugal,1.08,0.4,0.24,0.35,0.0,0.0,0.0,0.00 p
Annual,14 years,Males,Percentage,Romania,9.25,10.43 d,11.32 d,11.61 d,10.78 d,11.47 d,13.05 d,15.35
Annual,14 years,Males,Percentage,Serbia,0.0,3.76,4.38,3.49,2.87,3.05,0.81,0.0
Annual,14 years,Males,Percentage,Sweden,0.99,0.0,0.0,0.34,0.68,0.49,0.39,0.48
Annual,14 years,Males,Percentage,Slovenia,4.07 d,2.35 d,2.12 d,1.63,1.51,0.83,2.01,1.55
Annual,14 years,Males,Percentage,Slovakia,3.66,3.58,3.83,4.21,4.74,4.51,4.78,3.36
Annual,14 years,Males,Percentage,Türkiye,: d,: d,: d,3.82,2.63,1.66,1.47,1.26
Annual,14 years,Males,Percentage,United Kingdom,1.01 d,0.51 d,1.12 d,1.14 d,1.43 d,:,:,:
Annual,14 years,Total,Percentage,Albania,:,:,:,:,:,:,1.8,0.00 d
Annual,14 years,Total,Percentage,Austria,1.49,2.22,1.39,1.31,1.11,1.22,1.1,1.47
Annual,14 years,Total,Percentage,Belgium,1.52,1.63,0.87,0.8,0.94,0.89 bd,1.1,1.24
Annual,14 years,Total,Percentage,Bulgaria,6.32,8.58,10.29,14.7,12.93,11.7,12.6,11.89
Annual,14 years,Total,Percentage,Switzerland,0.24,0.3,0.18,0.3,0.22,0.2,0.21,0.33
Annual,14 years,Total,Percentage,Cyprus,2.53,4.59,0.79,2.5,0.0,0.0,0.0,0.0
Annual,14 years,Total,Percentage,Czechia,: d,: d,: d,0.21,0.19,0.15,0.0,0.0
Annual,14 years,Total,Percentage,Germany,1.02 d,2.13 d,1.49 d,1.38 d,1.35,1.48 bd,1.28,1.61
Annual,14 years,Total,Percentage,Denmark,0.74,0.79,0.66,0.6,0.52,0.4,0.56,0.67
Annual,14 years,Total,Percentage,Estonia,2.16 d,2.38 d,2.12 d,2.18 d,2.05 d,2.00 d,2.08 d,1.55
Annual,14 years,Total,Percentage,Greece,2.74,4.87,4.68,4.83,3.77,4.35,3.72,1.89
Annual,14 years,Total,Percentage,Spain,2.62,3.06,2.79,2.75,2.7,2.87,2.81,2.9
Annual,14 years,Total,Percentage,European Union - 27 countries (from 2020),2.45 d,2.64 d,2.46 d,2.45,2.22 d,2.17,2.37,2.53
Annual,14 years,Total,Percentage,European Union - 28 countries (2013-2020),2.27 d,2.35 d,2.26 d,2.28,2.11 d,:,:,:
Annual,14 years,Total,Percentage,Finland,0.8,0.34,0.42,0.26,0.13,1.12,1.26,1.53
Annual,14 years,Total,Percentage,France,2.83,2.14,1.63,1.69 p,1.14 p,0.73 p,0.62 p,0.75 p
Annual,14 years,Total,Percentage,Croatia,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Total,Percentage,Hungary,0.84,0.48,1.33,1.03,2.58,2.77,7.4,5.73
Annual,14 years,Total,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,14 years,Total,Percentage,Iceland,1.22,0.48,1.08,0.7,1.07,0.96,0.91,1.45
Annual,14 years,Total,Percentage,Italy,1.65,1.99,2.0,1.68 d,0.77,0.79,1.74,2.26
Annual,14 years,Total,Percentage,Liechtenstein,5.1,3.89,21.37,4.57,4.46,3.29,2.84,2.6
Annual,14 years,Total,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,14 years,Total,Percentage,Luxembourg,6.33,2.62,5.05,4.14,4.22,2.79,4.97,2.62
Annual,14 years,Total,Percentage,Latvia,2.24,1.82,1.79,1.86,1.98,1.38,1.42,1.22
