Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Any person or service,Percentage,Austria,86.9
Annual,Any person or service,Percentage,Belgium,86.8
Annual,Any person or service,Percentage,Bulgaria,83.8
Annual,Any person or service,Percentage,Cyprus,64.0 u
Annual,Any person or service,Percentage,Czechia,79.8
Annual,Any person or service,Percentage,Germany,93.1
Annual,Any person or service,Percentage,Denmark,88.9
Annual,Any person or service,Percentage,Estonia,87.8
Annual,Any person or service,Percentage,Greece,83.1
Annual,Any person or service,Percentage,Spain,84.1
Annual,Any person or service,Percentage,European Union (aggregate changing according to the context),83.4 e
Annual,Any person or service,Percentage,Finland,90.0
Annual,Any person or service,Percentage,France,81.2
Annual,Any person or service,Percentage,Croatia,88.2
Annual,Any person or service,Percentage,Hungary,75.2
Annual,Any person or service,Percentage,Ireland,87.0
Annual,Any person or service,Percentage,Lithuania,77.2
Annual,Any person or service,Percentage,Luxembourg,90.1
Annual,Any person or service,Percentage,Latvia,86.7 u
Annual,Any person or service,Percentage,Montenegro,: u
Annual,Any person or service,Percentage,Malta,72.4
Annual,Any person or service,Percentage,Netherlands,89.6
Annual,Any person or service,Percentage,Poland,75.0
Annual,Any person or service,Percentage,Portugal,46.4 u
Annual,Any person or service,Percentage,Romania,66.3
Annual,Any person or service,Percentage,Serbia,79.7 u
Annual,Any person or service,Percentage,Sweden,86.8
Annual,Any person or service,Percentage,Slovenia,86.0
Annual,Any person or service,Percentage,Slovakia,: u
Annual,Any person or service,Percentage,Kosovo*,: u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Austria,86.0
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Belgium,84.1
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Bulgaria,51.8 u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Cyprus,60.5 u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Czechia,73.1
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Germany,76.3
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Denmark,88.3
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Estonia,85.9
