Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million tonne-kilometre (TKM),Algeria,1471.0,1429.0,1425.0,1562.0,1302.0,1281.0,1248.0,1253.0,1132.0,1011.0,928.0,885.0,1009.0,1026.0,910.0,1002.0,1105.0,1179.4,:
Annual,Million tonne-kilometre (TKM),Egypt,4064.0,3833.0,2696.0,2701.0,:,1889.0,1965.0,1398.0,1166.0,1356.0,1511.0,1459.0,1461.0,1395.0,:,:,:,:,:
Annual,Million tonne-kilometre (TKM),Israel,1149.0,1123.0,1177.0,1056.0,799.0,1062.0,1099.0,1011.0,1058.0,1165.0,1155.0,1404.0,1381.0,1235.0,1241.0,1250.0,1085.0,922.0,:
Annual,Million tonne-kilometre (TKM),Jordan,500.7,438.4,433.2,449.0,439.2,344.1,308.5,215.9,140.0,189.0,194.4,364.0,185.5,0.0 d,:,:,:,:,:
Annual,Million tonne-kilometre (TKM),Lebanon,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million tonne-kilometre (TKM),Libya,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Million tonne-kilometre (TKM),Morocco,5918.0,5873.0,5837.0,4986.0,4111.0,5585.0,5998.0,5854.0,5835.0,5383.0,4738.0,3830.9,3895.9 p,3485.0,3125.2,3122.0,3148.0,2713.0,:
Annual,Million tonne-kilometre (TKM),Tunisia,2067.0,2173.0,2198.0,2073.0,1820.0,2024.0,795.0,767.0,834.0,872.0,663.6,666.9,678.7,535.4,546.5,335.4,:,:,:
Annual,Thousand tonnes,Algeria,6660.0,6463.0,6185.0,6901.0,5253.0,5094.0,4983.0,5017.0,4997.0,4246.0,4199.0,3486.0,4005.0,4423.0,3871.0,3876.4,4186.0,4207.0,:
Annual,Thousand tonnes,Egypt,10977.0,10458.0,7881.0,8001.0,:,5760.0,6163.0,4088.0,3087.0,3999.0,4690.0,4675.0,4665.0,4570.0,:,:,:,:,:
Annual,Thousand tonnes,Israel,7492.0,7642.0,7929.0,6837.0,5683.0,7023.0,6229.0,6265.0,6667.0,7539.0,7501.0,9232.0,9107.0,8404.0,8482.0,8029.0,7461.0,6568.0,:
Annual,Thousand tonnes,Jordan,2702.7,2280.7,2273.2,2555.9,2048.4,2055.2,2055.0,1528.2,988.4,1349.0,1337.0,1469.0,:,0.0 d,:,:,:,:,:
Annual,Thousand tonnes,Lebanon,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand tonnes,Libya,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Thousand tonnes,Morocco,35207.0,35506.0,36088.0,31703.0,25000.0,35669.0,37153.0,36945.0,36286.0,34724.0,31757.0,28215.0 p,29563.0 p,26805.0,24737.0,24888.0,25487.0,20886.0,:
Annual,Thousand tonnes,Tunisia,10799.0,10979.0,11006.0,10528.0,9318.0,10447.0,4365.0,4299.0,4635.0,4809.0,3686.7,3855.7,3848.0,3102.8,3214.6,2069.2,:,:,:
