Time frequency,Unit of measure,Type of household,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.1,3.4,2.3,2.3
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,0.6,0.4,0.2,0.2,0.4,0.4 b,0.3,0.2,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.3,0.1,0.4
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.1,0.1 b,0.1
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,:,:,:,13.8,10.4,10.3 b,7.8,7.0,6.7,6.9,6.0,6.0 b,5.3,5.0 b,3.8,3.6,3.1,2.7
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,:,:,:,:,1.4,0.0,0.0,0.0,0.0,0.1,0.0,0.2 b,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Cyprus,:,:,0.9,0.8,0.6,0.5 b,0.2,0.4,0.6,0.6,0.8,0.6,0.4,0.4,0.2,0.3,0.3,0.3
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Czechia,:,:,0.6,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Germany,:,:,0.1,0.1,0.2,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Denmark,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,0.3,0.2,0.4,0.3,0.3,0.2,0.2
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Euro area - 19 countries  (2015-2022),:,:,0.6 e,0.6 e,0.5,0.4,0.3,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
