Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,10.0,10.0,15.0,10.0,10.0,15.0,15.0,20.0,10.0,15.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,170.0,170.0,110.0,120.0,175.0,155.0,190.0,240.0,210.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,85.0,135.0,50.0,95.0,115.0,90.0,80.0,25.0,25.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,European Union - 27 countries (from 2020),295.0,335.0,230.0,310.0,325.0,275.0,295.0,300.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,175.0,170.0,145.0,175.0,175.0,160.0,165.0,220.0,185.0,160.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,20.0,10.0,20.0,20.0,15.0,10.0,20.0,20.0,15.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,0.0,5.0,10.0,10.0,10.0,15.0,15.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,50.0,45.0,40.0,60.0,75.0,50.0,35.0,45.0,55.0,30.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
