Time frequency,Economical indicator for structural business statistics,Enterprise,Enterprise group identification,Geopolitical entity (reporting)\Time,2007.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Netherlands,165 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Norway,68.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Portugal,: @C
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Sweden,44.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Slovenia,29.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),United Kingdom,274.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Czechia,15 p
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Germany,585.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Denmark,89.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,European Union (aggregate changing according to the context),1512 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Finland,88.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Ireland,61.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Netherlands,123 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Norway,50.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Portugal,58.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Sweden,30.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,Slovenia,22.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in own country,United Kingdom,441.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Czechia,23 p
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Germany,422.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Denmark,59.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Finland,49.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Ireland,125.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Netherlands,177 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Norway,84.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Portugal,: @C
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Sweden,45.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),Slovenia,2.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in extra-EU27 (2007-2013),United Kingdom,972.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Czechia,194 p
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Germany,2524.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Denmark,371.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),European Union (aggregate changing according to the context),8711 u
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Finland,283.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Ireland,492.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Italy,1140.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Netherlands,628.0
