Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024
Monthly,Imports,Total - all products,Rest of the world,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),146.9,143.3,143.1,142.1,143.5,143.7,144.3,144.0,145.2,143.9,143.9,144.2
Monthly,Imports,Total - all products,Rest of the world,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),145.0,140.8,139.9,139.0,140.2,140.7,141.5,140.5,141.8,140.6,140.2,140.3
Monthly,Imports,Total - all products,Rest of the world,Percentage change m/m-12 (NSA),Euro area – 20 countries (from 2023),-7.5,-8.3,-7.1,-4.7,-4.3,-1.6,1.1,0.8,3.1,2.0,-0.8,-1.0
Monthly,Imports,Total - all products,Rest of the world,Percentage change m/m-12 (NSA),European Union - 27 countries (from 2020),-9.2,-9.7,-8.4,-5.4,-5.0,-2.3,1.1,0.5,2.6,2.0,-1.5,-2.3
Monthly,Imports,Total - all products,Rest of the world,Percentage change m/m-1 (NSA),Euro area – 20 countries (from 2023),0.9,-2.5,-0.1,-0.7,1.0,0.1,0.4,-0.2,0.8,-0.9,0.0,0.2
Monthly,Imports,Total - all products,Rest of the world,Percentage change m/m-1 (NSA),European Union - 27 countries (from 2020),1.0,-2.9,-0.6,-0.6,0.9,0.4,0.6,-0.7,0.9,-0.8,-0.3,0.1
