Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Austria,4.4,6.8,6.8,5.5
Annual,From 10 to 49 persons employed,Hour,Belgium,6.3,10.0,12.4,7.2
Annual,From 10 to 49 persons employed,Hour,Bulgaria,2.1,2.4,4.2,2.2
Annual,From 10 to 49 persons employed,Hour,Cyprus,4.3,5.1,4.7,3.5
Annual,From 10 to 49 persons employed,Hour,Czechia,7.8,5.7,8.3 b,6.4
Annual,From 10 to 49 persons employed,Hour,Germany,6.5,4.9,5.5,4.8
Annual,From 10 to 49 persons employed,Hour,Denmark,9.4,25.0,6.5,4.6
Annual,From 10 to 49 persons employed,Hour,Estonia,5.0,4.5,5.5,4.9
Annual,From 10 to 49 persons employed,Hour,Greece,1.3,1.6,1.3,0.9
Annual,From 10 to 49 persons employed,Hour,Spain,4.5,6.3,7.0,3.8
Annual,From 10 to 49 persons employed,Hour,European Union - 27 countries (from 2020),5.2,5.9,6.2,5.5
Annual,From 10 to 49 persons employed,Hour,European Union - 28 countries (2013-2020),5.3,6.0,7.2,:
Annual,From 10 to 49 persons employed,Hour,Finland,7.8,7.0,7.1,3.4
Annual,From 10 to 49 persons employed,Hour,France,7.9,7.5,7.3,7.5
Annual,From 10 to 49 persons employed,Hour,Croatia,:,6.5,5.2,3.4
Annual,From 10 to 49 persons employed,Hour,Hungary,2.5,2.1,1.8,5.2 b
Annual,From 10 to 49 persons employed,Hour,Ireland,5.3,:,20.4,7.6
Annual,From 10 to 49 persons employed,Hour,Italy,2.8,3.8,5.1,8.9
Annual,From 10 to 49 persons employed,Hour,Lithuania,2.1,3.8,2.8,2.5
Annual,From 10 to 49 persons employed,Hour,Luxembourg,9.8,13.2,12.8,15.6
Annual,From 10 to 49 persons employed,Hour,Latvia,2.4,1.8,2.4,2.2
Annual,From 10 to 49 persons employed,Hour,North Macedonia,:,:,5.0,2.6
Annual,From 10 to 49 persons employed,Hour,Malta,5.8,5.1,5.6,2.9
Annual,From 10 to 49 persons employed,Hour,Netherlands,8.0,10.0,9.5,8.7
Annual,From 10 to 49 persons employed,Hour,Norway,7.9,10.8,10.2,10.4
Annual,From 10 to 49 persons employed,Hour,Poland,1.8,1.5,2.1,2.0
Annual,From 10 to 49 persons employed,Hour,Portugal,4.4,10.1,9.0,6.2
Annual,From 10 to 49 persons employed,Hour,Romania,2.5,1.4,2.3,0.7
