Time frequency,Unit of measure,Hydrological parameters - flows - sources - water supply - treatment of water,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Million cubic metres,Total gross abstraction of freshwater,Algeria,6450.0,6500.0,6850.0,6950.0,7150.0,7203.0,7515.0,7800.0,4643.0,4820.0,8954.0,9230.0,9802.0,:
Annual,Million cubic metres,Total gross abstraction of freshwater,Egypt,:,:,:,:,:,61.8 i,61.8 i,63.0 i,63.2 i,62.2 i,62.4 i,62.4 i,:,:
Annual,Million cubic metres,Total gross abstraction of freshwater,Israel,1728.0,1637.0,1689.0,1595.0,1313.0,1340.0,1259.0,1318.0,1296.0,1271.0,1173.0,1199.0,1201.0,1112.0
Annual,Million cubic metres,Total gross abstraction of freshwater,Jordan,857.4,845.3,838.3,823.3,758.5,788.8,782.8,733.9,847.0,847.1,875.8,875.8,906.8,923.0
Annual,Million cubic metres,Total gross abstraction of freshwater,Lebanon,1250.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total gross abstraction of freshwater,Tunisia,2448.3,2506.6,2540.7,2555.3,2562.2,2721.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Reused water,Algeria,:,:,:,5768.0,6013.0,6187.0,6227.0,6422.0,:,:,:,:,:,:
Annual,Million cubic metres,Reused water,Jordan,940.5,925.2,940.3,936.0,871.1,900.7,898.8,848.4,1043.9,1022.3,985.0,985.0,964.6,1076.4
Annual,Million cubic metres,Reused water,Tunisia,2092.0,2070.6,2098.7,2108.3,2117.2 p,2272.0 p,:,:,:,:,:,:,:,:
