Time frequency,n_book,yn_arope,sex,age,unit,geo\TIME_PERIOD,2022.0
Annual,0.0,NO_AROPE,T,Y_GE16,PC,AT,35.4
Annual,0.0,NO_AROPE,T,Y_GE16,PC,BE,37.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,BG,53.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,CH,17.9
Annual,0.0,NO_AROPE,T,Y_GE16,PC,CY,65.4
Annual,0.0,NO_AROPE,T,Y_GE16,PC,CZ,34.6
Annual,0.0,NO_AROPE,T,Y_GE16,PC,DE,: u
Annual,0.0,NO_AROPE,T,Y_GE16,PC,DK,27.1
Annual,0.0,NO_AROPE,T,Y_GE16,PC,EA20,43.6 e
Annual,0.0,NO_AROPE,T,Y_GE16,PC,EE,26.1
Annual,0.0,NO_AROPE,T,Y_GE16,PC,EL,53.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,ES,42.4
Annual,0.0,NO_AROPE,T,Y_GE16,PC,EU27_2020,43.6 e
Annual,0.0,NO_AROPE,T,Y_GE16,PC,FI,28.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,FR,35.9
Annual,0.0,NO_AROPE,T,Y_GE16,PC,HR,53.8
Annual,0.0,NO_AROPE,T,Y_GE16,PC,HU,43.6
Annual,0.0,NO_AROPE,T,Y_GE16,PC,IE,31.1
Annual,0.0,NO_AROPE,T,Y_GE16,PC,IT,60.6
Annual,0.0,NO_AROPE,T,Y_GE16,PC,LT,44.1
Annual,0.0,NO_AROPE,T,Y_GE16,PC,LU,23.4
Annual,0.0,NO_AROPE,T,Y_GE16,PC,LV,46.7
Annual,0.0,NO_AROPE,T,Y_GE16,PC,ME,59.7
Annual,0.0,NO_AROPE,T,Y_GE16,PC,MT,54.1
Annual,0.0,NO_AROPE,T,Y_GE16,PC,NL,32.0
Annual,0.0,NO_AROPE,T,Y_GE16,PC,NO,28.3
Annual,0.0,NO_AROPE,T,Y_GE16,PC,PL,42.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,PT,54.6
Annual,0.0,NO_AROPE,T,Y_GE16,PC,RO,63.7
Annual,0.0,NO_AROPE,T,Y_GE16,PC,RS,59.5
Annual,0.0,NO_AROPE,T,Y_GE16,PC,SE,28.9
