Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (partner),Economical indicator for structural business statistics,Geopolitical entity (reporting)\Time,1998.0,1999.0,2000.0
Annual,Autonomous pension funds,Number,Austria,Enterprises with members in other EEA countries - number,Austria,17.0,18.0,19.0
Annual,Autonomous pension funds,Number,Austria,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Austria,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Belgium,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Belgium,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Belgium,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Switzerland,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Switzerland,Enterprises with members in other EEA countries - number,Switzerland,:,:,3405 p
Annual,Autonomous pension funds,Number,Switzerland,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Germany,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Germany,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Germany,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Denmark,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Denmark,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Denmark,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Greece,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Greece,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Greece,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Spain,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Spain,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Spain,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Finland,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Finland,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Finland,Enterprises with members in other EEA countries - number,Finland,:,:,116.0
Annual,Autonomous pension funds,Number,France,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,France,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,France,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Ireland,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Ireland,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Ireland,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Iceland,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Iceland,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Iceland,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
