Time frequency,Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007),Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Defence,Percentage of total GBAORD,Albania,:,:,:,:,:,:,:,0.0,0.0,:,0.0,:
Annual,Defence,Percentage of total GBAORD,Austria,0.00 d,0.01 d,0.04 d,0.03 d,0.09,0.17 d,0.18 d,0.18 d,0.15 d,0.13 d,0.19 d,0.16 p
Annual,Defence,Percentage of total GBAORD,Bosnia and Herzegovina,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 p,:,:
Annual,Defence,Percentage of total GBAORD,Belgium,0.17,0.16,0.15,0.1,0.09,0.09,0.1,0.14,0.7,0.76,1.08,1.38 p
Annual,Defence,Percentage of total GBAORD,Bulgaria,1.66,1.4,0.04,0.1,0.02,0.61,0.73,0.7,0.83,0.36,0.41,0.41
Annual,Defence,Percentage of total GBAORD,Switzerland,0.43,:,0.48,0.42,:,0.34 b,0.35,0.38,0.41,0.57,0.55,0.45 p
Annual,Defence,Percentage of total GBAORD,China except Hong Kong,3.31,2.85,2.56,2.53,5.25,6.44,6.96,9.83,8.07,7.97,10.03,8.95
Annual,Defence,Percentage of total GBAORD,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.03
Annual,Defence,Percentage of total GBAORD,Czechia,1.59,1.47,1.41,1.32,1.18,1.26,1.17,1.07,0.99,0.32,0.44,0.76 p
Annual,Defence,Percentage of total GBAORD,Germany,3.85 d,3.72 d,3.83 d,3.12 d,2.68,3.83,3.25,4.35,4.2,4.2,5.3,4.22 p
Annual,Defence,Percentage of total GBAORD,Denmark,0.31,0.3,0.31,0.32,0.33,0.32 e,0.31 e,0.32 e,0.32,0.35,0.38,0.42
Annual,Defence,Percentage of total GBAORD,Euro area - 19 countries  (2015-2022),3.36 e,3.08 e,3.17 e,2.98,2.74 e,: @C,: @C,: @C,: @C,4.14,4.3,3.85 p
Annual,Defence,Percentage of total GBAORD,Euro area – 20 countries (from 2023),3.35 e,3.07 e,3.15 e,2.96,2.73 e,: @C,: @C,: @C,: @C,4.13,4.28,3.83 p
Annual,Defence,Percentage of total GBAORD,Estonia,0.32 e,0.46 e,1.33 e,1.49,2.27,1.89,3.38,1.74,2.39,2.23,2.15,2.76
Annual,Defence,Percentage of total GBAORD,Greece,0.68,0.42,0.12,0.09,0.92,1.75,1.73,1.55,1.55,1.46,1.75,2.03 bp
Annual,Defence,Percentage of total GBAORD,Spain,1.73,1.45,1.26,1.42,1.0,1.08,0.94,1.49,1.38,1.12,2.59,3.29 p
Annual,Defence,Percentage of total GBAORD,European Union - 27 countries (from 2020),3.50 e,3.00 e,3.08 e,2.89 e,2.86 e,: @C,: @C,: @C,: @C,3.91 e,4.08 e,3.90 e
Annual,Defence,Percentage of total GBAORD,Finland,2.58,1.9,2.14,1.86,1.93,2.21,2.43,2.47,1.98,2.13,1.93,2.10 p
Annual,Defence,Percentage of total GBAORD,France,7.12 d,6.29 d,6.63 d,7.18 d,7.17 e,7.97 e,6.74 e,1.37 e,1.13 e,10.66,8.81,8.52
Annual,Defence,Percentage of total GBAORD,Croatia,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.06,0.07,0.33 p
Annual,Defence,Percentage of total GBAORD,Hungary,0.27,0.17 d,0.15,0.6,0.13,0.4,0.03,0.03,0.29,6.4,8.98,6.58 p
Annual,Defence,Percentage of total GBAORD,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Defence,Percentage of total GBAORD,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Defence,Percentage of total GBAORD,Italy,0.72,0.79,0.83,0.75,0.62,0.6,0.61,0.59,0.48,0.56,0.58,0.41 p
Annual,Defence,Percentage of total GBAORD,Japan,2.91 d,4.62 d,4.42 d,4.36 d,2.97 bd,2.74 bd,2.18 dp,2.25 dp,1.39 dp,1.39 dp,1.73 bd,2.32
Annual,Defence,Percentage of total GBAORD,South Korea,14.84,14.78,13.48,13.48,14.01,15.0,15.81,16.29,16.62,15.65,15.32,:
Annual,Defence,Percentage of total GBAORD,Lithuania,0.1,0.07,0.02,0.1,0.25,0.15,0.15,0.27,7.04,2.21,0.26,0.27 p
