Time frequency,Unit of measure,Standard international energy product classification (SIEC),Calorific values,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Austria,:,:,43460.873
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Bulgaria,:,:,43497.299
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Czechia,:,:,42450.0
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Germany,:,:,42843.94
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Denmark,43617.812,43617.812,43617.0
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Estonia,:,:,41709.0
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,France,:,:,42645.144
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Croatia,:,:,43789.52
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Hungary,:,:,44325.6
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Ireland,44566.576,44664.004,44696.321
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Italy,:,:,45526.578
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Lithuania,:,:,43419.565
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Luxembourg,:,:,42782.612
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Latvia,42866.609,42810.133,43073.72
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Moldova,:,:,43132.594
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Montenegro,43806.393,43742.099,43732.766
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Malta,:,44776.672,44661.121
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Norway,:,:,43458.758
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Poland,:,:,43322.608
