Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million tonne-kilometre (TKM),Armenia,55.5 d,91.2 d,132.9 d,179.4 d,181.8 d,220.1 d,230.6 d,513.0 d,641.1 d,726.4 d,479.4 d,675.9 d,725.1 d,850.0 d,995.7 d,898.6 d,1052.3 d,1041.6 d
Annual,Million tonne-kilometre (TKM),Azerbaijan,7536.0,8222.0,9134.0,9947.0,10634.0,11325.0,12356.0,13307.0,14120.0,14516.0,15532.0,15967.0,16333.8,16857.0,17530.8,8800.5,9425.3,11602.5
Annual,Million tonne-kilometre (TKM),Belarus,9351.1 d,8939.2 d,11940.6 d,13742.2 d,13511.5 d,16023.1 d,19435.7 d,22030.8 d,25603.1 d,9729.3 d,7871.7 d,8221.4 d,8525.6 d,8300.8 d,7188.9 d,7222.1 d,:,:
Annual,Million tonne-kilometre (TKM),Georgia,578.0 de,586.1 de,594.3 de,602.6 de,611.1 de,619.7 de,628.4 de,637.3 de,646.1 de,655.1 de,664.3 de,673.6 de,683.0 de,692.6 de,702.3 de,712.1 de,720.9 de,729.7 de
Annual,Million tonne-kilometre (TKM),Moldova,2405.3 d,2567.1 d,2742.5 d,2965.9 d,2713.7 d,3232.4 d,3597.3 d,3954.7 d,4423.1 d,4306.5 d,4217.3 d,4693.4 d,5008.4 d,5290.0 d,5566.5 d,5551.0 d,6346.1 d,6647.6 d
Annual,Million tonne-kilometre (TKM),Ukraine,23964.7 d,26625.1 d,31052.9 d,36866.4 d,33192.9 d,34391.0 d,38595.6 d,38951.1 d,39976.7 d,38649.2 d,36676.0 d,40031.2 d,42647.3 d,51304.8 d,44149.3 d,46654.4 d,50189.6 d,:
