Time frequency,Transport infrastructure,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Conventional railway lines,Kilometre,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,346.0,346.0,379.0,334.0,334.0,334.0,234.85,204.15,224.0,204.15,252.95
Annual,Conventional railway lines,Kilometre,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5572 i,5572 i,5707 i,5263 i,5329 i,5294 i,5294 i,5285 i,5237 i,5273 i,5272 i,5361 i,5353 i,5349.0,5321 i,5323.0
Annual,Conventional railway lines,Kilometre,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1017.0,1017.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1025.0
Annual,Conventional railway lines,Kilometre,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3374.0,3367.0,3371.0,3376.0,3381.0,3384.0,3420.0,3396.0,3391.0,3394.0,3396.0,3403.0,3404.0,3401.0,3408.0,3418.0
Annual,Conventional railway lines,Kilometre,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4144.0,4150.0,4098.0,4072.0,4070.0,4032.0,4023.0,4019.0,4029.0,4030.0,4030.0,4030.0,4029.0,4031.0,4029.0,4029.0
Annual,Conventional railway lines,Kilometre,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5055 i,5097 i,5033 i,5049 i,5056 i,5090 i,5096 i,5114 i,5091 i,5093 i,5090 i,5130 i,5127 i,5142 i,5142 i,5142 i
Annual,Conventional railway lines,Kilometre,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9586.0,9578.0,9568.0,9572.0,9570.0,9560.0,9559.0,9566.0,9564.0,9567.0,9572.0,9562.0,9542.0,9523.0,9521.0,9514.0
Annual,Conventional railway lines,Kilometre,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35371.0,35507.0,36323.0,36346.0,36269.0,36257.801,36264.765,36239.502,36191.542,36187.643,36331.798,36405.117,36129.773,36054.582,36107.535,35903.0
Annual,Conventional railway lines,Kilometre,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2606 i,2606 i,2606 i,2615 i,2615 i,2615.0,2612.0,2552.0,2539.0,2481.0,2481.0,2479.0,2428.0,2428.0,2391.0,2391.0
Annual,Conventional railway lines,Kilometre,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1196.0,1196.0,1196.0,1196.0,1196.0,1166.0,1166.0,1164.0,1161.0,1161.0,1161.0,1167.0,1167.0,1167.0,1175.0,1171.0
Annual,Conventional railway lines,Kilometre,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2552.0,2552.0,2552.0,2554.0,2554.0,2586.0,2238.0,2240.0,2240.0,2240.0,2293.0,2280.0,2345.0,2339.0,1990.0,1822.0
Annual,Conventional railway lines,Kilometre,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11332 i,11333 i,11287 i,11326 i,11327 i,12604 i,6607.0,6798.0,13038.0,12816.0,12682.0,12535.238,12483.034,12351.23,12352.291,12176.168
