Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Tallinn - Tapa,Goods trains,Number,1761.0
Annual,Tallinn - Tapa,Other trains,Number,0.0
Annual,Tallinn - Tapa,Passenger trains,Number,5434.0
Annual,Tapa - Tartu,Goods trains,Number,1475.0
Annual,Tapa - Tartu,Other trains,Number,0.0
Annual,Tapa - Tartu,Passenger trains,Number,3367.0
Annual,Tartu - Valga,Goods trains,Number,578.0
Annual,Tartu - Valga,Other trains,Number,0.0
Annual,Tartu - Valga,Passenger trains,Number,1390.0
Annual,Tapa - Narva,Goods trains,Number,1293.0
Annual,Tapa - Narva,Other trains,Number,0.0
Annual,Tapa - Narva,Passenger trains,Number,1588.0
Annual,Tartu - Petseri,Goods trains,Number,802.0
Annual,Tartu - Petseri,Other trains,Number,0.0
Annual,Tartu - Petseri,Passenger trains,Number,0.0
Annual,Valga - Petseri,Goods trains,Number,77.0
Annual,Valga - Petseri,Other trains,Number,0.0
Annual,Valga - Petseri,Passenger trains,Number,0.0
Annual,Tallinn - Paldiski,Goods trains,Number,328.0
Annual,Tallinn - Paldiski,Other trains,Number,0.0
Annual,Tallinn - Paldiski,Passenger trains,Number,5245.0
Annual,Tapa - Tallinn,Goods trains,Number,1840.0
Annual,Tapa - Tallinn,Other trains,Number,0.0
Annual,Tapa - Tallinn,Passenger trains,Number,5323.0
Annual,Tartu - Tapa,Goods trains,Number,1458.0
Annual,Tartu - Tapa,Other trains,Number,0.0
Annual,Tartu - Tapa,Passenger trains,Number,3367.0
Annual,Valga - Tartu,Goods trains,Number,780.0
Annual,Valga - Tartu,Other trains,Number,0.0
Annual,Valga - Tartu,Passenger trains,Number,1390.0
Annual,Narva - Tapa,Goods trains,Number,1372.0
Annual,Narva - Tapa,Other trains,Number,0.0
Annual,Narva - Tapa,Passenger trains,Number,1588.0
Annual,Petseri - Tartu,Goods trains,Number,735.0
Annual,Petseri - Tartu,Other trains,Number,0.0
Annual,Petseri - Tartu,Passenger trains,Number,0.0
Annual,Petseri - Valga,Goods trains,Number,77.0
Annual,Petseri - Valga,Other trains,Number,0.0
Annual,Petseri - Valga,Passenger trains,Number,0.0
Annual,Paldiski - Tallinn,Goods trains,Number,340.0
Annual,Paldiski - Tallinn,Other trains,Number,0.0
Annual,Paldiski - Tallinn,Passenger trains,Number,5245.0
