Time frequency,Activity and employment status,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Albania,:,:,:,:,:,13.5,15.5,14.4,14.2,14.8,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Austria,16.7,16.8,15.7,14.2,14.0,14.0,15.5,16.8,15.6,17.0,17.7,18.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Belgium,15.6,14.9 b,12.4,11.6,12.4,13.9,14.2,13.6 b,16.5,13.9,15.1,13.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Bulgaria,31.5,30.6,24.2,36.4,30.0 b,38.4,34.1,39.4,43.3,39.7,44.2,26.3
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Switzerland,33.9,31.7,29.0 b,29.6,30.0,28.6,27.0,31.6,29.1,28.0,28.8,28.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Cyprus,32.9,22.9,24.5,19.1,22.5,23.7,22.8,26.3,23.4,21.6,22.0,25.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Czechia,8.3,7.7,8.4,9.5,10.6,14.4,18.6,21.4,19.3,14.1,21.6,18.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Germany,15.6,16.7,18.6,18.8,20.0,19.5,20.1,20.6,21.4 b,20.6,19.8,20.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Denmark,13.4,10.9,10.8,9.7,10.0,8.1,9.0,9.9,12.3 b,13.1,15.4,13.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Euro area - 19 countries  (2015-2022),13.1,13.1,13.1,13.3,14.2,14.2,14.4,14.7,15.8 b,15.9,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Euro area – 20 countries (from 2023),:,:,13.1,13.4,14.3,14.4,14.6,14.9,16.0,16.2,17.1,16.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Estonia,22.3,31.9,41.5 b,46.4,52.0,52.6,59.0,56.9,55.1,55.4,64.7,61.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Greece,14.2,13.1,12.2,11.7,10.5,10.2,8.8,9.4,11.0,11.4,10.6,12.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Spain,8.9,8.3,7.9,8.6,8.7,11.8,11.6,10.0,14.2,12.6,14.7,13.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,European Union - 27 countries (2007-2013),14.1,14.0,14.1,14.5,15.3,15.7,16.8,17.6 e,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,European Union - 27 countries (from 2020),13.7 e,13.4 e,13.2 e,13.9 e,14.8 e,15.2 e,15.8 e,16.7 e,17.8 b,17.4,17.9,17.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,European Union - 28 countries (2013-2020),14.2,14.0,14.1,14.6,15.4,15.8,16.9,17.7 e,:,:,:,:
