Time frequency,Yield curve,Bonds,Maturity,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Spot rate yield curve,AAA-rated euro area central government bonds,Maturity: 1 year,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.13767,3.24887,3.29807,3.28575,3.29823,3.18482,3.08759,2.78797,2.60719,2.43404,2.33422,2.18849
Monthly,Spot rate yield curve,AAA-rated euro area central government bonds,Maturity: 10 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2.28903,2.43051,2.41479,2.53464,2.58761,2.54869,2.50494,2.3257,2.29085,2.36194,2.40998,2.2849
Monthly,Spot rate yield curve,AAA-rated euro area central government bonds,Maturity: 5 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2.10257,2.30806,2.35529,2.44268,2.5339,2.48375,2.40502,2.10502,2.01506,2.05574,2.11843,1.99519
