Time frequency,Unit of measure,Water process,Water sources,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Albania,:,:,:,:,:,:,37.68 e,34.62,30.32,28.63,39.5,38.46
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Belgium,57.07,56.46,56.46,55.53,55.22,54.54,53.79,54.96,53.21,54.91,53.05 e,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Bulgaria,74.13,77.42,76.81,75.7,77.79,78.7,82.22,80.64,80.53,80.96,78.34,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Switzerland,:,125.71 e,:,:,:,:,:,:,:,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Cyprus,182.16 e,179.41 e,162.42 e,158.36 e,176.96 e,182.02 e,180.33 e,178.15 e,153.07 e,151.34 e,149.94 e,147.91 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Czechia,36.03,36.1,35.31,34.3,34.74,34.34,34.87,34.85,33.67,33.17,34.47,33.4
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Germany,73.07 i,73.25 i,73.35,73.24 i,72.80 i,72.41,72.58 i,72.80 i,73.08,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Denmark,127.92,111.25,134.72,136.35,123.26,119.07,116.86,149.6,124.27,119.68,122.05 p,120.03 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Estonia,225.32,207.0,161.46,151.38 e,153.56,168.72,187.64,161.55,172.65,166.67,175.19,175.66
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Greece,505.95,508.36,511.9,514.87,518.41,578.32,579.58,580.01,580.92,581.7,588.85,596.14 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Spain,131.43,138.88,131.05,135.62,136.38,137.55,131.98 e,126.23 e,123.38 e,123.03 e,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,France,90.72,85.67,85.47,79.91,86.61,82.61,85.07,85.89,85.0,87.06,77.97,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Croatia,108.25 e,101.5,101.23,94.51,99.64,103.98,100.49,100.58,100.09,99.79,101.4,106.89
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Hungary,50.44,50.8,50.14,48.2,49.95,49.64,59.55,52.61,62.11,64.04,61.5,70.27
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Lithuania,50.87,50.25,53.43,54.06,53.85,54.82,55.18,58.15,58.24,57.76,59.31,58.97
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Luxembourg,43.21,39.36,46.25,47.94,45.29,41.91,38.2,45.89,37.08,36.9,34.86,37.97
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Latvia,43.22,41.76,43.62,41.88,40.72,41.45,42.98,44.9,44.4,44.27,45.51,44.61
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Montenegro,:,:,:,:,:,:,:,:,:,172.57,174.42,170.88
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,North Macedonia,87.51 i,91.78 i,96.02 i,100.22,1.89 b,10.42,11.81,4.29,4.4,4.55,3.91,13.16
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Malta,97.06 e,92.03 e,105.06 e,100.41 e,91.30 e,93.99 e,91.80 e,82.57 e,75.10 e,74.39 e,70.71 e,63.41 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Netherlands,59.25,56.13,59.03,57.21,58.6,57.74,59.23,68.93,65.94,67.14,56.48,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Poland,71.79,69.48,68.56,67.81,68.64,68.3,67.36,66.06,67.17,65.9,68.34,66.29
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Romania,29.78,29.81,29.07,27.83,29.77,32.23,32.98,34.71,36.39,41.32,42.15,41.11
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Serbia,72.07,72.63,69.06,66.16,67.27,62.54,65.9,71.09,69.81,70.07,72.64,77.59
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Sweden,36.93 i,37.08 i,37.19 i,37.23 i,37.25,37.39 i,37.48 i,37.64 i,37.84 i,38.15,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Slovenia,89.97,87.3,87.91,88.17,88.0,87.21,91.22,91.44,89.89,87.47,89.75,91.98
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Slovakia,61.94,62.67,60.81,59.3,60.07,59.53,61.5,62.22,62.1,61.28,62.95,64.8
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Türkiye,182.69 e,180.38 e,178.08 e,189.16 e,186.66 e,189.96 e,192.50 e,198.75 e,201.26 e,204.68 e,209.66 e,212.47 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,United Kingdom,34.12,32.12,31.96 i,31.78,:,:,:,:,:,:,:,:
