Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,Latvia,: u,: bu,: u,23.9,29.1,: u,: u,: u,34.0 u,36.5 u,19.7 bu,: u,19.5 u,18.2,: u,24.8,: u,: bu,: u,: u
Annual,Percentage,Females,Montenegro,:,:,:,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Percentage,Females,North Macedonia,:,:,26.8 u,: u,: u,: u,: u,32.7 u,28.1 u,30.6,32.6 b,15.5 u,27.9,23.2,19.7,23.4,23.3,:,:,:
Annual,Percentage,Females,Malta,: bu,: bu,: u,: u,: u,19.5 u,22.6 u,21.1 b,13.7 u,13.7 u,18.0 bu,19.0,16.9,23.0,23.4,18.2,14.7,19.0 bu,21.0 u,16.0 u
Annual,Percentage,Females,Netherlands,10.5,15.3 b,13.9 b,14.4,11.5,9.0,8.7,8.5,12.1,17.6 b,14.6 b,17.1,11.0,12.3,12.6,12.2 b,13.9,12.2 b,15.2,12.9
Annual,Percentage,Females,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,13.6 bu,21.7 u,20.7,: u,: u,: u,: u,: bu,: u,17.7 u
Annual,Percentage,Females,Poland,: bu,18.5 b,17.1,18.3,17.0,20.1,16.6 b,15.7,16.3,12.9,11.8 b,10.8,11.2,10.4,9.6,10.2 b,11.9,11.0 b,9.7,14.6
Annual,Percentage,Females,Portugal,29.2 b,26.7 b,26.1,29.2,27.2,19.7,25.6,20.1 b,24.3,19.0,20.8 b,24.3,23.7,16.5,14.5,15.6,19.7,20.7 b,13.0 u,14.2
Annual,Percentage,Females,Romania,42.4,39.2 b,37.6,30.4,33.7,39.3,32.1 b,27.3,30.8,30.9,30.0 b,27.0,27.7,25.0,26.6,26.1,27.0,27.2 b,29.9,29.9
Annual,Percentage,Females,Serbia,:,:,:,:,:,:,: u,: u,23.5 u,: u,18.7 bu,19.2 u,18.9,24.2,27.8,27.9,33.2,25.3 b,24.9,23.3
Annual,Percentage,Females,Sweden,38.7,31.8 b,32.0 b,31.1,29.2,26.7,24.7,25.9,26.7,25.4,26.1 b,26.3,25.0,22.0,21.9 b,25.3,24.5,24.7 b,24.0,28.7
Annual,Percentage,Females,Slovenia,: u,: bu,20.1 u,: u,: u,: u,: u,: u,: u,: u,12.2 bu,15.0 u,13.2 u,11.2 u,16.6 u,20.0 u,9.7 u,9.2 bu,: u,: bu
Annual,Percentage,Females,Slovakia,: u,: bu,: u,: u,: u,: u,: u,: bu,23.3 u,14.3 u,14.5 bu,: u,11.6 u,15.6,16.2,13.4 u,13.2,: bu,: u,: u
Annual,Percentage,Females,Türkiye,:,:,: u,: u,: u,26.3,27.1,27.5,25.7,26.3,25.8 b,26.4,23.9,28.6,26.7,25.3,22.1,19.3 b,21.0,23.1
Annual,Percentage,Females,United Kingdom,27.2 b,25.9 b,28.0,29.0 b,23.8 b,24.9,18.9 b,26.9 b,22.3,21.4,24.2 b,23.7,16.9,21.9,15.4,19.6,:,:,:,:
Annual,Percentage,Males,Austria,82.9 b,86.7 b,86.9 b,79.9 b,89.0,88.1,86.0,83.3,83.9,88.4,90.7 b,86.3,85.8,89.3,81.0,75.0,85.5,86.1 b,85.4,81.8
Annual,Percentage,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,77.8 b,71.5,81.9
Annual,Percentage,Males,Belgium,85.0,83.2 b,85.0,85.5,84.8 b,87.5,86.6,86.9 b,87.8,89.3,87.5 b,90.5,87.3,85.4 b,92.6,86.6,89.1,89.2 b,88.7,84.8
Annual,Percentage,Males,Bulgaria,: u,: bu,59.3 bu,75.4 u,: bu,: u,67.7 bu,58.4 bu,72.6 u,78.6 u,74.7 b,76.6,70.8,66.2,75.6,70.8 b,72.5,63.4 b,68.7,66.6
Annual,Percentage,Males,Switzerland,90.5,93.9 b,90.6,89.4,89.1,88.9,87.1 b,87.3,87.6,85.7,85.0 b,83.5,85.4,84.9,86.0,86.0,86.0,87.0 b,89.0,89.5
Annual,Percentage,Males,Cyprus,75.6,56.9 b,65.0,73.5,67.2,62.0 b,62.0,59.1,60.7,65.7,75.0 b,67.0,67.4,77.1,75.5,73.1,72.5,73.1 b,69.8,70.7 b
Annual,Percentage,Males,Czechia,: u,: bu,90.4,94.5,93.2,94.0,95.1,93.5 b,96.3,86.9,90.6 b,89.2,88.0,92.8,89.9,92.0,88.9,92.6 b,89.9,86.9
Annual,Percentage,Males,Germany,83.7,84.6 b,87.9 b,80.9,86.2,88.8,87.4 b,86.4 b,86.7 b,86.1,86.7 b,86.7,86.6,86.2,86.5,86.2,85.5 b,85.0 b,84.9,84.7
Annual,Percentage,Males,Denmark,70.7,78.4 b,82.1,83.0 b,82.9 b,80.7,78.4,81.7,83.1,83.1,83.9 b,82.7,84.1 b,87.0 b,83.9,81.4,67.1,71.9 b,68.7,65.9 b
Annual,Percentage,Males,Estonia,: u,45.4 bu,84.5 u,74.8,70.8,69.7,78.1,63.5,66.3,78.5,73.1 b,80.4,83.5,82.3,82.1,80.5,80.6,82.5 b,83.5,71.7
Annual,Percentage,Males,Greece,57.2 b,58.5 b,60.0,59.2,59.5,59.8 b,60.9,64.1,62.7,66.9,63.1 b,65.8,73.1,78.3,78.5,72.6,69.4,70.6 b,77.2,68.1
Annual,Percentage,Males,Spain,: u,: bu,76.1 b,76.5,74.7,74.7,76.3,74.1,82.6,82.6,81.4 b,76.7,79.6,80.7,79.1,77.7,79.1,82.7 bd,83.7 d,82.5 d
Annual,Percentage,Males,European Union - 15 countries (1995-2004),73.6,75.7 b,76.7,75.7,78.2,79.6,80.5,79.1,81.2,82.1,82.0 b,81.2,83.4,83.0,84.0,81.4,:,:,:,:
Annual,Percentage,Males,European Union - 27 countries (from 2020),72.5,75.8 b,77.9,77.3,78.6,79.8,80.4,80.8,81.7,82.8,83.6 b,83.4,84.0,84.6,84.6,82.8,82.9,84.2 b,84.5,82.6
Annual,Percentage,Males,European Union - 28 countries (2013-2020),72.6,75.4 b,76.7,76.2,78.2,79.0,80.5,79.7,81.2,82.2,82.7 b,82.5,83.9,83.8,84.6,82.5,:,:,:,:
Annual,Percentage,Males,Finland,57.3,56.4 b,60.6,63.3 b,64.6 b,65.2,67.8,68.2,74.1,70.3,66.9 b,70.6,80.1,81.4,83.7,85.8,85.9,78.1 b,83.4,83.9
Annual,Percentage,Males,France,82.0,81.4 b,82.1 b,84.6,86.6,86.2,82.4,84.8,83.3,86.0 b,88.9 b,86.2,86.6,88.2,88.1,77.7,83.4,89.7 bd,86.6 d,82.3 d
Annual,Percentage,Males,Croatia,: u,85.6 bu,: bu,84.3 u,83.7 u,69.1 u,76.2 bu,80.2 u,76.4 u,75.3 u,77.4 b,89.7,93.9,87.3,80.7,83.5 b,84.2,79.2 b,88.5,85.2
Annual,Percentage,Males,Hungary,76.6,77.6 b,79.8,80.9,82.3,84.4,84.3,85.9,85.2,83.9,86.8 b,86.2,85.2,90.4,88.8,86.3,82.9,86.5 b,88.3,86.0
Annual,Percentage,Males,Ireland,48.0,51.8 b,53.2,60.7 b,59.7,63.3,64.2,66.1,64.8,69.6,69.5 b,72.3,71.2,73.2 b,75.2,78.0,76.8,79.2 b,76.1,76.2
Annual,Percentage,Males,Iceland,: u,: bu,: u,: u,71.4,75.7,68.4,79.5,77.3,76.8,81.6 b,66.4,72.8,74.2,83.0,77.0,71.3 b,:,: u,: u
Annual,Percentage,Males,Italy,63.9 b,67.9 b,68.7,69.7,70.8,77.2,76.4,72.4,75.1,78.8,78.6 b,81.1,81.8,78.4,80.5 b,83.9,83.3,81.0 b,85.5,88.8
Annual,Percentage,Males,Lithuania,74.1 u,80.2 bu,: u,71.7 u,81.5 u,80.3,77.3,80.2,75.7 u,82.1,87.9 b,90.7,80.8,81.8,85.1,84.3,79.3,83.7 b,84.6,82.8
Annual,Percentage,Males,Luxembourg,88.1,84.4 b,88.0,85.4 b,97.0,91.6 b,90.8,85.2,90.1,90.7,91.4 b,86.5 b,83.3,84.5,86.1,76.4,86.5,77.4 b,82.2,83.2
Annual,Percentage,Males,Latvia,: u,72.9 b,82.4,76.1,70.9,68.8 u,73.5,73.1,66.0,63.5,80.3 b,85.0,80.5,81.8,90.6,75.2,93.6,83.4 b,91.0,77.7
Annual,Percentage,Males,Montenegro,:,:,:,:,:,:,:,69.3 u,77.2,66.9 u,84.0 b,86.4,86.6 u,74.5,66.8,71.4 u,90.2,:,:,:
Annual,Percentage,Males,North Macedonia,:,:,73.2,73.6,80.2,79.9,86.8,67.3,71.9,69.4,67.4 b,84.5,72.1,76.8,80.3,76.6,76.7,:,:,:
Annual,Percentage,Males,Malta,85.0 bu,84.0 b,82.6,87.6,88.4,80.5,77.4,78.9 b,86.3,86.3,82.0 b,81.0,83.1,77.0,76.6,81.8,85.3,81.0 b,79.0,84.0
Annual,Percentage,Males,Netherlands,89.5,84.7 b,86.1 b,85.6,88.5,91.0,91.3,91.5,87.9,82.4 b,85.4 b,82.9,89.0,87.7,87.4,87.8 b,86.1,87.8 b,84.8,87.1
Annual,Percentage,Males,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,86.4 b,78.3,79.3,83.5,88.6,89.8,85.2,86.2 b,85.2,82.3
Annual,Percentage,Males,Poland,: bu,81.5 b,82.9,81.7,83.0,79.9,83.4 b,84.3,83.7,87.1,88.2 b,89.2,88.8,89.6,90.4,89.8 b,88.1,89.0 b,90.3,85.4
Annual,Percentage,Males,Portugal,70.8 b,73.3 b,73.9,70.8,72.8,80.3,74.4,79.9 b,75.7,81.0,79.2 b,75.7,76.3,83.5,85.5,84.4,80.3,79.3 b,87.0,85.8
Annual,Percentage,Males,Romania,57.6,60.8 b,62.4,69.6,66.3,60.7,67.9 b,72.7,69.2,69.1,70.0 b,73.0,72.3,75.0,73.4,73.9,73.0,72.8 b,70.1,70.1
Annual,Percentage,Males,Serbia,:,:,:,:,:,:,76.6 u,69.8 u,76.5,78.3,81.3 b,80.8,81.1,75.8,72.2,72.1,66.8,74.7 b,75.1,76.7
Annual,Percentage,Males,Sweden,61.3,68.2 b,68.0 b,68.9,70.8,73.3,75.3,74.1,73.3,74.6,73.9 b,73.7,75.0,78.0,78.1 b,74.7,75.5,75.3 b,76.0,71.3
Annual,Percentage,Males,Slovenia,68.8 u,88.4 bu,79.9 u,82.3 u,84.8 u,86.8 u,96.4 u,96.5 u,97.6,92.7 u,87.8 b,85.0,86.8,88.8,83.4,80.0,90.3,90.8 b,93.0,92.3 b
Annual,Percentage,Males,Slovakia,76.6 u,66.8 b,66.6,79.6,84.0,86.5,88.1,86.8 b,76.7,85.7,85.5 b,91.2,88.4,84.4,83.8,86.6,86.8,88.8 b,88.5,88.8
Annual,Percentage,Males,Türkiye,:,:,: u,: u,: u,73.7,72.9,72.5,74.3,73.7,74.2 b,73.6,76.1,71.4,73.3,74.7,77.9,80.7 b,79.0,76.9
Annual,Percentage,Males,United Kingdom,72.8 b,74.1 b,72.0,71.0 b,76.2 b,75.1,81.1 b,73.1 b,77.7,78.6,75.8 b,76.3,83.1,78.1,84.6,80.4,:,:,:,:
Annual,Percentage,Total,Austria,100.0 b,100.0 b,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0 b,100.0,100.0
Annual,Percentage,Total,Belgium,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Bulgaria,: u,100.0 bu,100.0 bu,100.0 u,100.0 bu,100.0 u,100.0 bu,100.0 b,100.0 u,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Switzerland,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Cyprus,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b
Annual,Percentage,Total,Czechia,: u,: bu,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Germany,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0 b,100.0 b,100.0 b,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0 b,100.0,100.0
Annual,Percentage,Total,Denmark,100.0,100.0 b,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0 b
Annual,Percentage,Total,Estonia,100.0 u,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Greece,100.0 b,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Spain,: u,: bu,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 bd,100.0 d,100.0 d
Annual,Percentage,Total,European Union - 15 countries (1995-2004),100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,:,:,:,:
Annual,Percentage,Total,European Union - 27 countries (from 2020),100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,European Union - 28 countries (2013-2020),100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,:,:,:,:
Annual,Percentage,Total,Finland,100.0,100.0 b,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,France,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 bd,100.0 d,100.0 d
Annual,Percentage,Total,Croatia,: u,100.0 bu,: bu,100.0 u,100.0 u,100.0 u,100.0 bu,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Hungary,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Ireland,100.0,100.0 b,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Iceland,: u,: bu,: u,: u,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,:,: u,: u
Annual,Percentage,Total,Italy,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Lithuania,100.0 u,100.0 bu,100.0 u,100.0 u,100.0 u,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Luxembourg,100.0,100.0 b,100.0,100.0 b,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Latvia,: u,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Montenegro,:,:,:,:,:,:,:,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,:,:,:
Annual,Percentage,Total,North Macedonia,:,:,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,:,:,:
Annual,Percentage,Total,Malta,100.0 bu,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Netherlands,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Poland,100.0 bu,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Portugal,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Romania,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Serbia,:,:,:,:,:,:,100.0 u,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Sweden,100.0,100.0 b,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Slovenia,100.0 u,100.0 bu,100.0 u,100.0 u,100.0 u,100.0 u,100.0 u,100.0 u,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0 b
Annual,Percentage,Total,Slovakia,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,Türkiye,:,:,: u,: u,: u,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0
Annual,Percentage,Total,United Kingdom,100.0 b,100.0 b,100.0,100.0 b,100.0 b,100.0,100.0 b,100.0 b,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,:,:,:,:
Annual,Thousand,Females,Austria,: bu,: bu,: bu,3.4 bu,: u,: u,: u,3.2 u,3.3 u,: u,: bu,4.3 u,4.4 u,3.8 u,7.4,9.9,5.2 u,5.0 bu,5.8 u,8.6 u
Annual,Thousand,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.6 bu,2.2 u,1.7 u
Annual,Thousand,Females,Belgium,6.5 u,7.4 b,6.4,6.7,7.5 b,6.0,7.2,6.9 b,5.6,5.0,6.5 b,4.6 u,7.1,7.5 bu,4.1 u,6.3 u,6.4 u,5.3 bu,7.0 u,8.9
Annual,Thousand,Females,Bulgaria,: u,3.7 bu,: bu,: u,: bu,: u,: bu,6.7 bu,: u,: u,: bu,: u,8.2 u,11.7 u,9.1 u,11.1 bu,10.5 u,12.7 b,12.7,15.4
Annual,Thousand,Females,Switzerland,2.9 u,2.4 bu,4.2 u,5.3 u,5.3 u,5.7 u,7.0 b,7.6,8.3,10.4,10.7 b,12.2,10.4,10.4,11.1,12.0,10.8,8.4 b,6.6,6.3
Annual,Thousand,Females,Cyprus,0.9 u,1.8 b,1.5,1.3 u,1.7,1.6 b,2.0,2.2,2.5,2.1,1.5 bu,2.0,1.7,1.3 u,1.5,1.6,1.6,1.8 b,2.4,3.4 b
Annual,Thousand,Females,Czechia,: u,: bu,1.4 u,0.7 u,1.1 u,1.2 u,1.2 u,2.1 bu,1.1 u,5.1 u,4.4 bu,6.1,7.7,3.9 u,6.8,5.2 u,7.9,5.2 bu,6.4,9.1
Annual,Thousand,Females,Germany,28.8,39.9 b,: bu,65.2,: u,: u,: bu,54.5 b,51.4 b,55.2,55.7 b,60.2,64.6,69.7,66.8,71.8,75.7 b,79.9 b,86.9,91.9
Annual,Thousand,Females,Denmark,5.9 u,4.3 b,4.5,3.3 bu,3.4 bu,3.6 u,3.5 u,3.3 u,3.3 u,3.3 u,3.0 bu,3.9 u,3.9 bu,3.1 bu,3.9 u,4.3,18.6,9.1 b,10.6,13.4 b
Annual,Thousand,Females,Estonia,: u,2.6 bu,: u,: u,2.2 u,2.1 u,: u,2.4 u,2.7,1.8 u,2.9 b,2.1 u,1.8 u,2.1 u,2.0 u,2.7,2.8,2.5 bu,2.5,4.2
Annual,Thousand,Females,Greece,23.3 b,21.8 b,21.2,24.5,25.2,25.6 b,23.4,18.9,16.7,14.9,16.9 b,17.2,14.1,12.2,12.8,17.9,18.1,18.7 b,12.9,24.2
