Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand,Females,Spain,: u,: bu,61.1 b,69.6,72.7,72.5,64.1,70.7,42.6,43.9,55.4 b,54.3,68.7,62.2,75.6,84.0,69.8,61.6 bd,72.5 d,80.8 d
Annual,Thousand,Females,European Union - 15 countries (1995-2004),325.0,334.0 b,376.8,433.8,380.3,364.4,340.7,368.1,312.9,309.8,326.3 b,348.7,338.4,344.5,343.3,413.9,:,:,:,:
Annual,Thousand,Females,European Union - 27 countries (from 2020),268.4,308.3 b,345.2,402.9,386.6,372.5,355.7,368.0,341.9,339.5,346.7 b,358.2,374.4,364.9,388.5,452.9,464.3,442.0 b,463.2,539.2
Annual,Thousand,Females,European Union - 28 countries (2013-2020),375.8,411.7 b,458.3,517.8,475.8,469.6,427.7,455.0,407.3,401.6,413.5 b,433.8,434.4,434.2,437.7,516.7,:,:,:,:
Annual,Thousand,Females,Finland,8.3,8.5 b,8.7,8.1 b,9.1 b,10.9,9.3,8.9,6.2,8.8,10.7 b,9.2,11.5,10.9,9.7,7.9,8.7,14.3 b,11.0,10.0
Annual,Thousand,Females,France,: u,34.8 b,35.3 bu,31.0 u,27.0 u,30.4 u,40.1,36.8 u,37.1 u,34.8 bu,27.0 bu,37.1 u,37.2 u,32.7 u,35.1 u,70.7,60.1,38.1 bdu,53.9 d,71.7 d
Annual,Thousand,Females,Croatia,: u,: bu,: bu,1.0 u,1.1 u,2.5 u,2.2 bu,2.2 u,2.8 u,2.8 u,3.6 bu,1.5 u,1.1 u,2.3 u,4.5 u,3.9 bu,3.9 u,5.4 bu,2.8 u,3.4 u
Annual,Thousand,Females,Hungary,8.5,8.1 b,8.7,9.4,9.6,8.0,8.7,8.1,9.6,10.7,10.0 b,10.6,12.1,6.5,8.9,9.9,12.9,9.8 b,8.7,9.7
Annual,Thousand,Females,Ireland,22.4,19.3 b,4.4,15.0 b,14.7,12.3,11.0,10.4,11.0,9.9,11.1 b,8.3,5.8,9.3 b,13.9,12.6,15.9,13.3 b,17.6,19.2
Annual,Thousand,Females,Iceland,: u,: bu,: u,: u,: u,: u,0.6,: u,: u,: u,: bu,0.6,0.6,0.8,: u,0.6,0.6 b,:,: u,: u
Annual,Thousand,Females,Italy,64.1 b,58.2 b,54.1,53.3,52.3,39.9,36.6,41.8,38.8,31.2,31.6 b,27.1,23.5,30.0,28.4 b,23.6,24.4,30.9 b,23.0,20.2
Annual,Thousand,Females,Lithuania,: u,: bu,: u,: u,: u,: u,: u,: u,: u,2.1 u,1.8 bu,1.6 u,3.2 u,3.2 u,2.8 u,3.7 u,5.8,5.3 b,4.2,4.5
Annual,Thousand,Females,Luxembourg,: u,: bu,: u,: bu,: u,: bu,: u,: u,: u,: u,: bu,: bu,: u,0.8 u,0.7 u,1.7,1.0 u,1.8 b,1.6,: u
Annual,Thousand,Females,Latvia,: u,: bu,: u,1.6,2.0,: u,: u,: u,1.9 u,2.1 u,1.5 bu,: u,2.0 u,2.5,: u,3.6,: u,: bu,: u,: u
Annual,Thousand,Females,Montenegro,:,:,:,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Thousand,Females,North Macedonia,:,:,0.6 u,: u,: u,: u,: u,0.7 u,0.7 u,1.3,1.7 b,0.8 u,2.5,1.9,1.9,2.9,3.5,:,:,:
Annual,Thousand,Females,Malta,: bu,: bu,: u,: u,: u,0.4 u,0.6 u,0.8 b,0.6 u,0.6 u,0.8 bu,1.0,1.1,1.8,1.9,1.3,1.2,1.5 bu,1.8 u,1.8 u
Annual,Thousand,Females,Netherlands,6.2,11.5 b,9.5 b,10.6,9.8,7.7,8.0,7.8,10.8,18.6 b,17.9 b,21.6,12.2,12.9,14.9,16.3 b,18.3,18.4 b,24.1,19.0
Annual,Thousand,Females,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,2.8 bu,5.1 u,5.9,: u,: u,: u,: u,: bu,: u,7.3 u
Annual,Thousand,Females,Poland,: bu,25.5 b,28.1,34.4,35.9,48.2,38.0 b,37.1,41.9,34.7,35.1 b,33.3,35.5,32.7,30.9,35.9 b,40.3,39.9 b,36.1,52.9
Annual,Thousand,Females,Portugal,13.5 b,14.4 b,12.4,16.3,13.7,10.6,12.8,6.7 b,9.0,7.5,9.2 b,11.9,11.7,7.8,8.3,8.9,13.0,12.7 b,7.7 u,10.2
Annual,Thousand,Females,Romania,26.1,29.9 b,31.8,27.9,35.1,32.8,23.8 b,19.3,22.3,23.9,17.4 b,17.3,17.6,16.0,18.3,17.8,21.7,25.8 b,29.0,25.6
Annual,Thousand,Females,Serbia,:,:,:,:,:,:,: u,: u,2.6 u,: u,2.9 bu,3.1 u,4.8,5.4,5.9,7.5,9.1,6.3 b,6.8,8.3
Annual,Thousand,Females,Sweden,7.4,7.6 b,11.7 b,11.7,10.4,9.6,9.6,10.8,11.4,11.3,11.8 b,12.9,13.1,12.4,12.5 b,13.7,14.4,15.7 b,15.3,21.2
Annual,Thousand,Females,Slovenia,: u,: bu,0.7 u,: u,: u,: u,: u,: u,: u,: u,0.7 bu,1.3 u,1.0 u,1.3 u,2.3 u,2.6 u,1.2 u,1.5 bu,: u,: bu
Annual,Thousand,Females,Slovakia,: u,: bu,: u,: u,: u,: u,: u,: bu,2.6 u,2.1 u,2.9 bu,: u,2.9 u,4.3,4.7,3.8 u,4.1,: bu,: u,: u
Annual,Thousand,Females,Türkiye,:,:,: u,: u,: u,24.4,27.8,32.8,39.2,46.6,43.7 b,45.0,44.1,56.0,48.5,46.8,40.3,37.8 b,47.2,56.7
Annual,Thousand,Females,United Kingdom,107.4 b,103.3 b,113.1,115.0 b,89.2 b,97.1,72.0 b,87.0 b,65.4,62.2,66.9 b,75.6,59.8,69.3,48.6,63.6,:,:,:,:
Annual,Thousand,Males,Austria,11.6 b,17.2 b,13.6 b,13.6 b,16.6,16.7,14.7,15.8,17.2,20.9,23.1 b,27.2,26.4,31.5,31.4,29.7,30.8,30.9 b,33.8,38.4
Annual,Thousand,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.5 b,5.5,7.5
Annual,Thousand,Males,Belgium,36.9,36.4 b,36.1,39.7,42.1 b,41.9,46.5,45.9 b,40.7,42.2,45.2 b,44.2,48.8,44.0 b,51.5,41.2,52.1,44.2 b,54.7,50.0
Annual,Thousand,Males,Bulgaria,: u,: bu,4.4 bu,5.5 u,: bu,: u,6.9 bu,9.4 bu,9.6 u,12.6 u,13.2 b,18.2,19.9,22.9,28.1,26.9 b,27.6,22.1 b,27.9,30.7
Annual,Thousand,Males,Switzerland,27.4,37.8 b,40.7,44.8,43.2,45.6,47.2 b,52.4,58.5,62.4,60.7 b,61.6,60.9,58.5,68.0,73.5,66.4,56.1 b,53.5,53.5
Annual,Thousand,Males,Cyprus,2.7,2.3 b,2.8,3.7,3.5,2.7 b,3.2,3.1,3.8,3.9,4.4 b,4.0,3.6,4.5,4.7,4.3,4.3,5.0 b,5.6,8.1 b
Annual,Thousand,Males,Czechia,: u,: bu,13.1,12.0,15.8,18.2,22.6,31.1 b,29.5,34.1,42.2 b,50.6,56.9,50.9,60.3,59.9,63.4,65.2 b,56.9,60.2
Annual,Thousand,Males,Germany,148.2,219.8 b,232.6 b,275.4,269.1,283.5,280.5 b,344.9 b,335.1 b,342.8,364.8 b,393.7,416.1,433.9,429.6,448.1,445.4 b,454.2 b,487.6,510.6
Annual,Thousand,Males,Denmark,14.3,15.7 b,20.6,15.9 b,16.4 b,15.2,12.8,14.6,16.3,16.0,15.8 b,18.8,20.5 b,20.5 b,20.2,18.8,38.0,23.4 b,23.1,25.9 b
Annual,Thousand,Males,Estonia,: u,2.2 bu,3.4 u,3.7,5.2,4.7,4.3,4.2,5.3,6.5,7.9 b,8.8,9.3,9.7,9.1,11.0,11.5,11.6 b,12.5,10.7
Annual,Thousand,Males,Greece,31.1 b,30.8 b,31.8,35.5,37.0,38.0 b,36.5,33.8,28.0,30.1,28.9 b,33.0,38.4,44.1,46.7,47.4,41.1,44.9 b,43.7,51.7
Annual,Thousand,Males,Spain,: u,: bu,194.9 b,227.0,214.4,213.9,205.9,201.8,202.6,208.4,242.1 b,179.1,267.6,260.2,286.4,293.1,263.9,295.6 bd,370.8 d,381.5 d
Annual,Thousand,Males,European Union - 15 countries (1995-2004),905.0,1042.3 b,1240.6,1348.3,1360.5,1418.3,1404.3,1393.5,1348.6,1418.2,1484.4 b,1510.9,1695.4,1687.6,1804.1,1816.9,:,:,:,:
Annual,Thousand,Males,European Union - 27 countries (from 2020),707.9,964.1 b,1217.5,1374.8,1422.1,1471.8,1459.1,1545.0,1526.6,1631.8,1769.9 b,1800.7,1962.7,2001.2,2135.6,2173.2,2244.7,2359.4 b,2534.3,2556.8
Annual,Thousand,Males,European Union - 28 countries (2013-2020),995.8,1259.1 b,1508.5,1656.5,1707.0,1764.1,1768.0,1782.0,1754.1,1860.4,1979.8 b,2043.7,2255.9,2248.3,2404.1,2429.1,:,:,:,:
Annual,Thousand,Males,Finland,11.1,11.0 b,13.5,14.0 b,16.6 b,20.4,19.7,19.2,17.6,20.8,21.5 b,22.1,46.5,47.6,49.9,47.9,53.3,50.8 b,55.2,51.8
Annual,Thousand,Males,France,130.6,152.1 b,162.1 b,170.2,174.7,189.9,187.4,205.7,185.6,213.6 b,215.5 b,230.9,240.1,244.8,259.2,246.8,302.7,330.8 bd,347.3 d,332.5 d
Annual,Thousand,Males,Croatia,: u,4.1 bu,: bu,5.5 u,5.4 u,5.5 u,7.1 bu,8.8 u,9.1 u,8.6 u,12.5 b,12.6,17.0,15.7,18.7,19.5 b,21.0,20.3 b,21.2,19.7
Annual,Thousand,Males,Hungary,27.8,28.0 b,34.4,39.7,44.5,43.1,46.9,49.0,54.8,55.5,66.2 b,65.8,69.8,61.9,70.3,62.5,62.2,63.2 b,65.9,59.6
Annual,Thousand,Males,Ireland,20.7,20.7 b,5.0,23.1 b,21.9,21.3,19.8,20.4,20.3,22.8,25.3 b,21.7,14.4,25.3 b,42.1,44.6,52.5,50.4 b,56.1,61.5
Annual,Thousand,Males,Iceland,: u,: bu,: u,: u,1.0,1.4,1.4,1.5,1.3,1.6,1.8 b,1.3,1.6,2.3,2.1,2.0,1.6 b,:,: u,: u
Annual,Thousand,Males,Italy,113.6 b,122.9 b,119.0,122.3,127.0,135.0,118.3,109.7,116.6,116.0,115.9 b,116.0,105.5,108.6,117.2 b,123.5,122.1,131.4 b,136.2,159.8
Annual,Thousand,Males,Lithuania,6.3 u,7.2 bu,: u,6.6 u,8.7 u,8.6,9.7,10.2,8.0 u,9.7,13.3 b,15.2,13.3,14.3,15.8,20.0,22.0,26.9 b,23.1,21.7
Annual,Thousand,Males,Luxembourg,1.5,1.6 b,1.5,1.6 b,2.1,3.0 b,2.9,2.3,3.2,3.1,3.1 b,3.1 b,2.5,4.5,4.4,5.6,6.2,6.2 b,7.2,7.9
Annual,Thousand,Males,Latvia,: u,3.5 b,4.9,5.1,4.8,2.7 u,3.9,5.0,3.7,3.7,6.3 b,6.4,8.2,11.3,8.1,10.8,11.4,11.2 b,13.5,12.2
Annual,Thousand,Males,Montenegro,:,:,:,:,:,:,:,1.4 u,1.9,1.3 u,2.1 b,2.7,1.8 u,2.0,2.0,1.9 u,2.2,:,:,:
Annual,Thousand,Males,North Macedonia,:,:,1.7,1.3,1.6,1.9,2.4,1.5,1.8,2.9,3.5 b,4.1,6.4,6.4,7.7,9.4,11.4,:,:,:
Annual,Thousand,Males,Malta,1.7 bu,1.5 b,1.4,2.2,2.5,1.6,1.9,2.9 b,3.8,4.0,3.8 b,4.3,5.5,6.1,6.2,6.1,7.1,6.5 b,6.6,9.4
Annual,Thousand,Males,Netherlands,53.3,63.4 b,59.0 b,62.9,75.7,77.7,84.1,84.5,78.5,87.3 b,104.9 b,104.7,98.2,92.0,103.5,117.0 b,113.5,132.0 b,134.6,128.5
Annual,Thousand,Males,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,17.9 b,18.6,22.4,23.1,26.0,27.5,26.3,25.6 b,28.2,34.1
Annual,Thousand,Males,Poland,: bu,112.4 b,136.6,153.1,175.5,191.8,191.2 b,199.3,214.9,233.7,262.8 b,275.3,281.9,281.6,292.1,314.6 b,298.5,323.9 b,334.4,308.9
Annual,Thousand,Males,Portugal,32.7 b,39.5 b,35.1,39.4,36.7,43.1,37.0,26.9 b,28.1,32.2,34.8 b,37.0,37.8,39.5,49.1,48.0,53.0,48.8 b,51.6,61.7
Annual,Thousand,Males,Romania,35.4,46.5 b,52.7,64.0,69.1,50.7,50.3 b,51.5,50.1,53.6,40.6 b,46.8,45.9,48.1,50.6,50.3,58.6,69.0 b,68.0,60.0
Annual,Thousand,Males,Serbia,:,:,:,:,:,:,4.2 u,5.5 u,8.4,7.2,12.6 b,13.2,20.7,16.8,15.4,19.2,18.3,18.7 b,20.4,27.4
Annual,Thousand,Males,Sweden,11.6,16.2 b,24.9 b,25.9,25.4,26.4,29.3,30.9,31.3,33.3,33.4 b,36.2,39.4,44.0,44.7 b,40.6,44.4,47.9 b,48.3,52.7
Annual,Thousand,Males,Slovenia,1.6 u,2.6 bu,2.7 u,2.2 u,2.2 u,2.7 u,3.7 u,3.8 u,4.4,3.7 u,4.9 b,7.2,6.9,10.3,11.4,10.3,11.6,15.3 b,15.0,12.2 b
Annual,Thousand,Males,Slovakia,4.0 u,3.3 b,3.6,5.0,5.1,9.1,12.0,10.3 b,8.6,12.8,17.4 b,17.5,22.4,23.4,24.2,24.7,26.7,27.6 b,33.5,29.1
Annual,Thousand,Males,Türkiye,:,:,: u,: u,: u,68.4,74.7,86.7,113.0,130.5,125.5 b,125.2,140.7,140.0,133.2,138.4,142.2,157.9 b,177.8,189.3
Annual,Thousand,Males,United Kingdom,287.9 b,295.0 b,290.9,281.7 b,284.9 b,292.3,308.9 b,237.0 b,227.6,228.6,210.0 b,243.0,293.1,247.6,266.8,261.5,:,:,:,:
Annual,Thousand,Total,Austria,14.0 b,19.8 b,15.7 b,17.0 b,18.7,18.9,17.2,19.0,20.5,23.6,25.4 b,31.5,30.8,35.3,38.7,39.6,36.0,35.9 b,39.6,47.0
Annual,Thousand,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.1 b,7.7,9.1
Annual,Thousand,Total,Belgium,43.4,43.8 b,42.4,46.4,49.6 b,47.9,53.7,52.8 b,46.3,47.3,51.7 b,48.8,55.9,51.5 b,55.6,47.5,58.5,49.6 b,61.7,59.0
Annual,Thousand,Total,Bulgaria,: u,6.8 bu,7.5 bu,7.3 u,7.3 bu,7.7 u,10.2 bu,16.2 b,13.2 u,16.0,17.7 b,23.7,28.1,34.5,37.2,38.0 b,38.1,34.8 b,40.7,46.1
Annual,Thousand,Total,Switzerland,30.2,40.3 b,44.9,50.1,48.5,51.2,54.1 b,60.1,66.9,72.8,71.4 b,73.8,71.3,69.0,79.1,85.5,77.2,64.5 b,60.2,59.8
Annual,Thousand,Total,Cyprus,3.6,4.1 b,4.4,5.1,5.2,4.3 b,5.2,5.3,6.3,6.0,5.8 b,5.9,5.3,5.8,6.3,5.9,5.9,6.8 b,8.0,11.5 b
Annual,Thousand,Total,Czechia,: u,: bu,14.5,12.7,17.0,19.3,23.8,33.2 b,30.6,39.2,46.6 b,56.8,64.6,54.8,67.1,65.1,71.3,70.5 b,63.3,69.3
Annual,Thousand,Total,Germany,177.1,259.8 b,264.7 b,340.6,312.0,319.2,321.0 b,399.4 b,386.5 b,398.0,420.6 b,453.9,480.7,503.6,496.5,519.9,521.0 b,534.0 b,574.4,602.4
Annual,Thousand,Total,Denmark,20.3,20.0 b,25.1,19.2 b,19.7 b,18.9,16.3,17.9,19.6,19.3,18.9 b,22.7,24.4 b,23.6 b,24.0,23.1,56.6,32.5 b,33.7,39.3 b
Annual,Thousand,Total,Estonia,7.3 u,4.8 b,4.0,4.9,7.4,6.8,5.5,6.6,8.0,8.3,10.9 b,10.9,11.2,11.8,11.1,13.6,14.3,14.0 b,15.0,14.9
Annual,Thousand,Total,Greece,54.3 b,52.6 b,53.0,60.0,62.3,63.5 b,59.9,52.7,44.7,45.0,45.7 b,50.2,52.5,56.3,59.5,65.3,59.2,63.6 b,56.7,75.9
Annual,Thousand,Total,Spain,: u,: bu,256.0 b,296.6,287.2,286.4,269.9,272.5,245.2,252.3,297.5 b,233.4,336.4,322.4,362.0,377.1,333.7,357.2 bd,443.3 d,462.3 d
Annual,Thousand,Total,European Union - 15 countries (1995-2004),1229.9,1376.3 b,1617.4,1782.2,1740.7,1782.7,1745.1,1761.6,1661.5,1728.0,1810.7 b,1859.7,2033.8,2032.1,2147.4,2230.8,:,:,:,:
Annual,Thousand,Total,European Union - 27 countries (from 2020),976.2,1272.4 b,1562.7,1777.7,1808.7,1844.3,1814.8,1913.0,1868.5,1971.2,2116.5 b,2158.9,2337.1,2366.2,2524.1,2626.0,2709.0,2801.4 b,2997.5,3096.0
Annual,Thousand,Total,European Union - 28 countries (2013-2020),1371.5,1670.7 b,1966.8,2174.3,2182.8,2233.7,2195.7,2236.9,2161.4,2262.0,2393.4 b,2477.5,2690.4,2682.6,2841.8,2945.8,:,:,:,:
Annual,Thousand,Total,Finland,19.3,19.5 b,22.2,22.2 b,25.7 b,31.3,29.0,28.1,23.8,29.6,32.2 b,31.4,58.0,58.5,59.6,55.9,62.1,65.1 b,66.2,61.8
Annual,Thousand,Total,France,159.2,186.9 b,197.4 b,201.2,201.7,220.2,227.5,242.5,222.8,248.5 b,242.5 b,268.0,277.3,277.5,294.4,317.6,362.8,368.9 bd,401.2 d,404.2 d
Annual,Thousand,Total,Croatia,: u,4.8 bu,: bu,6.5 u,6.5 u,7.9 u,9.4 bu,11.0,11.9,11.4,16.1 b,14.1,18.1,18.0,23.2,23.4 b,25.0,25.7 b,23.9,23.2
Annual,Thousand,Total,Hungary,36.2,36.1 b,43.1,49.0,54.1,51.0,55.6,57.1,64.4,66.1,76.3 b,76.4,81.8,68.4,79.2,72.4,75.1,73.0 b,74.6,69.3
Annual,Thousand,Total,Ireland,43.1,40.0 b,9.4,38.1 b,36.6,33.7,30.8,30.8,31.3,32.7,36.4 b,30.0,20.2,34.6 b,56.0,57.2,68.4,63.7 b,73.7,80.6
Annual,Thousand,Total,Iceland,: u,: bu,: u,: u,1.4,1.8,2.0,1.8,1.7,2.0,2.3 b,1.9,2.1,3.1,2.6,2.6,2.2 b,:,: u,: u
Annual,Thousand,Total,Italy,177.6 b,181.2 b,173.2,175.6,179.2,174.8,154.9,151.5,155.4,147.2,147.5 b,143.1,129.0,138.6,145.6 b,147.2,146.5,162.3 b,159.2,180.0
Annual,Thousand,Total,Lithuania,8.4 u,8.9 bu,9.7 u,9.2 u,10.7 u,10.7,12.5,12.7,10.5,11.8,15.1 b,16.8,16.4,17.5,18.6,23.7,27.8,32.2 b,27.3,26.2
Annual,Thousand,Total,Luxembourg,1.7,1.9 b,1.8,1.9 b,2.2,3.3 b,3.2,2.7,3.5,3.5,3.4 b,3.6 b,3.0,5.4,5.1,7.3,7.2,8.0 b,8.7,9.5
Annual,Thousand,Total,Latvia,: u,4.8 b,6.0,6.7,6.7,3.9,5.3,6.9,5.6,5.8,7.8 b,7.6,10.2,13.8,8.9,14.4,12.1,13.5 b,14.8,15.7
Annual,Thousand,Total,Montenegro,:,:,:,:,:,:,:,2.1,2.5,1.9,2.5 b,3.1,2.1,2.6,3.0,2.6,2.4,:,:,:
Annual,Thousand,Total,North Macedonia,:,:,2.3,1.7,2.0,2.4,2.8,2.3,2.5,4.1,5.2 b,4.9,8.8,8.4,9.6,12.2,14.9,:,:,:
Annual,Thousand,Total,Malta,2.0 bu,1.8 b,1.6,2.5,2.8,2.0,2.5,3.6 b,4.4,4.6,4.6 b,5.3,6.6,8.0,8.1,7.4,8.3,8.0 b,8.4,11.2
Annual,Thousand,Total,Netherlands,59.6,74.9 b,68.5 b,73.4,85.5,85.4,92.1,92.3,89.2,105.9 b,122.8 b,126.3,110.4,104.8,118.4,133.2 b,131.8,150.4 b,158.7,147.4
Annual,Thousand,Total,Norway,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,20.8 b,23.7,28.3,27.7,29.4,30.6,30.8,29.7 b,33.1,41.4
Annual,Thousand,Total,Poland,5.9 bu,137.9 b,164.7,187.5,211.4,240.0,229.2 b,236.3,256.8,268.4,297.9 b,308.7,317.4,314.3,323.0,350.6 b,338.8,363.8 b,370.4,361.8
Annual,Thousand,Total,Portugal,46.2 b,53.9 b,47.4,55.7,50.3,53.7,49.8,33.6 b,37.1,39.8,44.0 b,48.9,49.5,47.3,57.4,56.9,66.0,61.6 b,59.4,71.9
Annual,Thousand,Total,Romania,61.5,76.4 b,84.5,91.8,104.2,83.5,74.1 b,70.7,72.4,77.6,58.1 b,64.1,63.5,64.1,68.9,68.1,80.3,94.8 b,97.1,85.6
Annual,Thousand,Total,Serbia,:,:,:,:,:,:,5.5 u,7.9,11.0,9.2,15.5 b,16.4,25.6,22.2,21.3,26.7,27.4,25.0 b,27.2,35.7
Annual,Thousand,Total,Sweden,19.0,23.8 b,36.6 b,37.6,35.8,36.0,38.9,41.7,42.7,44.5,45.2 b,49.1,52.5,56.4,57.2 b,54.3,58.7,63.6 b,63.5,73.9
Annual,Thousand,Total,Slovenia,2.3 u,2.9 bu,3.3 u,2.6 u,2.7 u,3.1 u,3.8 u,3.9 u,4.5,4.0,5.6 b,8.5,7.9,11.6,13.6,12.9,12.9,16.9 b,16.1,13.2 b
Annual,Thousand,Total,Slovakia,5.3,4.9 b,5.4,6.2,6.1,10.6,13.6,11.9 b,11.3,14.9,20.3 b,19.2,25.4,27.7,28.9,28.5,30.7,31.0 b,37.9,32.8
Annual,Thousand,Total,Türkiye,:,:,: u,: u,: u,92.8,102.5,119.5,152.2,177.1,169.2 b,170.2,184.9,196.0,181.7,185.3,182.5,195.7 b,225.0,246.0
Annual,Thousand,Total,United Kingdom,395.3 b,398.3 b,404.1,396.7 b,374.1 b,389.4,380.9 b,324.0 b,292.9,290.8,276.9 b,318.6,352.9,316.9,315.4,325.1,:,:,:,:
