Time frequency,Level of difficulty,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Easy,Percentage of disposable income,Austria,25.3 i,26.1 i,27.4 i
Annual,Easy,Percentage of disposable income,Belgium,18.2 i,26 i,40.8 i
Annual,Easy,Percentage of disposable income,Bulgaria,54.1 e,33.3 i,44.3 i
Annual,Easy,Percentage of disposable income,Cyprus,31.9 i,19.2 i,32.1 i
Annual,Easy,Percentage of disposable income,Czechia,31.3 i,32.8 i,38.1 i
Annual,Easy,Percentage of disposable income,Germany,18.5 i,22.1 i,23.6 i
Annual,Easy,Percentage of disposable income,Denmark,8.1 i,30.2 i,41 i
Annual,Easy,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,26.3 i,30.5 i
Annual,Easy,Percentage of disposable income,Euro area – 20 countries (from 2023),:,26.3 i,30.5 i
Annual,Easy,Percentage of disposable income,Estonia,42.7 i,45.6 i,47.5 i
Annual,Easy,Percentage of disposable income,Greece,9.1 i,15.3 i,41.2 i
Annual,Easy,Percentage of disposable income,Spain,29.6 i,31.5 i,42.9 i
Annual,Easy,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,26.7 i,31.9 i
Annual,Easy,Percentage of disposable income,European Union - 27 countries (from 2020),:,27.1 i,31.9 i
Annual,Easy,Percentage of disposable income,Finland,25.6 i,23.2 i,:
Annual,Easy,Percentage of disposable income,France,39.6 i,40.5 i,35.5 i
Annual,Easy,Percentage of disposable income,Croatia,22.1 i,24.6 i,32 i
Annual,Easy,Percentage of disposable income,Hungary,25.2 i,24.2 i,31.9 i
Annual,Easy,Percentage of disposable income,Ireland,32.1 i,32.1 i,:
Annual,Easy,Percentage of disposable income,Italy,57.7 i,:,:
Annual,Easy,Percentage of disposable income,Lithuania,41.8 i,48.1 i,57.9 i
Annual,Easy,Percentage of disposable income,Luxembourg,34.2 i,33 i,31.6 i
Annual,Easy,Percentage of disposable income,Latvia,21.6 i,33.6 i,38.9 i
Annual,Easy,Percentage of disposable income,Malta,26.5 i,31.1 i,37.4 i
Annual,Easy,Percentage of disposable income,Netherlands,:,21 i,23.9 i
Annual,Easy,Percentage of disposable income,Poland,35.2 i,39.2 i,56.3 i
Annual,Easy,Percentage of disposable income,Portugal,26.7 i,31.2 i,:
Annual,Easy,Percentage of disposable income,Romania,16.4 i,26.6 i,18 i
Annual,Easy,Percentage of disposable income,Sweden,18.9 i,26.3 i,:
Annual,Easy,Percentage of disposable income,Slovenia,26.3 i,34 i,27.7 i
Annual,Easy,Percentage of disposable income,Slovakia,32.8 i,24 i,38.1 i
Annual,Easy,Percentage of disposable income,United Kingdom,31.1 i,24.5 i,:
Annual,Fairly easy,Percentage of disposable income,Austria,21.7 i,23.1 i,25.6 i
Annual,Fairly easy,Percentage of disposable income,Belgium,11.8 i,21.5 i,34.1 i
Annual,Fairly easy,Percentage of disposable income,Bulgaria,51.4 e,28.5 i,41.4 i
Annual,Fairly easy,Percentage of disposable income,Cyprus,19.9 i,18.5 i,26.7 i
Annual,Fairly easy,Percentage of disposable income,Czechia,28.6 i,29.8 i,33.9 i
Annual,Fairly easy,Percentage of disposable income,Germany,14.3 i,14 i,15.8 i
Annual,Fairly easy,Percentage of disposable income,Denmark,4.4 i,28.1 i,34 i
Annual,Fairly easy,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,23.1 i,25.2 i
Annual,Fairly easy,Percentage of disposable income,Euro area – 20 countries (from 2023),:,23 i,25.2 i
Annual,Fairly easy,Percentage of disposable income,Estonia,39.8 i,39.5 i,43.3 i
Annual,Fairly easy,Percentage of disposable income,Greece,0.4 i,10.8 i,32.2 i
Annual,Fairly easy,Percentage of disposable income,Spain,22.8 i,26.8 i,36.6 i
Annual,Fairly easy,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,23.4 i,28.3 i
Annual,Fairly easy,Percentage of disposable income,European Union - 27 countries (from 2020),:,24.3 i,28.3 i
Annual,Fairly easy,Percentage of disposable income,Finland,21.4 i,19.2 i,:
Annual,Fairly easy,Percentage of disposable income,France,33.5 i,37.4 i,30.9 i
Annual,Fairly easy,Percentage of disposable income,Croatia,15.5 i,20.4 i,30 i
Annual,Fairly easy,Percentage of disposable income,Hungary,25.4 i,19.3 i,26.4 i
Annual,Fairly easy,Percentage of disposable income,Ireland,23 i,28.8 i,:
Annual,Fairly easy,Percentage of disposable income,Italy,44.4 i,:,:
Annual,Fairly easy,Percentage of disposable income,Lithuania,38 i,42.5 i,50.7 i
Annual,Fairly easy,Percentage of disposable income,Luxembourg,27.7 i,27.3 i,27.4 i
Annual,Fairly easy,Percentage of disposable income,Latvia,22.6 i,32.8 i,34.8 i
Annual,Fairly easy,Percentage of disposable income,Malta,21.1 i,21.1 i,33.9 i
Annual,Fairly easy,Percentage of disposable income,Netherlands,:,16.7 i,14.4 i
Annual,Fairly easy,Percentage of disposable income,Poland,30.8 i,35.4 i,53.7 i
Annual,Fairly easy,Percentage of disposable income,Portugal,20.7 i,26.7 i,:
Annual,Fairly easy,Percentage of disposable income,Romania,9.1 i,21.8 i,14.4 i
Annual,Fairly easy,Percentage of disposable income,Sweden,19.2 i,24.3 i,:
Annual,Fairly easy,Percentage of disposable income,Slovenia,23.3 i,30.4 i,27.9 i
Annual,Fairly easy,Percentage of disposable income,Slovakia,30.7 i,23.6 i,36.1 i
Annual,Fairly easy,Percentage of disposable income,United Kingdom,26.2 i,18.9 i,:
Annual,Great,Percentage of disposable income,Austria,-7.5 i,7.5 i,2.5 i
Annual,Great,Percentage of disposable income,Belgium,-10.4 i,2.1 i,4.4 i
Annual,Great,Percentage of disposable income,Bulgaria,26.1 e,4.9 i,10 i
Annual,Great,Percentage of disposable income,Cyprus,-1.6 i,4.8 i,14.7 i
Annual,Great,Percentage of disposable income,Czechia,14.8 i,11.6 i,0.3 i
Annual,Great,Percentage of disposable income,Germany,-5.2 i,-8.6 i,-5.6 i
Annual,Great,Percentage of disposable income,Denmark,-17.6 i,1.6 i,2.3 i
Annual,Great,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,0.7 i,8 i
Annual,Great,Percentage of disposable income,Euro area – 20 countries (from 2023),:,0 i,7.7 i
Annual,Great,Percentage of disposable income,Estonia,20.8 i,18.6 i,24.1 i
