Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,From 15 to 24 years,Algeria,39.9 d,31.4 d,40.2 d,34.4 d,34.6 d,37.5 d,38.2 d,43.1 d,39.7 d,41.3 d,45.4 d,49.9 d,45.7 d,51.3,45.1,:,:,:
Annual,Rate,Females,From 15 to 24 years,Egypt,62.2,55.2,47.9,53.9,56.1,45.8,43.7,48.8,48.6,44.0,36.5,36.6,38.4,52.0,49.4,43.5,42.6,:
Annual,Rate,Females,From 15 to 24 years,Israel,18.6,19.1,17.0,13.4,13.6,12.9,11.4,12.7 b,10.7,11.1,9.7,9.1,7.8,7.4,7.2,8.2,8.0,6.6
Annual,Rate,Females,From 15 to 24 years,Jordan,41.1,40.4,44.4,52.3,38.1,38.9,35.1,31.2,22.8,39.3,36.2,56.9,57.1,58.6,59.1,65.9,67.6,64.2
Annual,Rate,Females,From 15 to 24 years,Lebanon,:,:,21.0,:,22.3,:,:,:,:,:,:,:,:,21.4 e,:,:,:,52.3 e
Annual,Rate,Females,From 15 to 24 years,Libya,:,:,:,:,:,:,:,67.8,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,From 15 to 24 years,Morocco,14.9,14.1,15.5,16.1,16.2,16.1,17.4,19.2,18.2,19.1,21.4,23.3,34.3,34.3,33.4,41.2,41.9,:
Annual,Rate,Females,From 15 to 24 years,Palestine*,46.1,43.1,42.5,49.3,47.2,49.7,54.0,62.7,65.2,63.4,56.6,61.1,67.2,69.3,67.1,70.0,64.5,57.0
Annual,Rate,Females,From 15 to 24 years,Tunisia,29.3,30.2,30.9,31.5,30.5,32.7,45.5,35.7,37.7,:,37.0,:,:,:,34.5,36.2,40.0,36.6
Annual,Rate,Females,From 15 to 74 years,Algeria,17.5,11.8,18.3,17.4,18.1,19.1,17.2,17.0,16.3,17.1,16.6,20.0,20.7,19.5,20.4,:,:,:
Annual,Rate,Females,From 15 to 74 years,Egypt,25.1,24.0,18.6,19.3,22.9,22.5,22.7,24.1,24.2,24.0,24.2,23.6,23.1,21.6,21.7 d,17.7 d,16.0 d,:
Annual,Rate,Females,From 15 to 74 years,Israel,:,:,:,:,:,:,:,7.0,6.3,5.9,5.4,5.0,4.3,4.0,3.9,4.1,4.9,3.7
Annual,Rate,Females,From 15 to 74 years,Lebanon,:,:,:,:,:,:,:,:,:,:,:,:,:,14.3 de,:,:,:,32.7 de
Annual,Rate,Females,From 15 to 74 years,Libya,:,:,:,:,:,14.2,:,25.0,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,From 15 to 74 years,Morocco,:,:,9.9,9.8,9.5,9.6,10.3,10.0,9.6,10.5,10.5,11.0,14.7,14.1,13.5,16.3,16.9,:
Annual,Rate,Females,From 15 to 74 years,Palestine*,22.2,20.6,19.1,24.5,26.6,26.9,28.4,33.0,35.2,38.7,34.4,38.0,42.9,41.9,41.2,40.1,42.9,40.4
