Time frequency,Activity and employment status,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Total,18 years or over,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.9,16.5,14.6,12.7,12.6,:,:
Annual,Employed persons,Total,18 years or over,Percentage,Austria,7.7,7.3,6.8,6.4,6.1,8.5 b,8.2,7.5,7.6,8.1,7.9,7.2,7.9,8.3,7.7,8.0,7.6,7.2,7.5,8.2,7.6
Annual,Employed persons,Total,18 years or over,Percentage,Belgium,6.5,4.0,3.9,4.1,4.3,4.8,4.6,4.5,4.2,4.5,4.4,4.8,4.6,4.8,5.0,5.1,4.8 b,4.2,3.8,3.6,4.7
Annual,Employed persons,Total,18 years or over,Percentage,Bulgaria,:,:,:,5.4,5.8,7.5,7.4,7.7,8.2,7.4,7.2,9.2,7.7,11.4,9.9,9.9,8.9,9.6,10.0,9.7,11.4
Annual,Employed persons,Total,18 years or over,Percentage,Switzerland,:,:,:,:,7.7,9.5,8.1,7.6,7.7,8.5,7.6,6.3 b,8.2,7.3,8.2,7.3,7.7,8.0,7.3,8.2,9.0
Annual,Employed persons,Total,18 years or over,Percentage,Cyprus,:,:,6.5,7.2,6.3,6.3 b,6.8,7.3,7.3,7.9,8.9,7.8,9.1,8.2,7.9,7.4,6.7,7.3,7.6,7.9,7.4
Annual,Employed persons,Total,18 years or over,Percentage,Czechia,:,:,3.5,3.5,3.3,3.6,3.2,3.7,4.0,4.5,4.0,3.6,4.0,3.8,3.5,3.4,3.5,3.7,3.5,3.4,3.1
Annual,Employed persons,Total,18 years or over,Percentage,Germany,:,:,4.8,5.5,7.4,7.1,6.8,7.2,7.7,7.8,8.6,9.9,9.7,9.5,9.1,9.1,8.0,8.6 b,8.7,7.2,6.6 b
Annual,Employed persons,Total,18 years or over,Percentage,Denmark,4.5,4.8,4.8,4.5,4.1,5.0,5.9,6.5,6.3 b,5.2,5.5,4.9,5.5,5.3,5.3,6.0,6.3,6.2 b,6.0,5.9,6.0
Annual,Employed persons,Total,18 years or over,Percentage,Euro area - 19 countries  (2015-2022),:,:,7.3,7.3,7.9,8.1,8.2,8.0,8.5,8.6,8.7,9.4,9.4,9.5,9.4,9.2,8.9,8.7,8.9,:,:
Annual,Employed persons,Total,18 years or over,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,9.4,9.4,9.5,9.3,9.2,8.8,8.7,8.9,8.4,8.1
Annual,Employed persons,Total,18 years or over,Percentage,Estonia,:,9.1,7.5,7.5,7.8,7.3,8.1,6.5,7.9,8.3,7.6,11.8 b,10.0,9.6,9.3,9.3,10.0,10.0,10.0,10.5,10.3
