Time frequency,Unit of measure,Activity and employment status,Medical speciality,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per hundred thousand inhabitants,Practising,Dentists,Austria,59.61,60.03,59.39,58.91,59.55,59.37,60.59,61.15,61.66,61.55
Annual,Per hundred thousand inhabitants,Practising,Dentists,Belgium,71.37,72.33,73.54,74.82,74.86,75.38,75.7,76.88,77.04,75.51 b
Annual,Per hundred thousand inhabitants,Practising,Dentists,Bulgaria,97.23,99.56,100.26,104.0,106.06,103.66,106.64,106.33,109.92,115.35
Annual,Per hundred thousand inhabitants,Practising,Dentists,Switzerland,52.02,51.05,50.71,50.36,51.6,50.94,40.59 b,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Cyprus,96.18,98.42 b,103.34,103.57,109.25,112.18,114.52,105.94,110.96,119.43
Annual,Per hundred thousand inhabitants,Practising,Dentists,Czechia,70.63,75.11 be,:,75.29 b,74.77,73.79,73.32,74.7,75.8,73.89
Annual,Per hundred thousand inhabitants,Practising,Dentists,Germany,84.93,85.62,85.76,85.56,85.58,85.74,85.44,85.42,85.67,85.08
Annual,Per hundred thousand inhabitants,Practising,Dentists,Denmark,78.27,77.01,76.08,74.21,71.86,71.87,72.08,71.44,71.8,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Estonia,90.29 b,92.98,94.19,95.53,96.02,96.6,98.2,100.49,101.13,101.94
Annual,Per hundred thousand inhabitants,Practising,Dentists,Spain,:,:,:,:,:,:,:,:,:,60.37 e
Annual,Per hundred thousand inhabitants,Practising,Dentists,Finland,72.75,73.28,73.04,71.42,69.97,71.07,72.5,71.83,71.88,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,France,63.85,63.43,63.69,64.15,64.06,63.94,64.75,64.91,66.16,67.57
Annual,Per hundred thousand inhabitants,Practising,Dentists,Croatia,75.8,78.95,80.53,81.39,84.84,86.93,89.57,90.1,93.59,95.86
Annual,Per hundred thousand inhabitants,Practising,Dentists,Hungary,60.27,62.87,60.31 b,61.98,67.32,70.28,73.12,67.47 b,71.0,74.63
Annual,Per hundred thousand inhabitants,Practising,Dentists,Ireland,:,:,:,:,:,:,:,:,46.27 e,45.11 e
Annual,Per hundred thousand inhabitants,Practising,Dentists,Iceland,84.01 d,83.69 d,84.04 d,82.88 d,81.25 d,81.93 d,79.04 d,79.13 d,78.92 d,78.80 d
Annual,Per hundred thousand inhabitants,Practising,Dentists,Italy,78.09 e,78.32 e,78.39 e,80.09 e,81.85 e,83.63 e,86.98 e,86.94 e,84.08 e,89.06 e
