Time frequency,Life satisfaction,Statistical information,International Standard Classification of Education (ISCED 2011),Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2013.0
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Austria,8.4
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Belgium,7.6
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Bulgaria,5.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Switzerland,7.9
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Cyprus,6.0
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Czechia,7.5
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Germany,7.7
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Denmark,8.2
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Estonia,6.8
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Greece,6.2
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Spain,7.2
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),European Union - 27 countries (from 2020),7.2
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Finland,7.8
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),France,7.6
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Croatia,6.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Hungary,6.5
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Ireland,8.0
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Iceland,7.6
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Italy,6.0
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Lithuania,7.9
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Luxembourg,7.8
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Latvia,7.2
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Montenegro,6.1
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),North Macedonia,6.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Malta,7.1
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Netherlands,8.0
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Norway,8.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Poland,7.6
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Portugal,6.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Romania,7.4
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Serbia,5.1
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Sweden,7.6
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Slovenia,7.8
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Slovakia,6.9
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Türkiye,6.3
Annual,Living environment,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),United Kingdom,7.9
