Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Austria,1.24,0.96,1.13,0.65,0.96,0.5,0.66,0.76,0.62,1.01,0.91
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Belgium,0.12,0.2,0.11,0.18,0.15,0.16,0.12,0.06,0.12,0.14,0.3
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Bulgaria,0.15,0.03,0.05,:,:,0.05,0.0,0.0,0.0,0.03,0.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Switzerland,0.3,0.3,0.34,0.33,0.57,0.5,0.38,0.43,0.47,0.34,0.46
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Cyprus,:,:,:,:,:,:,0.0,0.43,0.24,0.0,0.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Czechia,0.02,:,0.03,:,0.03,0.03,0.07,0.06,0.05,0.05,0.1
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Germany,0.34,0.4,0.36,0.4,0.42,0.43,0.32,0.4,0.36,0.33,0.33
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Denmark,0.32,0.19,0.24,0.35,0.25,0.33,0.32,0.21,0.21,0.34,0.14
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Estonia,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Greece,0.05,:,:,:,:,:,0.0,0.0,0.05,0.03,0.04
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Spain,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",European Union - 27 countries (from 2020),0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.14,0.13,0.14,0.15
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Finland,0.15,0.31,0.18,0.19,0.15,0.34,0.28,0.32,0.43,0.38,0.69
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",France,0.08,0.09,0.07,0.07,0.04,0.11,0.1,0.12,0.11,0.13,0.11
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Croatia,:,0.09 d,0.1 d,0.09,:,0.15,0.04,0.2,0.3,0.42,0.26
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Hungary,0.02 d,0.04 d,:,0.02,0.04,:,0.02,0.04,0.02,0.03,0.04
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Ireland,:,:,:,:,:,:,0.0,0.04,0.0,0.19,0.03
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Iceland,:,:,0.82,:,:,:,0.0,2.15,0.43,0.93,0.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Italy,0.1,0.05,0.05,0.05,0.05,0.04,0.05,0.07,0.1,0.07,0.07
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Liechtenstein,:,:,:,:,:,:,0.0,0.0,0.0,0.0,4.31
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Lithuania,:,:,:,:,:,0.06,0.22,0.0,0.0,0.08,0.06
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Luxembourg,:,:,0.32,1.5,0.67,0.97,0.3,0.31,0.0,0.29,0.6
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Latvia,:,:,:,:,0.09,:,0.0,0.1,0.11,0.0,0.1
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Malta,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Netherlands,0.08,0.02,0.07,0.05,0.07,0.05,0.12,0.11,0.07,0.11,0.14
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Norway,0.22,0.25,0.12,0.21,0.51,0.32,0.15,0.04,0.2,0.41,0.31
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Poland,0.0,:,0.0,0.0,0.0,0.02,0.01,0.03,0.01,0.02,0.04
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Portugal,0.02,0.02,:,0.03,0.03,:,0.02,0.05,0.09,0.0,0.04
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Romania,:,:,:,0.01,0.01,:,0.01,0.0,0.02,0.0,0.03
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Serbia,0.15,0.05,0.03,0.07,:,0.08,0.0,0.02,0.03,0.06,0.26
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Sweden,0.08,0.04,0.06,0.11,0.06,0.08,0.02,0.12,0.09,0.03,0.02
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Slovenia,:,:,0.1,:,:,0.09,0.09,0.37,0.0,0.42,0.17
Annual,Rate,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",Slovakia,:,0.03,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.03
