Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Austria,138.6 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Bosnia and Herzegovina,164.4,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Belgium,126.6 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Bulgaria,118.5 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Switzerland,109.8 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Cyprus,126.2 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Czechia,145.2,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Germany,153.7 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Denmark,123.9,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),136.5,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),136.2,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Estonia,183.7,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Greece,: @C,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Spain,141.7 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",European Union - 27 countries (from 2020),143.9,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Finland,: @C,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",France,121.1 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Croatia,101.7,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Hungary,216.5 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Ireland,136.7 p,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,Retail sale of automotive fuel in specialised stores,"Index, 2021=100 (SCA)",Italy,127.4,:,:,:,:,:,:,:,:,:,:,:
