Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Albania,702.3,464.5,391.9,417.1,591.2,390.2 p,443.2 p,-66.0 p,339.8 p,670.2 p,481.2 p,26.0 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Austria,1205.3,-1536.1,130.1,-686.4,820.7,1777.6,1238.1,3120.5,4434.2,5367.3,4542.6,3462.1
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,-89.9,-520.1,-3302.5,-2832.4,-1576.6,-1482.1 p,-1459.0 p,-913.7 p,279.0 p,368.6 p,-434.7 p,-417.9 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,541.3,191.6,397.6,185.4,213.3,886.9,1026.7,975.1,918.2,597.0 p,534.7 p,750.0 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,20059.3,28528.0,18277.8,33672.1,28270.5,20912.5,22959.0,25645.6,25135.2,17986.4,25313.6,20929.7
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,615.4,688.2,-322.9,128.9,452.8,-260.2,408.7,147.1,96.3,805.4,484.3,497.4
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Czechia,1869.9,675.5,-460.2,1145.5,922.3,2989.6,4124.4,3812.5,5059.5,5455.3,5747.7,4838.7
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Germany,34118.0 p,30708.0 p,21817.0 p,18538.0 p,25160.0 p,36023.0 p,39372.0 p,44598.0 p,47835.0 p,52438.0 p,49306.0 p,40926.0 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Denmark,5820.3,8585.4,8905.3,12256.9,6777.4,8792.3,7981.9,5832.1,8076.5,8414.9,9537.8,11987.8
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",90157.4,86265.3,62852.3,42970.2,87322.2,120387.1,126487.8,135317.7,136212.4,173821.1,185313.4,160473.8
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Euro area - 19 countries  (2015-2022),90157.4,86265.3,62852.3,42970.2,87322.2,120783.9,126938.0,135566.8,136546.4,174379.6,186021.9,160993.5
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Euro area – 20 countries (from 2023),89759.9,85282.3,62064.6,41702.3,86155.5,120387.1,126487.8,135317.7,136212.4,173821.1,185313.4,160473.8
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Estonia,610.4,-28.3,-286.2,-69.3,-66.7,223.3,139.9,-217.0,180.7,36.6,86.9,79.3
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Greece,-3561.1,-4569.6 p,-4685.2 p,-5231.4 p,-5999.6 p,-2197.7 p,-2528.4 p,-2782.3 p,-3717.9 p,-2617.6 p,-3251.0 p,-3281.4 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Spain,2377.0,2107.0 p,1460.0 p,-1498.0 p,10056.0 p,17071.0 p,14905.0 p,12094.0 p,14766.0 p,16407.0 p,17397.0 p,17033.0 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),European Union - 27 countries (from 2020),101139.6,92048.7,69394.2,52003.0,95432.4,145110.6,153854.0,163321.5,165420.0,202380.3,213600.7,187047.1
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Finland,-532.0,-1762.0,-1798.0,-1152.0,-592.0,521.0,-50.0,-10.0,351.0,-1149.0,922.0,1036.0
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),France,-8222.6,-11678.6,-19113.4,-24048.0,-19358.6,-18610.7,-14273.1,-14609.9,-8994.1,-6765.1,-6999.4,-3220.0
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Croatia,-540.1,-1221.6,-684.5,-944.1,-1452.9,-721.6 p,-307.7 p,51.4 p,-524.8 p,-730.0 p,-643.7 p,-196.9 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Hungary,-723.3,-1733.7,-1785.5,-2957.5,-1611.9,711.3 p,2549.2 p,3483.8 p,3064.4 p,3079.7 p,3394.3 p,2769.2 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Ireland,33896.1,54540.0,54013.1,54886.4,51037.7,52190.1,45168.3,43006.5,28336.0,49440.2,65476.0,49022.3
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Italy,395.5,-5093.1,-8269.8,-18617.3,-4398.9,868.0,3695.0,9731.4,11758.2,16661.2,13568.0,11240.3
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Lithuania,298.2,-249.5,-354.1,-302.6,-521.0,299.7,962.3,953.8,644.2,1180.3,1306.6,1216.6
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Luxembourg,7019.5,6469.1,6771.5,6867.6,6284.8,6119.0,6358.4,6203.3,5778.8,6499.1 p,7030.7 p,6489.6 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Latvia,-158.3,-363.7,-426.0,-360.3,-595.7,-512.9,-295.7,-287.1,-382.1,-135.6,-338.5,-274.3
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Montenegro,-268.2,-298.4,-338.0,-370.3,-315.4,-340.7,-314.8,-318.4,-383.2,-383.1 p,-401.2 p,-409.4 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),North Macedonia,-577.5,-741.6,-721.7,-728.5,-581.3,-411.4 p,-537.6 p,-483.1 p,-470.4 p,-539.8 e,-466.2 e,-392.3 e
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Malta,623.4,671.7,679.9,554.4,616.8,893.0,872.3,952.2,985.1,978.2,988.5,1000.9
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Netherlands,22183.5,21062.9,20190.3,19895.4,26480.5,26666.2,28996.4,31611.0,32735.9,31818.1,33947.5,33784.5
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Norway,32064.5,38008.0,38117.4,53172.7,30661.4,22903.8,16372.2,9513.0,17407.3,15088.2,17554.4,:
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Poland,1600.9,1296.1,3711.3,3087.3,3267.9,11132.3,11469.5,11025.8,10163.9,9822.0,8550.0,7502.1
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Portugal,-1483.1,-2076.9,-1431.9,-1408.3,-939.8,456.6 e,1006.8 e,295.1 e,707.3 e,1593.4 e,1332.6 e,885.9 e
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Romania,-3394.0,-4685.0,-4744.3,-5620.3,-4391.5,-3415.0 p,-3418.5 p,-3774.2 p,-4907.8 p,-4055.0 p,-5894.5 p,-5598.4 p
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Serbia,-1285.4,-2179.0,-2295.9,-1094.8,-1035.9,-1085.4,-733.5,-356.1,-1082.8,-1146.1,-1063.0,-1450.9
Quarterly,External balance of goods and services,Seasonally and calendar adjusted data,Million euro (SCA),Sweden,5216.3,3985.1,1060.6,1745.2,3661.7,5683.6,3166.2,6468.7,6296.0,6413.3,6099.2,5125.8
