Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Early childhood to tertiary education,Austria,:,:,:,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Belgium,:,:,:,19.0,19.0,19.0,19.0,19.0,19 bd,19.0,19.0
Annual,Number,Early childhood to tertiary education,Bulgaria,:,:,:,17 d,17.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Early childhood to tertiary education,Switzerland,:,:,:,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Cyprus,:,:,:,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Czechia,:,:,:,:,:,:,17.0,17.0,17.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Germany,:,:,:,18 d,18 d,18 d,18 d,19.0,19 bd,19.0,19.0
Annual,Number,Early childhood to tertiary education,Denmark,:,:,:,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Annual,Number,Early childhood to tertiary education,Estonia,:,:,:,18 d,18 d,18 d,18 d,18 d,18 d,18 d,18 d
Annual,Number,Early childhood to tertiary education,Greece,:,:,:,19.0,19.0,19.0,19.0,20.0,20.0,:,:
Annual,Number,Early childhood to tertiary education,Spain,:,:,:,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0
Annual,Number,Early childhood to tertiary education,European Union - 27 countries (from 2020),:,:,:,17 d,17 d,17 d,18 d,18 d,18 d,18 d,18 d
Annual,Number,Early childhood to tertiary education,European Union - 28 countries (2013-2020),:,:,:,17 d,17 d,17 d,18 d,18 d,:,:,:
Annual,Number,Early childhood to tertiary education,Finland,:,:,:,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Annual,Number,Early childhood to tertiary education,France,:,:,:,17 d,17 d,17 d,17 p,17 ep,17 p,17 p,17 p
Annual,Number,Early childhood to tertiary education,Croatia,:,:,:,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Hungary,:,:,:,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Annual,Number,Early childhood to tertiary education,Ireland,:,:,:,:,:,19 d,20 d,19.0,19.0,19.0,19.0
Annual,Number,Early childhood to tertiary education,Iceland,:,:,:,20.0,20.0,20.0,19.0,19.0,19.0,20.0,20.0
Annual,Number,Early childhood to tertiary education,Italy,:,:,:,16.0,17.0,17.0,17 d,17.0,17.0,17.0,17.0
Annual,Number,Early childhood to tertiary education,Liechtenstein,:,:,:,:,:,17.0,16.0,17.0,17.0,17.0,17.0
