Time frequency,Effects,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Changed telephone number/email address or closed social network,Percentage,Austria,19.8
Annual,Changed telephone number/email address or closed social network,Percentage,Belgium,23.2
Annual,Changed telephone number/email address or closed social network,Percentage,Bulgaria,21.2
Annual,Changed telephone number/email address or closed social network,Percentage,Cyprus,18.0 u
Annual,Changed telephone number/email address or closed social network,Percentage,Czechia,29.6
Annual,Changed telephone number/email address or closed social network,Percentage,Germany,33.9
Annual,Changed telephone number/email address or closed social network,Percentage,Denmark,27.5
Annual,Changed telephone number/email address or closed social network,Percentage,Estonia,15.7
Annual,Changed telephone number/email address or closed social network,Percentage,Greece,17.8
Annual,Changed telephone number/email address or closed social network,Percentage,Spain,19.4
Annual,Changed telephone number/email address or closed social network,Percentage,European Union (aggregate changing according to the context),25.1 e
Annual,Changed telephone number/email address or closed social network,Percentage,Finland,19.0
Annual,Changed telephone number/email address or closed social network,Percentage,France,22.9
Annual,Changed telephone number/email address or closed social network,Percentage,Croatia,25.8
Annual,Changed telephone number/email address or closed social network,Percentage,Hungary,24.2
Annual,Changed telephone number/email address or closed social network,Percentage,Ireland,31.8
Annual,Changed telephone number/email address or closed social network,Percentage,Lithuania,25.5
Annual,Changed telephone number/email address or closed social network,Percentage,Luxembourg,24.8
Annual,Changed telephone number/email address or closed social network,Percentage,Latvia,20.8
Annual,Changed telephone number/email address or closed social network,Percentage,Montenegro,20.0 u
Annual,Changed telephone number/email address or closed social network,Percentage,Malta,15.9
Annual,Changed telephone number/email address or closed social network,Percentage,Netherlands,28.2
Annual,Changed telephone number/email address or closed social network,Percentage,Poland,23.1
Annual,Changed telephone number/email address or closed social network,Percentage,Portugal,: u
Annual,Changed telephone number/email address or closed social network,Percentage,Romania,30.0
Annual,Changed telephone number/email address or closed social network,Percentage,Serbia,32.4
Annual,Changed telephone number/email address or closed social network,Percentage,Sweden,22.8
Annual,Changed telephone number/email address or closed social network,Percentage,Slovenia,22.3
Annual,Changed telephone number/email address or closed social network,Percentage,Slovakia,34.1
Annual,Changed telephone number/email address or closed social network,Percentage,Kosovo*,37.1 u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Austria,23.4
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Belgium,24.0
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Bulgaria,22.3
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Cyprus,16.7 u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Czechia,20.7 u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Germany,39.1
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Denmark,29.1
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Estonia,16.5
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Greece,20.1
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Spain,29.5
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,European Union (aggregate changing according to the context),29.2 e
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Finland,20.2
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,France,31.0
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Croatia,23.9
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Hungary,35.1
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Ireland,30.9
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Lithuania,16.2 u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Luxembourg,30.3
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Latvia,15.6
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Montenegro,: u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Malta,19.8
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Netherlands,21.7
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Poland,19.5
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Portugal,: u
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Romania,24.7
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Serbia,19.3
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Sweden,30.6
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Slovenia,20.8
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Slovakia,38.2
Annual,"Implemented protecting measures (e.g. changed going out or usual route or taking with knife, pepper spray etc.)",Percentage,Kosovo*,: u
Annual,Moved to another residence or changed working or studying,Percentage,Austria,7.5
Annual,Moved to another residence or changed working or studying,Percentage,Belgium,16.6
Annual,Moved to another residence or changed working or studying,Percentage,Bulgaria,8.7 u
Annual,Moved to another residence or changed working or studying,Percentage,Cyprus,11.1 u
Annual,Moved to another residence or changed working or studying,Percentage,Czechia,12.7 u
Annual,Moved to another residence or changed working or studying,Percentage,Germany,19.4
Annual,Moved to another residence or changed working or studying,Percentage,Denmark,22.2
Annual,Moved to another residence or changed working or studying,Percentage,Estonia,12.7
Annual,Moved to another residence or changed working or studying,Percentage,Greece,7.7
Annual,Moved to another residence or changed working or studying,Percentage,Spain,10.8
Annual,Moved to another residence or changed working or studying,Percentage,European Union (aggregate changing according to the context),15.7 e
Annual,Moved to another residence or changed working or studying,Percentage,Finland,15.0
Annual,Moved to another residence or changed working or studying,Percentage,France,20.8
Annual,Moved to another residence or changed working or studying,Percentage,Croatia,11.6
Annual,Moved to another residence or changed working or studying,Percentage,Hungary,6.8 u
Annual,Moved to another residence or changed working or studying,Percentage,Ireland,17.1 u
Annual,Moved to another residence or changed working or studying,Percentage,Lithuania,12.6 u
Annual,Moved to another residence or changed working or studying,Percentage,Luxembourg,18.5
Annual,Moved to another residence or changed working or studying,Percentage,Latvia,10.2 u
Annual,Moved to another residence or changed working or studying,Percentage,Montenegro,: u
Annual,Moved to another residence or changed working or studying,Percentage,Malta,8.7
Annual,Moved to another residence or changed working or studying,Percentage,Netherlands,11.6
Annual,Moved to another residence or changed working or studying,Percentage,Poland,18.7
Annual,Moved to another residence or changed working or studying,Percentage,Portugal,: u
Annual,Moved to another residence or changed working or studying,Percentage,Romania,18.2 u
Annual,Moved to another residence or changed working or studying,Percentage,Serbia,4.6 u
Annual,Moved to another residence or changed working or studying,Percentage,Sweden,10.3
Annual,Moved to another residence or changed working or studying,Percentage,Slovenia,11.8 u
Annual,Moved to another residence or changed working or studying,Percentage,Slovakia,17.1
Annual,Moved to another residence or changed working or studying,Percentage,Kosovo*,: u
