Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Poverty headcount ratio, total (%)",Algeria,:,:,:,:,:,:,5.5 d,:,:,:,:,:,:,:
Annual,"Poverty headcount ratio, total (%)",Egypt,19.6 d,:,:,:,21.6 d,:,25.2 d,:,26.3 d,:,27.8,:,:,32.5
Annual,"Poverty headcount ratio, total (%)",Israel,19.8,20.6,20.2,20.1,21.0,21.2,20.4,20.4,18.7,19.7,19.9,19.3,19.1,18.3
Annual,"Poverty headcount ratio, total (%)",Jordan,:,13.0,:,13.3,:,14.4,:,:,:,:,:,:,:,:
Annual,"Poverty headcount ratio, total (%)",Libya,:,:,:,27.9,:,:,:,:,:,:,:,:,:,:
Annual,"Poverty headcount ratio, total (%)",Morocco,:,:,8.9,:,:,:,:,:,:,4.8,:,:,:,:
Annual,"Poverty headcount ratio, total (%)",Palestine*,:,:,:,:,26.2 e,25.7 e,25.8 e,:,:,:,:,:,29.2 e,:
Annual,"Poverty headcount ratio, total (%)",Tunisia,23.1,:,:,:,:,20.5,:,:,:,:,15.2,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Algeria,:,:,:,:,:,:,5 d,:,:,:,:,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Egypt,39 d,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Israel,8.0,8.0,7.0,8.0,8 b,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Jordan,:,2 i,:,2 i,:,2 i,:,:,2 i,:,:,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Libya,:,:,:,1.0,:,:,:,:,:,:,:,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Morocco,:,:,9 e,:,:,:,:,:,:,:,:,:,:,:
Annual,"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)",Palestine*,:,:,:,:,3 de,3 de,4 de,:,:,:,:,:,4 e,:
