Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Pneumonia,Austria,12.1,9.87,8.32,7.41,9.53,9.46,12.26,12.93,10.26,8.17,6.31
Annual,Rate,Females,Total,Pneumonia,Belgium,27.22,29.12,29.13,25.69,30.33,28.04,30.46,32.78,28.71,22.47,17.21
Annual,Rate,Females,Total,Pneumonia,Bulgaria,14.46,16.84,15.19,16.17,13.81,13.33,15.33,12.52,14.52,28.45,37.19
Annual,Rate,Females,Total,Pneumonia,Switzerland,14.43,14.55,14.94,12.46,16.02,11.9,14.66,13.37,11.48,9.61,8.3
Annual,Rate,Females,Total,Pneumonia,Cyprus,16.52,15.59,13.62,11.46,13.83,10.4,12.73,7.14,11.25,8.89,10.95
Annual,Rate,Females,Total,Pneumonia,Czechia,24.49,26.26,22.04,21.83,25.87,25.55,29.74,30.98,29.81,30.01,27.88
Annual,Rate,Females,Total,Pneumonia,Germany,19.19,18.19,19.0,15.13,17.74,16.0,16.86,16.82,14.85,11.82,10.09
Annual,Rate,Females,Total,Pneumonia,Denmark,35.73,32.96,34.03,27.57,29.61,28.91,27.8,30.29,24.28,21.33,20.05
Annual,Rate,Females,Total,Pneumonia,Estonia,7.39,7.79,9.59,11.76,12.78,12.36,11.44,12.36,13.57,11.33,16.68
Annual,Rate,Females,Total,Pneumonia,Greece,6.95,7.31,8.92,7.07,7.65,7.93,7.67,7.23,7.59,6.56,6.16
Annual,Rate,Females,Total,Pneumonia,Spain,14.21,15.73,13.34,13.06,15.36,13.26,14.39,14.27,12.67,11.34,8.09
Annual,Rate,Females,Total,Pneumonia,European Union - 27 countries (from 2020),17.86,18.97,18.13,16.07,19.05,17.13,18.88,18.97,18.0,16.88,16.01
Annual,Rate,Females,Total,Pneumonia,Finland,5.77,4.47,4.09,2.47,2.35,2.27,1.41,1.03,0.65,0.77,0.57
Annual,Rate,Females,Total,Pneumonia,France,12.92,14.97,13.86,12.34,14.68,13.94,13.98,13.72,13.88,10.42,9.1
Annual,Rate,Females,Total,Pneumonia,Croatia,6.68,6.33 d,7.55 d,7.85,11.78,12.06,22.71,7.39,3.43,6.7,14.52
Annual,Rate,Females,Total,Pneumonia,Hungary,7.79 d,8.28 d,7.24 d,7.66,10.66,9.05,10.18,9.42,9.97,8.93,9.41
Annual,Rate,Females,Total,Pneumonia,Ireland,41.4,40.91,35.82,34.25,40.28,35.51,34.66,31.63,26.82,19.88,16.08
Annual,Rate,Females,Total,Pneumonia,Iceland,35.67,23.46,22.6,28.32,24.61,24.47,35.05,27.11,23.64,16.74,15.43
Annual,Rate,Females,Total,Pneumonia,Italy,10.18,11.06,10.48,10.01,12.74,11.0,13.82,13.67,14.41,14.22,9.77
Annual,Rate,Females,Total,Pneumonia,Liechtenstein,12.32,6.79,35.09,47.13,39.26,75.01,68.42,28.56,36.43,5.01,0.0
Annual,Rate,Females,Total,Pneumonia,Lithuania,7.99,7.3,11.32,8.92,11.71,11.86,11.81,12.64,11.24,11.05,11.45
Annual,Rate,Females,Total,Pneumonia,Luxembourg,22.52,17.49,16.6,14.05,19.77,17.05,12.74,22.19,17.84,12.34,10.93
Annual,Rate,Females,Total,Pneumonia,Latvia,10.02,9.39,12.74,10.36,10.05,11.71,12.93,14.9,12.9,11.52,13.06
Annual,Rate,Females,Total,Pneumonia,Malta,24.82,30.71,39.96,28.91,26.68,25.1,28.86,31.57,32.57,31.67,32.05
Annual,Rate,Females,Total,Pneumonia,Netherlands,32.71,33.76,21.81,17.46,20.6,17.9,20.82,22.15,18.86,14.3,12.79
Annual,Rate,Females,Total,Pneumonia,Norway,31.0,31.54,28.17,23.94,27.25,28.76,30.22,24.96,25.4,17.78,14.64
Annual,Rate,Females,Total,Pneumonia,Poland,27.72,30.23,35.61,31.24,37.09,30.86,38.66,40.74,39.85,41.5,39.36
Annual,Rate,Females,Total,Pneumonia,Portugal,43.54,55.32,45.06,41.97,46.15,41.55,40.3,38.14,30.65,26.29,21.87
Annual,Rate,Females,Total,Pneumonia,Romania,22.09,25.48,22.65,22.94,27.78,26.36,28.12,31.85,33.83,44.13,58.31
Annual,Rate,Females,Total,Pneumonia,Serbia,11.7,13.43,13.15,12.76,16.29,12.81,17.39,18.51,18.61,29.33,42.83
Annual,Rate,Females,Total,Pneumonia,Sweden,16.33,17.19,15.92,13.71,15.74,13.95,14.54,13.84,12.57,9.53,7.62
Annual,Rate,Females,Total,Pneumonia,Slovenia,30.59,40.35,38.65,28.27,30.77,28.81,24.89,19.52,16.15,11.03,10.67
Annual,Rate,Females,Total,Pneumonia,Slovakia,40.19,36.21,40.7,32.62,43.09,34.46,46.56,41.61,39.44,52.67,107.8
Annual,Rate,Females,Total,Pneumonia,Türkiye,13.49 d,13.54 d,18.92 d,28.44 d,34.82 d,44.76 d,49.74 d,53.89 d,61.56 d,94.38 d,92.31 d
Annual,Rate,Females,Total,Pneumonia,United Kingdom,45.69 d,46.43,45.66,42.76,47.2,43.34,42.1,41.6,:,:,:
Annual,Rate,Males,Total,Pneumonia,Austria,19.59,15.83,13.07,12.93,16.4,14.72,20.54,18.68,17.92,13.42,10.69
Annual,Rate,Males,Total,Pneumonia,Belgium,50.39,49.08,51.16,43.25,51.19,48.08,52.55,52.83,49.21,37.45,33.01
Annual,Rate,Males,Total,Pneumonia,Bulgaria,29.46,32.83,26.88,29.72,28.51,26.6,29.23,28.52,30.99,59.44,68.71
Annual,Rate,Males,Total,Pneumonia,Switzerland,22.74,25.19,22.01,19.2,24.94,20.6,23.02,22.47,19.94,16.52,16.13
Annual,Rate,Males,Total,Pneumonia,Cyprus,18.66,19.24,11.35,16.4,16.8,15.68,17.69,16.37,11.55,11.07,11.5
Annual,Rate,Males,Total,Pneumonia,Czechia,46.71,44.77,39.95,40.64,46.23,47.75,53.89,51.91,53.57,60.8,53.92
Annual,Rate,Males,Total,Pneumonia,Germany,35.27,33.79,34.36,28.63,33.3,29.6,29.84,30.04,27.1,23.26,20.59
Annual,Rate,Males,Total,Pneumonia,Denmark,54.9,54.25,56.32,46.93,50.06,45.89,50.74,51.84,45.82,39.92,38.93
Annual,Rate,Males,Total,Pneumonia,Estonia,24.38,26.14,42.14,37.94,35.62,34.12,33.08,30.72,39.56,30.74,41.82
Annual,Rate,Males,Total,Pneumonia,Greece,11.52,10.79,12.49,11.04,11.71,11.14,11.03,10.55,9.44,9.88,9.47
Annual,Rate,Males,Total,Pneumonia,Spain,27.07,29.5,25.97,24.92,29.45,25.89,27.96,27.81,24.05,22.91,18.27
Annual,Rate,Males,Total,Pneumonia,European Union - 27 countries (from 2020),32.68,34.06,33.06,29.9,33.94,31.47,33.44,34.19,32.36,32.03,29.75
Annual,Rate,Males,Total,Pneumonia,Finland,12.4,8.92,8.2,6.34,3.76,4.02,1.88,2.19,1.53,1.46,0.89
Annual,Rate,Males,Total,Pneumonia,France,23.95,26.23,26.05,22.99,25.46,24.59,24.77,25.37,24.13,20.19,18.26
Annual,Rate,Males,Total,Pneumonia,Croatia,14.63,15.58 d,11.46 d,18.56,21.37,25.42,36.48,13.94,6.05,14.94,27.03
