Time frequency,Survey on variables under vines,Wine-grape vine variety,Age class,Geopolitical entity (reporting)\Time,1999.0,2009.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,Total,Luxembourg,67.0,101.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 10 to 19 years,Luxembourg,16.0,52.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 20 to 29 years,Luxembourg,0.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 3 to 5 years,Luxembourg,0.0,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 3 to 9 years,Luxembourg,31.0,29.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 6 to 9 years,Luxembourg,0.0,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,20 years or over,Luxembourg,1.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,30 years or over,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,Less than 3 years,Luxembourg,19.0,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,Total,Luxembourg,66.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,From 10 to 19 years,Luxembourg,15.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,From 20 to 29 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,From 3 to 5 years,Luxembourg,0.0,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,From 3 to 9 years,Luxembourg,31.0,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,From 6 to 9 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,20 years or over,Luxembourg,1.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,30 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot noir,Less than 3 years,Luxembourg,19.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,Total,Luxembourg,1.0,98.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,From 10 to 19 years,Luxembourg,1.0,52.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,From 20 to 29 years,Luxembourg,0.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,From 3 to 5 years,Luxembourg,0.0,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,From 3 to 9 years,Luxembourg,0.0,27.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,From 6 to 9 years,Luxembourg,0.0,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,20 years or over,Luxembourg,0.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,30 years or over,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gamay noir,Less than 3 years,Luxembourg,0.0,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,Total,Luxembourg,164.0,370.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,From 10 to 19 years,Luxembourg,97.0,29.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,From 20 to 29 years,Luxembourg,0.0,199.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,From 3 to 5 years,Luxembourg,0.0,16.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,From 3 to 9 years,Luxembourg,3.0,26.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,From 6 to 9 years,Luxembourg,0.0,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,20 years or over,Luxembourg,61.0,300.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,30 years or over,Luxembourg,0.0,101.0
Annual,Cultivated area under wine-grape vine varieties (ha),Elbling,Less than 3 years,Luxembourg,3.0,14.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,Total,Luxembourg,459.0,184.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,From 10 to 19 years,Luxembourg,266.0,38.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,From 20 to 29 years,Luxembourg,0.0,54.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,From 3 to 5 years,Luxembourg,0.0,16.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,From 3 to 9 years,Luxembourg,7.0,44.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,From 6 to 9 years,Luxembourg,0.0,28.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,20 years or over,Luxembourg,181.0,93.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,30 years or over,Luxembourg,0.0,39.0
Annual,Cultivated area under wine-grape vine varieties (ha),Rivaner,Less than 3 years,Luxembourg,5.0,9.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,Total,Luxembourg,169.0,183.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,From 10 to 19 years,Luxembourg,70.0,66.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,From 20 to 29 years,Luxembourg,0.0,55.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,From 3 to 5 years,Luxembourg,0.0,17.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,From 3 to 9 years,Luxembourg,21.0,36.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,From 6 to 9 years,Luxembourg,0.0,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,20 years or over,Luxembourg,67.0,70.0
