Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Ratio,Total,65 years or over,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.45,4.37,4.14,3.97,3.91,:,:
Annual,Ratio,Total,65 years or over,Austria,4.26 b,4.42,3.89,3.6,3.74,4.20 b,3.83,4.21,4.09,4.08,4.06,3.97,3.75,3.71,3.74,3.76,3.94,3.98,4.0,4.22,4.45
Annual,Ratio,Total,65 years or over,Belgium,3.43 b,3.41,3.03,3.43,3.4,3.11,3.44,3.7,3.0,3.24,3.06,3.0,3.2,3.22,2.94,3.06,3.34 b,3.41,2.92,3.48,3.19
Annual,Ratio,Total,65 years or over,Bulgaria,:,:,:,3.47 b,4.0,4.02,3.98,4.53,4.73,4.33,4.6,4.25,4.49,4.29 b,5.06,4.82,4.92,5.03,5.19,4.98,4.14
Annual,Ratio,Total,65 years or over,Switzerland,:,:,:,:,4.79,5.32,5.74,4.54,4.86,4.72,4.49,4.65 b,4.77,4.58,4.84,4.7,4.83,5.22,4.98,4.96,4.82
Annual,Ratio,Total,65 years or over,Cyprus,:,:,4.62,4.54,4.52,4.61 b,4.87,4.72,4.5,4.62,4.82,4.81,4.74,4.78,4.67,4.55,4.47,4.24,4.58,4.43,4.72
Annual,Ratio,Total,65 years or over,Czechia,:,:,2.28 b,2.31,2.24,2.27,2.31,2.38,2.43,2.42,2.44,2.4,2.41,2.37,2.36,2.51,2.57,2.56,2.53,2.7,2.66
Annual,Ratio,Total,65 years or over,Germany,:,:,3.54 b,3.42,4.18,4.04,3.71,3.81,3.89,3.91,3.82,4.19,3.96,4.09,3.85,4.29,4.64,4.16 b,4.34,3.91,3.92
Annual,Ratio,Total,65 years or over,Denmark,3.53 b,2.82,2.54,2.67,2.68,2.91,3.2,3.60 b,3.01 b,2.97,3.02,3.77,3.22,3.23,2.88,3.2,3.46,3.06 b,2.84,3.07,4.49
Annual,Ratio,Total,65 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,4.12,4.0,4.22,4.32,4.29,4.11,4.17,4.18,4.08,4.20 e,4.14 e,4.22 e,4.15 e,4.25 e,4.4,4.25 b,4.31,:,:
Annual,Ratio,Total,65 years or over,Euro area - 18 countries (2014),:,4.34,4.12,4.01,4.22,4.3,4.3,4.11,4.17,4.18,4.07,4.2,4.14,4.22,4.14,4.25,4.4,4.25 b,:,:,:
Annual,Ratio,Total,65 years or over,Euro area - 19 countries  (2015-2022),:,4.34,4.11,4.0,4.22,4.3,4.29,4.1,4.16,4.17,4.07,4.2,4.14,4.22,4.15,4.25,4.4,4.25 b,4.31,:,:
Annual,Ratio,Total,65 years or over,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,4.2,4.15,4.22,4.16,4.26,4.4,4.26,4.33,4.22,4.26
Annual,Ratio,Total,65 years or over,Estonia,:,3.52 b,3.34,3.15,3.22,3.26,3.17,2.94,2.91,2.93,3.1,3.35 b,3.45,3.53,3.68,3.64,3.67,3.83,3.53,3.93,3.88
Annual,Ratio,Total,65 years or over,Greece,5.72 b,5.07,5.04,4.8,4.84,4.48,4.13,4.13,4.47,4.47,3.92,4.13,4.08,3.94,4.16,3.86,3.76,3.96,4.23,4.17,4.15
Annual,Ratio,Total,65 years or over,Spain,:,4.23 b,4.56,4.37,4.33,5.15 b,4.86,4.76,4.66,4.48,4.45,4.3,4.31,4.29,4.57,4.5,4.5,4.95,5.21,4.92,4.98
Annual,Ratio,Total,65 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,4.21,4.13,4.03,4.11,4.06,3.96,4.11 e,4.11 e,4.14 e,4.10 e,4.20 e,4.30 e,:,:,:,:
Annual,Ratio,Total,65 years or over,European Union - 27 countries (2007-2013),:,:,4.06,4.03,4.11,4.21,4.13,4.02,4.1,4.05,3.95,4.11,4.11,4.13,4.1,4.19,4.30 e,:,:,:,:
Annual,Ratio,Total,65 years or over,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.99,4.04,4.04,3.97,4.08 e,4.10 e,4.09 e,4.05 e,4.12 e,4.24 e,4.15 b,4.17,4.09,4.11
Annual,Ratio,Total,65 years or over,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,4.03,4.11,4.06,3.96,4.11,4.11,4.14,4.1,4.2,4.30 e,:,:,:,:
Annual,Ratio,Total,65 years or over,Finland,:,2.82 b,3.02,2.92,2.86,3.2,3.27,3.07,3.05,3.33,3.25,3.22,3.13,3.09,3.03,3.02,3.09,3.18,3.07,3.2,3.18
Annual,Ratio,Total,65 years or over,France,:,4.12 b,4.45,4.01,3.97,4.38 b,4.91,4.39,4.54,4.6,4.27,4.49,4.46,4.4,4.12,4.1,4.11,3.61 b,3.4,3.46 b,3.74
Annual,Ratio,Total,65 years or over,Croatia,:,:,:,:,:,:,:,5.31,5.02,4.89,5.11,4.33,4.52,4.45,4.35,4.74,4.48,4.57,4.57,4.36,4.89 b
Annual,Ratio,Total,65 years or over,Hungary,:,:,2.62 b,3.33,2.69,2.61,2.63,2.55,2.73,2.69,2.84,2.79,2.99,3.11,3.55,3.39,3.1,4.88,3.17,3.67,3.35
Annual,Ratio,Total,65 years or over,Ireland,4.04 b,3.44,3.45,3.38,3.39,3.78,3.88,4.0,4.1,4.4,4.73,4.26,4.09,3.91,3.8,3.73,3.77 b,3.97 b,3.74,3.88,4.01
Annual,Ratio,Total,65 years or over,Iceland,:,2.79,2.98,3.12,3.54,3.81,4.75,3.95,3.14,3.3,3.03,2.89,3.49,3.4,3.82,3.39,3.16,:,:,:,:
Annual,Ratio,Total,65 years or over,Italy,:,4.50 b,4.45,4.56,4.66,4.46,4.68,4.18,4.33,4.34,4.38,4.39,4.51,4.72,4.75,4.86,5.07,5.14,5.3,5.39,5.22
Annual,Ratio,Total,65 years or over,Lithuania,:,:,3.55 b,3.63,3.75,4.08,4.04,3.63,3.36,3.42,3.93,4.01,4.2,4.37,4.95,4.87,4.65,4.59,4.26,4.64,4.15
Annual,Ratio,Total,65 years or over,Luxembourg,3.71 b,3.04,3.17,3.02,3.18,3.02,3.09,3.25,3.29,3.64,4.1,3.71,3.48,4.45 b,4.41,4.65,4.39,3.90 b,4.15 b,4.70 b,4.63
Annual,Ratio,Total,65 years or over,Latvia,:,:,3.99 b,4.56,4.93,5.56,5.19,3.83,3.6,3.7,3.92,4.32,4.2,4.65,4.84,5.07,5.42,5.08,5.65,5.26,4.93
Annual,Ratio,Total,65 years or over,Montenegro,:,:,:,:,:,:,:,:,:,:,5.51,4.39,5.24,5.13,4.78,5.31,4.99,4.67,4.27,4.44,:
Annual,Ratio,Total,65 years or over,North Macedonia,:,:,:,:,:,:,:,:,:,5.9,5.13,5.09,4.73,5.02,4.88,4.72,4.66,4.36,:,:,:
Annual,Ratio,Total,65 years or over,Malta,:,:,3.80 b,4.04,3.45,3.67,3.4,3.72,3.3,3.46,3.27,3.17,3.41,3.38,3.3,3.1,3.11,3.5,3.44,3.62,4.29
Annual,Ratio,Total,65 years or over,Netherlands,:,:,3.30 b,3.28,3.18,3.22,3.37,3.1,3.32,3.07,3.22,3.4,3.05,3.05 b,3.0,3.02,3.03,2.99,2.83,2.94,2.88
Annual,Ratio,Total,65 years or over,Norway,2.99 b,2.91,4.48,4.92,2.8,2.96,2.82,2.83,2.79,2.67,2.72,2.89,2.91,3.07,3.22,2.87,3.11,3.47,3.00 b,3.06,2.74 b
Annual,Ratio,Total,65 years or over,Poland,:,:,3.55 b,3.47,3.28,3.41,3.42,3.52,3.52,3.54,3.43,3.43,3.48,3.45,3.46,3.42,3.56,3.38,3.38,3.2,3.44
Annual,Ratio,Total,65 years or over,Portugal,:,6.05 b,5.74,5.99,6.04,5.37,5.15,5.02,5.03,5.31,4.93,4.86,4.97,5.42,5.41,5.23,5.21,5.02,5.68,5.49,5.49
Annual,Ratio,Total,65 years or over,Romania,:,:,:,:,5.58 b,4.98,4.52,4.17,4.25,4.34,4.5,4.79,6.19,4.39,4.35,4.46,4.39,4.5,4.62,4.4,3.48
Annual,Ratio,Total,65 years or over,Serbia,:,:,:,:,:,:,:,:,:,:,6.36,6.18,6.32,6.98,6.16,5.78,5.36,4.91,5.29,4.65,:
Annual,Ratio,Total,65 years or over,Sweden,:,2.94 b,2.82,2.93,2.8,3.26 b,3.35,3.1,3.39,3.34,3.35,3.61,3.3,3.85,3.74,3.43,3.6,3.41,3.27,3.83,4.45
Annual,Ratio,Total,65 years or over,Slovenia,:,:,3.72 b,3.52,3.49,3.6,3.51,3.61,3.62,3.59,3.55,3.54,3.55,3.56,3.41,3.44,3.35,3.25,3.17,3.27,3.4
Annual,Ratio,Total,65 years or over,Slovakia,:,:,2.47,2.96,2.42,2.33,2.41,2.32,2.59,2.39,2.32,2.33,2.33,2.37,2.41,2.31,2.48,2.46,2.67,2.38,2.53
Annual,Ratio,Total,65 years or over,Türkiye,:,:,:,10.49 b,8.89,7.9,9.37,8.6,7.88,7.83,7.47,7.45,7.21,6.78,6.78,7.48,6.86,9.58,6.52,7.54,6.29
Annual,Ratio,Total,65 years or over,United Kingdom,:,:,4.48 b,4.74,4.31,4.73,4.15,4.34,4.58,4.17 b,3.82,4.31,4.19,4.48,4.48 b,4.7,:,:,:,:,:
Annual,Ratio,Total,65 years or over,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.34,:,:,:,:,:
Annual,Ratio,Total,Less than 65 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.0,7.48,6.81,6.21,6.07,:,:
Annual,Ratio,Total,Less than 65 years,Austria,4.02 b,3.66,3.79,3.65,3.77,4.17 b,4.2,4.35,4.12,4.22,4.12,4.16,4.12,4.19,4.44,4.1,4.2,4.16,4.08,4.26,4.24
Annual,Ratio,Total,Less than 65 years,Belgium,4.43 b,3.93,4.13,4.18,3.87,4.15,3.91,3.9,3.96,3.99,3.9,3.94,3.91,3.95,4.01,3.92,3.65 b,3.62,3.46,3.48,3.35
Annual,Ratio,Total,Less than 65 years,Bulgaria,:,:,:,5.48 b,7.81,6.82,5.93,5.93,6.73,6.56,7.0,7.6,7.56,8.89 b,9.01,8.37,8.74,8.51,7.82,7.67,7.49
Annual,Ratio,Total,Less than 65 years,Switzerland,:,:,:,:,4.62,4.7,4.46,4.34,4.34,4.19,4.08,4.26 b,4.34,4.3,4.49,4.39,4.63,4.73,4.74,4.64,4.82
Annual,Ratio,Total,Less than 65 years,Cyprus,:,:,4.0,3.92,4.09,3.99 b,4.08,4.3,4.15,4.56,4.88,5.41,5.27,4.88,4.52,4.23,4.55,4.27,4.14,4.2,4.1
Annual,Ratio,Total,Less than 65 years,Czechia,:,:,3.90 b,3.69,3.69,3.56,3.6,3.63,3.71,3.68,3.57,3.7,3.69,3.68,3.53,3.35,3.33,3.35,3.54,3.5,3.46
Annual,Ratio,Total,Less than 65 years,Germany,:,:,3.84 b,4.19,5.09,4.93,4.67,4.66,4.6,4.4,4.8,5.37,5.04,4.73,4.62,5.26,4.89,4.99 b,5.08,4.45,4.52
Annual,Ratio,Total,Less than 65 years,Denmark,3.44 b,3.39,3.55,3.45,3.77,3.63,4.73,4.41 b,4.09 b,4.08,4.17,4.18,4.27,4.22,4.38,4.33,4.19,4.20 b,4.17,4.22,3.99
Annual,Ratio,Total,Less than 65 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,4.69,4.74,4.91,4.97,4.93,5.04,5.18,5.18,5.3,5.50 e,5.46 e,5.42 e,5.28 e,5.29 e,5.13,5.10 b,5.2,:,:
Annual,Ratio,Total,Less than 65 years,Euro area - 18 countries (2014),:,5.1,4.71,4.77,4.92,4.96,4.94,5.06,5.2,5.19,5.31,5.5,5.43,5.4,5.26,5.27,5.12,5.09 b,:,:,:
Annual,Ratio,Total,Less than 65 years,Euro area - 19 countries  (2015-2022),:,5.1,4.74,4.79,4.94,4.98,4.96,5.09,5.21,5.19,5.32,5.51,5.46,5.42,5.28,5.29,5.13,5.10 b,5.2,:,:
Annual,Ratio,Total,Less than 65 years,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,5.5,5.46,5.41,5.28,5.29,5.12,5.09,5.21,4.91,4.84
Annual,Ratio,Total,Less than 65 years,Estonia,:,8.03 b,6.44,5.88,5.78,5.03,5.2,5.39,5.89,5.94,5.94,7.09 b,6.66,5.7,5.45,4.95,5.02,4.92,5.03,5.09,5.26
Annual,Ratio,Total,Less than 65 years,Greece,6.39 b,5.98,5.94,6.39,6.26,6.2,6.21,5.95,6.4,7.35,7.46,7.29,7.35,7.41,6.73,6.07,5.59,5.68,6.38,5.58,5.68
Annual,Ratio,Total,Less than 65 years,Spain,:,5.34 b,5.66,5.65,5.65,5.62 b,6.05,6.49,6.65,6.98,6.76,7.47,7.63,7.25,7.18,6.46,6.35,5.99,6.45,5.81,5.64
Annual,Ratio,Total,Less than 65 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,5.14,5.06,5.14,5.24,5.2,5.26,5.48 e,5.51 e,5.43 e,5.33 e,5.36 e,5.25 e,:,:,:,:
