Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,European Union - 27 countries (from 2020),25.4 e,24.8 e,24.7 e,25.5 e,25.7 e,26.3 e,26.1 e,26.5 e,27.1 b,26.7,26.1,25.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,European Union - 28 countries (2013-2020),25.2,24.9,25.0,25.3,25.6,26.1,26.1,26.6 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Finland,33.3,31.3,32.0,30.1,28.6,28.1,29.0,27.6,27.3,26.0,28.5,27.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,France,19.3,18.8,17.0,17.2,14.9,16.5,16.1,17.5,20.7 b,21.2,21.2 b,20.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Croatia,35.8,32.4,31.2,38.6,39.9,44.7,44.4,44.7,45.1,47.4,47.8,50.2 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Hungary,16.2,14.5,12.9,15.4,17.4,17.3,20.0,22.6,19.8,23.1,23.8,24.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Ireland,27.9,28.6,25.5,33.3,37.5,35.2,40.9,30.4 b,36.4 b,41.4,44.5,38.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Iceland,13.9,16.1,18.9,20.5,21.8,21.4,15.1,11.5,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Italy,24.4,23.6,23.0,23.6,25.1,25.3,24.3,24.7,26.0,25.6,24.3,23.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Lithuania,31.6,33.7,34.9,39.5,42.7,47.9,50.7,46.3,46.8,44.5,43.0,38.7
